team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Iowa,2020,1,Critique Classic Invitational,Jan-03-2020,,Ariana Agrapides,9.7750,,,9.7500
Iowa,2020,1,Critique Classic Invitational,Jan-03-2020,,Daniela Castillo,,,9.4500,
Iowa,2020,1,Critique Classic Invitational,Jan-03-2020,,Erin Castle,,,,9.7250
Iowa,2020,1,Critique Classic Invitational,Jan-03-2020,,Allie Gilchrist,,,9.7500,9.4250
Iowa,2020,1,Critique Classic Invitational,Jan-03-2020,,Alexandra Greenwald,9.6500,9.6500,,9.8000
Iowa,2020,1,Critique Classic Invitational,Jan-03-2020,,Lauren Guerin,9.9250,,9.8500,9.8500
Iowa,2020,1,Critique Classic Invitational,Jan-03-2020,,Clair Kaji,,8.2500,9.6500,
Iowa,2020,1,Critique Classic Invitational,Jan-03-2020,,Madison Kampschroeder,,8.3000,,
Iowa,2020,1,Critique Classic Invitational,Jan-03-2020,,Bridget Killian,9.8000,,9.8000,9.7250
Iowa,2020,1,Critique Classic Invitational,Jan-03-2020,,Madelyn Solomon,9.7500,,,
Iowa,2020,1,Critique Classic Invitational,Jan-03-2020,,Allyson Steffensmeier,9.7000,9.7750,,
Iowa,2020,1,Critique Classic Invitational,Jan-03-2020,,Carina Tolan,,9.6000,,
Iowa,2020,1,Critique Classic Invitational,Jan-03-2020,,Mackenzie Vance,,8.8750,9.6500,
Iowa,2020,2,no meet title,Jan-11-2020,Iowa,Ariana Agrapides,9.4250,,,9.8250
Iowa,2020,2,no meet title,Jan-11-2020,Iowa,Daniela Castillo,,,9.7000,
Iowa,2020,2,no meet title,Jan-11-2020,Iowa,Erin Castle,,,,9.7500
Iowa,2020,2,no meet title,Jan-11-2020,Iowa,Allie Gilchrist,,,9.7750,9.6500
Iowa,2020,2,no meet title,Jan-11-2020,Iowa,Alexandra Greenwald,9.6750,9.8750,,9.8500
Iowa,2020,2,no meet title,Jan-11-2020,Iowa,Lauren Guerin,9.7750,,9.6750,9.9000
Iowa,2020,2,no meet title,Jan-11-2020,Iowa,Clair Kaji,,9.7750,9.8000,
Iowa,2020,2,no meet title,Jan-11-2020,Iowa,Bridget Killian,9.7250,,9.7500,9.8500
Iowa,2020,2,no meet title,Jan-11-2020,Iowa,Ellie Rogers,,9.8250,,
Iowa,2020,2,no meet title,Jan-11-2020,Iowa,Madelyn Solomon,9.7250,,,
Iowa,2020,2,no meet title,Jan-11-2020,Iowa,Allyson Steffensmeier,9.7000,9.8500,,
Iowa,2020,2,no meet title,Jan-11-2020,Iowa,Carina Tolan,,9.7500,,
Iowa,2020,2,no meet title,Jan-11-2020,Iowa,Mackenzie Vance,,8.8750,9.4750,
Iowa,2020,3,no meet title,Jan-19-2020,Maryland,Ariana Agrapides,9.5500,,,9.8250
Iowa,2020,3,no meet title,Jan-19-2020,Maryland,Daniela Castillo,,,9.8000,
Iowa,2020,3,no meet title,Jan-19-2020,Maryland,Erin Castle,,9.8000,,9.8500
Iowa,2020,3,no meet title,Jan-19-2020,Maryland,Allie Gilchrist,,,9.7750,9.7750
Iowa,2020,3,no meet title,Jan-19-2020,Maryland,Alexandra Greenwald,9.6500,8.8250,,9.6250
Iowa,2020,3,no meet title,Jan-19-2020,Maryland,Lauren Guerin,9.8000,,9.5250,9.9500
Iowa,2020,3,no meet title,Jan-19-2020,Maryland,Clair Kaji,,9.8500,9.2750,
Iowa,2020,3,no meet title,Jan-19-2020,Maryland,Bridget Killian,9.8250,9.6500,9.7500,9.8000
Iowa,2020,3,no meet title,Jan-19-2020,Maryland,Madelyn Solomon,9.7500,,,
Iowa,2020,3,no meet title,Jan-19-2020,Maryland,Allyson Steffensmeier,9.7500,9.9250,,
Iowa,2020,3,no meet title,Jan-19-2020,Maryland,Carina Tolan,,9.7500,,
Iowa,2020,3,no meet title,Jan-19-2020,Maryland,Mackenzie Vance,,,9.8750,
Iowa,2020,4,no meet title,Jan-25-2020,Penn State,Ariana Agrapides,9.8000,,,9.7500
Iowa,2020,4,no meet title,Jan-25-2020,Penn State,Daniela Castillo,9.7250,,9.7500,
Iowa,2020,4,no meet title,Jan-25-2020,Penn State,Erin Castle,,,,9.8750
Iowa,2020,4,no meet title,Jan-25-2020,Penn State,Allie Gilchrist,,,9.7500,9.7500
Iowa,2020,4,no meet title,Jan-25-2020,Penn State,Alexandra Greenwald,9.6750,8.9250,,9.7500
Iowa,2020,4,no meet title,Jan-25-2020,Penn State,Lauren Guerin,9.8250,,9.2500,9.9500
Iowa,2020,4,no meet title,Jan-25-2020,Penn State,Clair Kaji,,9.7500,9.3750,
Iowa,2020,4,no meet title,Jan-25-2020,Penn State,Madison Kampschroeder,,8.9500,,
Iowa,2020,4,no meet title,Jan-25-2020,Penn State,Bridget Killian,9.8000,,9.8500,9.8500
Iowa,2020,4,no meet title,Jan-25-2020,Penn State,Ellie Rogers,,9.7250,,
Iowa,2020,4,no meet title,Jan-25-2020,Penn State,Madelyn Solomon,9.6750,,,
Iowa,2020,4,no meet title,Jan-25-2020,Penn State,Allyson Steffensmeier,,9.8250,,
Iowa,2020,4,no meet title,Jan-25-2020,Penn State,Carina Tolan,,8.8750,,
Iowa,2020,4,no meet title,Jan-25-2020,Penn State,Mackenzie Vance,,,9.7750,
Iowa,2020,5,no meet title,Feb-01-2020,Iowa,Ariana Agrapides,9.8500,,,9.7750
Iowa,2020,5,no meet title,Feb-01-2020,Iowa,Daniela Castillo,9.7750,,9.8250,
Iowa,2020,5,no meet title,Feb-01-2020,Iowa,Erin Castle,,9.7000,9.7500,9.7250
Iowa,2020,5,no meet title,Feb-01-2020,Iowa,Allie Gilchrist,,,9.7250,9.7750
Iowa,2020,5,no meet title,Feb-01-2020,Iowa,Alexandra Greenwald,9.7500,9.0000,,9.6000
Iowa,2020,5,no meet title,Feb-01-2020,Iowa,Lauren Guerin,9.9000,,,9.8750
Iowa,2020,5,no meet title,Feb-01-2020,Iowa,Clair Kaji,,9.7250,9.8500,
Iowa,2020,5,no meet title,Feb-01-2020,Iowa,Bridget Killian,9.8250,,9.7750,9.5500
Iowa,2020,5,no meet title,Feb-01-2020,Iowa,Madelyn Solomon,9.8000,,,
Iowa,2020,5,no meet title,Feb-01-2020,Iowa,Allyson Steffensmeier,,9.7250,,
Iowa,2020,5,no meet title,Feb-01-2020,Iowa,Carina Tolan,,9.7750,,
Iowa,2020,5,no meet title,Feb-01-2020,Iowa,Mackenzie Vance,,9.7000,9.6500,
Iowa,2020,6,no meet title,Feb-08-2020,Minnesota,Ariana Agrapides,9.7750,,,
Iowa,2020,6,no meet title,Feb-08-2020,Minnesota,Daniela Castillo,9.7750,,9.8750,
Iowa,2020,6,no meet title,Feb-08-2020,Minnesota,Erin Castle,,9.8250,9.7750,9.8250
Iowa,2020,6,no meet title,Feb-08-2020,Minnesota,Allie Gilchrist,,,9.6250,9.8000
Iowa,2020,6,no meet title,Feb-08-2020,Minnesota,Alexandra Greenwald,9.6500,,,9.8000
Iowa,2020,6,no meet title,Feb-08-2020,Minnesota,Lauren Guerin,9.7750,,,9.9250
Iowa,2020,6,no meet title,Feb-08-2020,Minnesota,Clair Kaji,,9.8250,9.8000,9.8750
Iowa,2020,6,no meet title,Feb-08-2020,Minnesota,Bridget Killian,9.8250,,9.8250,9.8000
Iowa,2020,6,no meet title,Feb-08-2020,Minnesota,Ellie Rogers,,9.7000,,
Iowa,2020,6,no meet title,Feb-08-2020,Minnesota,Allyson Steffensmeier,9.8000,9.7750,,
Iowa,2020,6,no meet title,Feb-08-2020,Minnesota,Carina Tolan,,9.7500,,
Iowa,2020,6,no meet title,Feb-08-2020,Minnesota,Mackenzie Vance,,9.6750,9.8500,
Iowa,2020,7,no meet title,Feb-14-2020,Iowa,Ariana Agrapides,9.7750,,,
Iowa,2020,7,no meet title,Feb-14-2020,Iowa,Daniela Castillo,9.7250,,9.8250,
Iowa,2020,7,no meet title,Feb-14-2020,Iowa,Erin Castle,,9.7500,9.8000,9.8000
Iowa,2020,7,no meet title,Feb-14-2020,Iowa,Allie Gilchrist,,,9.6750,9.8250
Iowa,2020,7,no meet title,Feb-14-2020,Iowa,Alexandra Greenwald,9.7000,,,9.7750
Iowa,2020,7,no meet title,Feb-14-2020,Iowa,Lauren Guerin,9.8250,,,9.8750
Iowa,2020,7,no meet title,Feb-14-2020,Iowa,Clair Kaji,,9.8000,9.8500,9.8500
Iowa,2020,7,no meet title,Feb-14-2020,Iowa,Bridget Killian,9.7750,,9.7750,9.8250
Iowa,2020,7,no meet title,Feb-14-2020,Iowa,Ellie Rogers,,9.0500,,
Iowa,2020,7,no meet title,Feb-14-2020,Iowa,Allyson Steffensmeier,9.7750,9.8750,,
Iowa,2020,7,no meet title,Feb-14-2020,Iowa,Carina Tolan,,9.8000,,
Iowa,2020,7,no meet title,Feb-14-2020,Iowa,Mackenzie Vance,,9.7750,9.1000,
Iowa,2020,8,Big 5 Elevate the Stage,Feb-21-2020,,Ariana Agrapides,9.8000,,,
Iowa,2020,8,Big 5 Elevate the Stage,Feb-21-2020,,Daniela Castillo,9.7500,,9.7250,
Iowa,2020,8,Big 5 Elevate the Stage,Feb-21-2020,,Erin Castle,9.6750,9.8250,9.7750,9.8250
Iowa,2020,8,Big 5 Elevate the Stage,Feb-21-2020,,Allie Gilchrist,,,9.6750,9.8000
Iowa,2020,8,Big 5 Elevate the Stage,Feb-21-2020,,Alexandra Greenwald,,9.7250,,9.8500
Iowa,2020,8,Big 5 Elevate the Stage,Feb-21-2020,,Lauren Guerin,9.8250,,,9.8750
Iowa,2020,8,Big 5 Elevate the Stage,Feb-21-2020,,Clair Kaji,,9.4750,9.7250,9.8750
Iowa,2020,8,Big 5 Elevate the Stage,Feb-21-2020,,Bridget Killian,9.8750,,9.8000,9.8500
Iowa,2020,8,Big 5 Elevate the Stage,Feb-21-2020,,Allyson Steffensmeier,9.7250,9.5750,,
Iowa,2020,8,Big 5 Elevate the Stage,Feb-21-2020,,Carina Tolan,,9.7500,,
Iowa,2020,8,Big 5 Elevate the Stage,Feb-21-2020,,Mackenzie Vance,,9.8000,9.7750,
Iowa,2020,9,no meet title,Mar-06-2020,Iowa State,Ariana Agrapides,9.8000,,,9.9000
Iowa,2020,9,no meet title,Mar-06-2020,Iowa State,Daniela Castillo,9.7500,,9.8000,
Iowa,2020,9,no meet title,Mar-06-2020,Iowa State,Erin Castle,,9.8000,9.8000,9.8250
Iowa,2020,9,no meet title,Mar-06-2020,Iowa State,Allie Gilchrist,,,9.7250,9.8500
Iowa,2020,9,no meet title,Mar-06-2020,Iowa State,Alexandra Greenwald,9.7250,9.8750,,9.8250
Iowa,2020,9,no meet title,Mar-06-2020,Iowa State,Lauren Guerin,9.8500,,,
Iowa,2020,9,no meet title,Mar-06-2020,Iowa State,Clair Kaji,,9.8750,9.8250,9.9000
Iowa,2020,9,no meet title,Mar-06-2020,Iowa State,Bridget Killian,9.7250,,9.7000,9.8250
Iowa,2020,9,no meet title,Mar-06-2020,Iowa State,Ellie Rogers,,9.7750,,
Iowa,2020,9,no meet title,Mar-06-2020,Iowa State,Allyson Steffensmeier,9.8000,9.8750,,
Iowa,2020,9,no meet title,Mar-06-2020,Iowa State,Carina Tolan,,9.7750,,
Iowa,2020,9,no meet title,Mar-06-2020,Iowa State,Mackenzie Vance,,,9.8500,
Iowa,2020,10,no meet title,Mar-08-2020,Iowa,Ariana Agrapides,8.0000,,,9.8500
Iowa,2020,10,no meet title,Mar-08-2020,Iowa,Daniela Castillo,,,9.8500,
Iowa,2020,10,no meet title,Mar-08-2020,Iowa,Erin Castle,,9.8500,9.8000,9.3250
Iowa,2020,10,no meet title,Mar-08-2020,Iowa,Allie Gilchrist,,,9.3000,9.8500
Iowa,2020,10,no meet title,Mar-08-2020,Iowa,Alexandra Greenwald,9.8000,9.8250,,9.8500
Iowa,2020,10,no meet title,Mar-08-2020,Iowa,Lauren Guerin,9.9000,,,9.9500
Iowa,2020,10,no meet title,Mar-08-2020,Iowa,Clair Kaji,,9.8250,9.8000,
Iowa,2020,10,no meet title,Mar-08-2020,Iowa,Bridget Killian,9.8000,,9.8250,9.9000
Iowa,2020,10,no meet title,Mar-08-2020,Iowa,Ellie Rogers,,9.8750,,
Iowa,2020,10,no meet title,Mar-08-2020,Iowa,Madelyn Solomon,9.8750,,,
