team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Ithaca College,2024,1,no meet title,Jan-13-2024,Brockport,Lauren Babineaux,9.5000,9.4500,,
Ithaca College,2024,1,no meet title,Jan-13-2024,Brockport,Marlena Bailey,,9.0250,,
Ithaca College,2024,1,no meet title,Jan-13-2024,Brockport,Abby Chesshire,,,,9.1500
Ithaca College,2024,1,no meet title,Jan-13-2024,Brockport,Skye Cohen,,8.4500,,8.6000
Ithaca College,2024,1,no meet title,Jan-13-2024,Brockport,Coral  Cotteleer,,8.4000,,
Ithaca College,2024,1,no meet title,Jan-13-2024,Brockport,Corey  Foster,,,9.5500,9.6750
Ithaca College,2024,1,no meet title,Jan-13-2024,Brockport,Jillian Freyman,9.2250,,9.3500,
Ithaca College,2024,1,no meet title,Jan-13-2024,Brockport,Kaylie Goodwin,,9.0500,9.8000,
Ithaca College,2024,1,no meet title,Jan-13-2024,Brockport,Emily Kobusky,,,9.6500,
Ithaca College,2024,1,no meet title,Jan-13-2024,Brockport,Nicole Lonski,9.7250,9.5750,,9.5000
Ithaca College,2024,1,no meet title,Jan-13-2024,Brockport,Hana Miller,9.5250,,9.1750,
Ithaca College,2024,1,no meet title,Jan-13-2024,Brockport,Grace Murray,9.2750,,,9.7750
Ithaca College,2024,1,no meet title,Jan-13-2024,Brockport,Caitlin Pellegrino,9.2000,,9.6250,9.6000
Ithaca College,2024,2,no meet title,Jan-21-2024,Ithaca College,Lauren Babineaux,8.7750,9.4750,,
Ithaca College,2024,2,no meet title,Jan-21-2024,Ithaca College,Marlena Bailey,,9.3500,,
Ithaca College,2024,2,no meet title,Jan-21-2024,Ithaca College,Abby Chesshire,,,,9.7000
Ithaca College,2024,2,no meet title,Jan-21-2024,Ithaca College,Skye Cohen,,8.4500,,
Ithaca College,2024,2,no meet title,Jan-21-2024,Ithaca College,Coral  Cotteleer,,9.2500,,
Ithaca College,2024,2,no meet title,Jan-21-2024,Ithaca College,Corey  Foster,,,9.6250,9.7750
Ithaca College,2024,2,no meet title,Jan-21-2024,Ithaca College,Jillian Freyman,9.6250,,9.3500,9.7750
Ithaca College,2024,2,no meet title,Jan-21-2024,Ithaca College,Kaylie Goodwin,,9.3750,9.4500,
Ithaca College,2024,2,no meet title,Jan-21-2024,Ithaca College,Emily Kobusky,,,9.8500,
Ithaca College,2024,2,no meet title,Jan-21-2024,Ithaca College,Nicole Lonski,9.7000,9.5750,,9.0500
