team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Kent State,2023,1,no meet title,Jan-13-2023,West Virginia,Olivia Amodei,9.7750,,,9.7000
Kent State,2023,1,no meet title,Jan-13-2023,West Virginia,Rachel Decavitch,9.8000,9.7750,9.4500,9.8500
Kent State,2023,1,no meet title,Jan-13-2023,West Virginia,Karlie Franz,,,,9.8500
Kent State,2023,1,no meet title,Jan-13-2023,West Virginia,Kyndall Gilbert,9.7750,,,
Kent State,2023,1,no meet title,Jan-13-2023,West Virginia,Alyssa Guns,9.6500,,9.4750,9.8250
Kent State,2023,1,no meet title,Jan-13-2023,West Virginia,Sarah Haxton,,9.1750,9.7250,
Kent State,2023,1,no meet title,Jan-13-2023,West Virginia,Cami Klein,,,9.6250,
Kent State,2023,1,no meet title,Jan-13-2023,West Virginia,Zoe Rankin,,,9.5500,
Kent State,2023,1,no meet title,Jan-13-2023,West Virginia,Nastia Rudnitskaya,,9.5500,,
Kent State,2023,1,no meet title,Jan-13-2023,West Virginia,Brynne Tsipis,9.6500,9.7000,,
Kent State,2023,1,no meet title,Jan-13-2023,West Virginia,Grace Wehry,,,9.7000,9.8000
Kent State,2023,1,no meet title,Jan-13-2023,West Virginia,Kennedy Weinpert,9.7750,9.7500,,9.7250
Kent State,2023,1,no meet title,Jan-13-2023,West Virginia,Taylor Wentland,,9.8000,,
Kent State,2023,2,Tennessee Collegiate Classic,Jan-20-2023,,Olivia Amodei,9.7000,9.8250,,9.8500
Kent State,2023,2,Tennessee Collegiate Classic,Jan-20-2023,,Rachel Decavitch,9.8000,9.9000,9.8000,9.8250
Kent State,2023,2,Tennessee Collegiate Classic,Jan-20-2023,,Karlie Franz,,9.7000,,9.9000
Kent State,2023,2,Tennessee Collegiate Classic,Jan-20-2023,,Kyndall Gilbert,9.8000,9.8000,,
Kent State,2023,2,Tennessee Collegiate Classic,Jan-20-2023,,Alyssa Guns,9.5000,,9.6500,9.9000
Kent State,2023,2,Tennessee Collegiate Classic,Jan-20-2023,,Sarah Haxton,,8.5500,9.8500,9.7500
Kent State,2023,2,Tennessee Collegiate Classic,Jan-20-2023,,Cami Klein,,,9.8250,
Kent State,2023,2,Tennessee Collegiate Classic,Jan-20-2023,,Zoe Rankin,9.7500,,9.7500,
Kent State,2023,2,Tennessee Collegiate Classic,Jan-20-2023,,Brynne Tsipis,9.6500,9.8250,,
Kent State,2023,2,Tennessee Collegiate Classic,Jan-20-2023,,Grace Wehry,,,9.1750,9.8250
Kent State,2023,3,no meet title,Jan-29-2023,Kent State,Olivia Amodei,9.7500,9.7750,,9.7750
