team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Kentucky,2020,1,no meet title,Jan-03-2020,Utah,Raina Albores,,9.7750,,
Kentucky,2020,1,no meet title,Jan-03-2020,Utah,Josie Angeny,9.7500,9.7250,9.7250,
Kentucky,2020,1,no meet title,Jan-03-2020,Utah,Mackenzie Harman,,,9.7750,
Kentucky,2020,1,no meet title,Jan-03-2020,Utah,Mollie Korth,9.8750,9.8250,9.8750,9.8000
Kentucky,2020,1,no meet title,Jan-03-2020,Utah,Alaina Kwan,9.6250,9.0000,,9.6250
Kentucky,2020,1,no meet title,Jan-03-2020,Utah,Megan Monfredi,,,,9.7750
Kentucky,2020,1,no meet title,Jan-03-2020,Utah,Cally Nixon,,9.7750,,
Kentucky,2020,1,no meet title,Jan-03-2020,Utah,Arianna Patterson,9.7250,,,
Kentucky,2020,1,no meet title,Jan-03-2020,Utah,Hailey Poland,,,9.8000,9.6750
Kentucky,2020,1,no meet title,Jan-03-2020,Utah,Ella Warren,9.7500,9.8000,9.7250,9.7500
Kentucky,2020,1,no meet title,Jan-03-2020,Utah,Raena Worley,9.7250,,9.8000,9.6500
Kentucky,2020,2,no meet title,Jan-10-2020,Kentucky,Raina Albores,,,,9.6750
Kentucky,2020,2,no meet title,Jan-10-2020,Kentucky,Josie Angeny,9.6750,9.8000,9.8250,
Kentucky,2020,2,no meet title,Jan-10-2020,Kentucky,Mackenzie Harman,,,9.7750,
Kentucky,2020,2,no meet title,Jan-10-2020,Kentucky,Mollie Korth,9.9250,9.9250,9.8500,9.9250
Kentucky,2020,2,no meet title,Jan-10-2020,Kentucky,Alaina Kwan,9.7500,9.7500,,
Kentucky,2020,2,no meet title,Jan-10-2020,Kentucky,Megan Monfredi,,,,9.8000
Kentucky,2020,2,no meet title,Jan-10-2020,Kentucky,Cally Nixon,,9.7750,,
Kentucky,2020,2,no meet title,Jan-10-2020,Kentucky,Arianna Patterson,9.7250,,,
Kentucky,2020,2,no meet title,Jan-10-2020,Kentucky,Hailey Poland,,,9.7750,9.8250
Kentucky,2020,2,no meet title,Jan-10-2020,Kentucky,Ella Warren,9.7750,9.8750,9.8750,9.8500
Kentucky,2020,2,no meet title,Jan-10-2020,Kentucky,Raena Worley,9.7500,9.8000,9.8000,9.9000
Kentucky,2020,3,no meet title,Jan-17-2020,Kentucky,Raina Albores,,,,9.8000
Kentucky,2020,3,no meet title,Jan-17-2020,Kentucky,Josie Angeny,,9.6000,9.9250,
Kentucky,2020,3,no meet title,Jan-17-2020,Kentucky,Mackenzie Harman,,,8.5500,
Kentucky,2020,3,no meet title,Jan-17-2020,Kentucky,Mollie Korth,9.8250,9.8250,9.8250,9.9250
Kentucky,2020,3,no meet title,Jan-17-2020,Kentucky,Alaina Kwan,9.7500,9.5750,,
Kentucky,2020,3,no meet title,Jan-17-2020,Kentucky,Megan Monfredi,,,,9.8250
Kentucky,2020,3,no meet title,Jan-17-2020,Kentucky,Cally Nixon,9.7000,9.3250,,
Kentucky,2020,3,no meet title,Jan-17-2020,Kentucky,Arianna Patterson,9.8750,,,
Kentucky,2020,3,no meet title,Jan-17-2020,Kentucky,Hailey Poland,,,9.8750,9.8750
Kentucky,2020,3,no meet title,Jan-17-2020,Kentucky,Ella Warren,9.8000,9.8250,9.7750,9.9250
Kentucky,2020,3,no meet title,Jan-17-2020,Kentucky,Raena Worley,9.8250,9.8000,9.8000,9.9250
Kentucky,2020,4,no meet title,Jan-24-2020,Arkansas,Raina Albores,,,,9.6000
Kentucky,2020,4,no meet title,Jan-24-2020,Arkansas,Josie Angeny,9.8500,9.8000,9.8750,
Kentucky,2020,4,no meet title,Jan-24-2020,Arkansas,Mollie Korth,9.9500,9.9000,9.8750,9.9000
Kentucky,2020,4,no meet title,Jan-24-2020,Arkansas,Alaina Kwan,9.6250,,,
Kentucky,2020,4,no meet title,Jan-24-2020,Arkansas,Shealyn Luksik,,9.8750,,
Kentucky,2020,4,no meet title,Jan-24-2020,Arkansas,Megan Monfredi,,,,9.7750
Kentucky,2020,4,no meet title,Jan-24-2020,Arkansas,Cally Nixon,,9.8500,,
Kentucky,2020,4,no meet title,Jan-24-2020,Arkansas,Arianna Patterson,9.7500,,9.7250,
Kentucky,2020,4,no meet title,Jan-24-2020,Arkansas,Hailey Poland,,,9.7750,9.8500
Kentucky,2020,4,no meet title,Jan-24-2020,Arkansas,Ella Warren,9.7500,9.8500,9.8250,9.8000
Kentucky,2020,4,no meet title,Jan-24-2020,Arkansas,Raena Worley,9.7750,9.7750,9.8500,9.8750
Kentucky,2020,5,no meet title,Jan-31-2020,Kentucky,Josie Angeny,9.8250,9.7250,9.8250,
Kentucky,2020,5,no meet title,Jan-31-2020,Kentucky,Mollie Korth,9.8750,9.8000,9.1500,9.9250
Kentucky,2020,5,no meet title,Jan-31-2020,Kentucky,Shealyn Luksik,,9.7750,,
Kentucky,2020,5,no meet title,Jan-31-2020,Kentucky,Megan Monfredi,,,,9.8000
Kentucky,2020,5,no meet title,Jan-31-2020,Kentucky,Cally Nixon,9.8500,9.9000,,
Kentucky,2020,5,no meet title,Jan-31-2020,Kentucky,Arianna Patterson,9.8250,,9.8500,9.6250
Kentucky,2020,5,no meet title,Jan-31-2020,Kentucky,Hailey Poland,,,9.8500,9.8000
Kentucky,2020,5,no meet title,Jan-31-2020,Kentucky,Ella Warren,9.8000,9.8000,9.7250,9.9000
Kentucky,2020,5,no meet title,Jan-31-2020,Kentucky,Raena Worley,9.8000,9.8250,9.7750,9.8750
Kentucky,2020,6,no meet title,Feb-07-2020,Auburn,Raina Albores,,,,9.8500
Kentucky,2020,6,no meet title,Feb-07-2020,Auburn,Josie Angeny,9.8500,9.7750,9.9000,
Kentucky,2020,6,no meet title,Feb-07-2020,Auburn,Mollie Korth,9.9500,9.8750,9.8500,9.9000
Kentucky,2020,6,no meet title,Feb-07-2020,Auburn,Shealyn Luksik,,9.8000,,
Kentucky,2020,6,no meet title,Feb-07-2020,Auburn,Megan Monfredi,,,,9.6750
Kentucky,2020,6,no meet title,Feb-07-2020,Auburn,Cally Nixon,9.8750,9.7750,,
Kentucky,2020,6,no meet title,Feb-07-2020,Auburn,Arianna Patterson,9.9000,,9.8250,
Kentucky,2020,6,no meet title,Feb-07-2020,Auburn,Hailey Poland,,,9.8500,9.8750
Kentucky,2020,6,no meet title,Feb-07-2020,Auburn,Ella Warren,9.8250,9.8250,9.8000,9.9250
Kentucky,2020,6,no meet title,Feb-07-2020,Auburn,Raena Worley,9.8000,9.8000,9.8750,9.9500
Kentucky,2020,7,no meet title,Feb-16-2020,LSU,Raina Albores,,,,9.6500
Kentucky,2020,7,no meet title,Feb-16-2020,LSU,Josie Angeny,9.7250,9.8250,9.8500,
Kentucky,2020,7,no meet title,Feb-16-2020,LSU,Anna Haigis,,,9.6750,
Kentucky,2020,7,no meet title,Feb-16-2020,LSU,Mollie Korth,9.8750,9.9250,9.1500,9.9000
Kentucky,2020,7,no meet title,Feb-16-2020,LSU,Shealyn Luksik,,9.8000,,
Kentucky,2020,7,no meet title,Feb-16-2020,LSU,Megan Monfredi,,,,9.8750
Kentucky,2020,7,no meet title,Feb-16-2020,LSU,Cally Nixon,9.6500,9.8750,,
Kentucky,2020,7,no meet title,Feb-16-2020,LSU,Arianna Patterson,9.8000,,,
Kentucky,2020,7,no meet title,Feb-16-2020,LSU,Hailey Poland,,,9.8750,9.8250
Kentucky,2020,7,no meet title,Feb-16-2020,LSU,Ella Warren,9.7750,9.9250,9.7750,9.8750
Kentucky,2020,7,no meet title,Feb-16-2020,LSU,Raena Worley,9.2500,9.7750,9.9000,9.9000
Kentucky,2020,8,no meet title,Feb-21-2020,Kentucky,Raina Albores,,,,9.8000
Kentucky,2020,8,no meet title,Feb-21-2020,Kentucky,Josie Angeny,9.8750,9.8000,9.8250,
Kentucky,2020,8,no meet title,Feb-21-2020,Kentucky,Anna Haigis,,,9.6000,
Kentucky,2020,8,no meet title,Feb-21-2020,Kentucky,Mollie Korth,9.9750,9.9000,,9.9250
Kentucky,2020,8,no meet title,Feb-21-2020,Kentucky,Alaina Kwan,9.8250,,,
Kentucky,2020,8,no meet title,Feb-21-2020,Kentucky,Shealyn Luksik,,9.8250,,
Kentucky,2020,8,no meet title,Feb-21-2020,Kentucky,Megan Monfredi,,,,9.8000
Kentucky,2020,8,no meet title,Feb-21-2020,Kentucky,Cally Nixon,9.8500,9.9000,,
Kentucky,2020,8,no meet title,Feb-21-2020,Kentucky,Arianna Patterson,9.8500,,9.6750,
Kentucky,2020,8,no meet title,Feb-21-2020,Kentucky,Hailey Poland,,,9.9000,9.8500
Kentucky,2020,8,no meet title,Feb-21-2020,Kentucky,Ella Warren,9.7500,9.7250,9.0500,9.9250
Kentucky,2020,8,no meet title,Feb-21-2020,Kentucky,Raena Worley,,9.8750,9.7500,9.9000
Kentucky,2020,9,no meet title,Feb-28-2020,Alabama,Josie Angeny,9.8000,9.8250,9.8000,
Kentucky,2020,9,no meet title,Feb-28-2020,Alabama,Mollie Korth,9.9250,9.8750,9.8500,9.9250
Kentucky,2020,9,no meet title,Feb-28-2020,Alabama,Shealyn Luksik,,9.8750,,
Kentucky,2020,9,no meet title,Feb-28-2020,Alabama,Megan Monfredi,,,,9.6000
Kentucky,2020,9,no meet title,Feb-28-2020,Alabama,Cally Nixon,9.8500,9.8500,,
Kentucky,2020,9,no meet title,Feb-28-2020,Alabama,Arianna Patterson,9.8500,,9.8000,9.6000
Kentucky,2020,9,no meet title,Feb-28-2020,Alabama,Hailey Poland,,,9.8250,9.8250
Kentucky,2020,9,no meet title,Feb-28-2020,Alabama,Ella Warren,9.7750,9.7750,9.8750,9.8750
Kentucky,2020,9,no meet title,Feb-28-2020,Alabama,Raena Worley,9.7750,9.7500,9.7000,9.8750
Kentucky,2020,10,no meet title,Mar-06-2020,Kentucky,Josie Angeny,9.7250,9.7250,9.9500,
Kentucky,2020,10,no meet title,Mar-06-2020,Kentucky,Kaitlin Deguzman,,,,9.8000
Kentucky,2020,10,no meet title,Mar-06-2020,Kentucky,Mollie Korth,9.8000,9.9000,9.8250,9.9000
Kentucky,2020,10,no meet title,Mar-06-2020,Kentucky,Alaina Kwan,9.8250,9.2500,,
Kentucky,2020,10,no meet title,Mar-06-2020,Kentucky,Shealyn Luksik,,9.8500,,
Kentucky,2020,10,no meet title,Mar-06-2020,Kentucky,Megan Monfredi,,,,9.8250
Kentucky,2020,10,no meet title,Mar-06-2020,Kentucky,Cally Nixon,9.8500,9.3750,,
Kentucky,2020,10,no meet title,Mar-06-2020,Kentucky,Arianna Patterson,9.8500,,9.7750,
Kentucky,2020,10,no meet title,Mar-06-2020,Kentucky,Hailey Poland,,,9.8000,9.8000
Kentucky,2020,10,no meet title,Mar-06-2020,Kentucky,Ella Warren,9.7500,9.8750,9.7750,9.9000
Kentucky,2020,10,no meet title,Mar-06-2020,Kentucky,Raena Worley,,,9.9250,9.9500
