team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
LIU,2023,1,no meet title,Jan-08-2023,LIU,Ella Barrington,,,9.6500,9.8000
LIU,2023,1,no meet title,Jan-08-2023,LIU,Jah'Liyah Bedminster,9.7500,9.7750,,9.3750
LIU,2023,1,no meet title,Jan-08-2023,LIU,Cael Bixler,,,9.0750,
LIU,2023,1,no meet title,Jan-08-2023,LIU,Taylor Doten,,,9.4250,
LIU,2023,1,no meet title,Jan-08-2023,LIU,Talia Folino,,9.7750,,
LIU,2023,1,no meet title,Jan-08-2023,LIU,Ilka Juk,,9.5750,9.7750,
LIU,2023,1,no meet title,Jan-08-2023,LIU,Katy Koopman,9.7500,,,9.8000
LIU,2023,1,no meet title,Jan-08-2023,LIU,Amanda Loo,9.5750,,,9.6250
LIU,2023,1,no meet title,Jan-08-2023,LIU,Lauren Miller,,9.0500,,9.6500
LIU,2023,1,no meet title,Jan-08-2023,LIU,Syd Morris,9.8000,,9.7250,9.8000
LIU,2023,1,no meet title,Jan-08-2023,LIU,Alana Ricketts,9.7000,,9.6000,
LIU,2023,1,no meet title,Jan-08-2023,LIU,Isabella Savino,9.7500,9.7500,,
LIU,2023,1,no meet title,Jan-08-2023,LIU,Mara Titarsolej,,9.9250,,
LIU,2023,2,no meet title,Jan-13-2023,Penn State,Ella Barrington,,,,9.7750
LIU,2023,2,no meet title,Jan-13-2023,Penn State,Jah'Liyah Bedminster,9.5500,9.6000,,
LIU,2023,2,no meet title,Jan-13-2023,Penn State,Cael Bixler,,,9.8000,
LIU,2023,2,no meet title,Jan-13-2023,Penn State,Talia Folino,9.6250,9.6000,,
LIU,2023,2,no meet title,Jan-13-2023,Penn State,Karsyn Foster,,,9.4000,
LIU,2023,2,no meet title,Jan-13-2023,Penn State,Ilka Juk,,9.7750,9.8750,
LIU,2023,2,no meet title,Jan-13-2023,Penn State,Katy Koopman,9.7250,,,9.7500
LIU,2023,2,no meet title,Jan-13-2023,Penn State,Amanda Loo,,,,9.7500
