team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
LSU,2021,1,no meet title,Jan-08-2021,LSU,Elena Arenas,9.7750,,9.5750,
LSU,2021,1,no meet title,Jan-08-2021,LSU,Chase Brock,9.7750,9.7500,,
LSU,2021,1,no meet title,Jan-08-2021,LSU,Haleigh Bryant,9.9000,9.8500,,9.9750
LSU,2021,1,no meet title,Jan-08-2021,LSU,Reagan Campbell,,,9.7750,
LSU,2021,1,no meet title,Jan-08-2021,LSU,Bridget Dean,,,9.9000,9.6250
LSU,2021,1,no meet title,Jan-08-2021,LSU,Christina Desiderio,,,9.8750,9.8500
LSU,2021,1,no meet title,Jan-08-2021,LSU,Olivia Dunne,,9.8750,,
LSU,2021,1,no meet title,Jan-08-2021,LSU,Sami Durante,,9.9000,9.7000,
LSU,2021,1,no meet title,Jan-08-2021,LSU,Sarah Edwards,9.8750,,,9.8750
LSU,2021,1,no meet title,Jan-08-2021,LSU,Kiya Johnson,9.8500,9.8250,9.2750,10.0000
LSU,2021,1,no meet title,Jan-08-2021,LSU,Alyona Shchennikova,9.3000,9.7250,,9.6500
LSU,2021,2,no meet title,Jan-15-2021,Arkansas,Elena Arenas,9.8000,,9.8250,
LSU,2021,2,no meet title,Jan-15-2021,Arkansas,Chase Brock,9.8250,,,
LSU,2021,2,no meet title,Jan-15-2021,Arkansas,Haleigh Bryant,9.8500,9.9000,9.9000,9.9500
LSU,2021,2,no meet title,Jan-15-2021,Arkansas,Reagan Campbell,,,9.9000,9.8500
LSU,2021,2,no meet title,Jan-15-2021,Arkansas,Bridget Dean,,9.8250,9.9000,9.7500
LSU,2021,2,no meet title,Jan-15-2021,Arkansas,Christina Desiderio,,,,9.4000
LSU,2021,2,no meet title,Jan-15-2021,Arkansas,Olivia Dunne,,9.9000,,
LSU,2021,2,no meet title,Jan-15-2021,Arkansas,Sami Durante,,9.8750,9.8500,
LSU,2021,2,no meet title,Jan-15-2021,Arkansas,Sarah Edwards,9.8000,,,9.8750
LSU,2021,2,no meet title,Jan-15-2021,Arkansas,Kiya Johnson,9.7750,9.8250,9.0500,9.9500
LSU,2021,2,no meet title,Jan-15-2021,Arkansas,Alyona Shchennikova,9.8250,9.9250,,
LSU,2021,3,no meet title,Jan-22-2021,LSU,Elena Arenas,9.8000,,9.6250,
LSU,2021,3,no meet title,Jan-22-2021,LSU,Chase Brock,9.8250,,,
LSU,2021,3,no meet title,Jan-22-2021,LSU,Haleigh Bryant,9.9000,9.8500,9.8750,9.8500
LSU,2021,3,no meet title,Jan-22-2021,LSU,Reagan Campbell,,,9.9500,9.8750
LSU,2021,3,no meet title,Jan-22-2021,LSU,Bridget Dean,,9.1500,9.8750,9.9000
LSU,2021,3,no meet title,Jan-22-2021,LSU,Christina Desiderio,,,9.8000,9.2000
LSU,2021,3,no meet title,Jan-22-2021,LSU,Olivia Dunne,,9.7000,,
LSU,2021,3,no meet title,Jan-22-2021,LSU,Sami Durante,9.8500,9.9000,9.8500,
LSU,2021,3,no meet title,Jan-22-2021,LSU,Sarah Edwards,9.8250,,,9.9250
LSU,2021,3,no meet title,Jan-22-2021,LSU,Kiya Johnson,,9.8750,,
LSU,2021,3,no meet title,Jan-22-2021,LSU,Alyona Shchennikova,9.8750,9.8000,,9.9000
LSU,2021,4,no meet title,Feb-05-2021,Auburn,Elena Arenas,9.9000,,,9.8750
LSU,2021,4,no meet title,Feb-05-2021,Auburn,Sierra Ballard,,,,9.8250
LSU,2021,4,no meet title,Feb-05-2021,Auburn,Chase Brock,9.8000,9.8750,,
LSU,2021,4,no meet title,Feb-05-2021,Auburn,Haleigh Bryant,9.9000,9.8250,9.9000,9.9250
LSU,2021,4,no meet title,Feb-05-2021,Auburn,Reagan Campbell,,,9.8750,9.9000
LSU,2021,4,no meet title,Feb-05-2021,Auburn,Bridget Dean,,,9.8750,9.8000
LSU,2021,4,no meet title,Feb-05-2021,Auburn,Christina Desiderio,,,9.9000,
LSU,2021,4,no meet title,Feb-05-2021,Auburn,Olivia Dunne,,9.9250,,
LSU,2021,4,no meet title,Feb-05-2021,Auburn,Sami Durante,,9.9500,9.8500,
LSU,2021,4,no meet title,Feb-05-2021,Auburn,Kiya Johnson,9.7000,9.9000,,
LSU,2021,4,no meet title,Feb-05-2021,Auburn,Kamryn Ryan,9.3250,,,
LSU,2021,4,no meet title,Feb-05-2021,Auburn,Alyona Shchennikova,9.9000,9.8250,9.8750,9.9250
LSU,2021,5,no meet title,Feb-12-2021,LSU,Elena Arenas,9.8500,,,
LSU,2021,5,no meet title,Feb-12-2021,LSU,Sierra Ballard,,,,9.9250
LSU,2021,5,no meet title,Feb-12-2021,LSU,Chase Brock,9.8250,9.8250,,
LSU,2021,5,no meet title,Feb-12-2021,LSU,Haleigh Bryant,9.9500,9.8750,9.8750,9.4250
LSU,2021,5,no meet title,Feb-12-2021,LSU,Reagan Campbell,,,9.8250,
LSU,2021,5,no meet title,Feb-12-2021,LSU,Bridget Dean,,,9.9250,9.8750
LSU,2021,5,no meet title,Feb-12-2021,LSU,Christina Desiderio,,,9.9000,9.7500
LSU,2021,5,no meet title,Feb-12-2021,LSU,Olivia Dunne,,9.8500,,
LSU,2021,5,no meet title,Feb-12-2021,LSU,Sami Durante,,9.9500,9.9250,
LSU,2021,5,no meet title,Feb-12-2021,LSU,Sarah Edwards,9.9250,,,9.8750
LSU,2021,5,no meet title,Feb-12-2021,LSU,Kiya Johnson,9.9500,9.9250,9.9250,
LSU,2021,5,no meet title,Feb-12-2021,LSU,Alyona Shchennikova,9.9250,9.9500,,9.9250
LSU,2021,6,no meet title,Feb-19-2021,Alabama,Elena Arenas,9.8250,,,9.8250
LSU,2021,6,no meet title,Feb-19-2021,Alabama,Sierra Ballard,,,,9.7250
LSU,2021,6,no meet title,Feb-19-2021,Alabama,Haleigh Bryant,9.9000,9.8750,9.8750,9.9500
LSU,2021,6,no meet title,Feb-19-2021,Alabama,Bridget Dean,,9.8000,9.8750,9.8250
LSU,2021,6,no meet title,Feb-19-2021,Alabama,Christina Desiderio,,,9.8750,
LSU,2021,6,no meet title,Feb-19-2021,Alabama,Olivia Dunne,,9.8500,,
LSU,2021,6,no meet title,Feb-19-2021,Alabama,Sami Durante,9.8500,9.8750,9.6250,
LSU,2021,6,no meet title,Feb-19-2021,Alabama,Sarah Edwards,9.9000,,,9.9000
LSU,2021,6,no meet title,Feb-19-2021,Alabama,Kiya Johnson,9.8500,9.8750,9.8750,
LSU,2021,6,no meet title,Feb-19-2021,Alabama,Alyona Shchennikova,9.7750,9.9000,9.8750,9.7500
LSU,2021,7,no meet title,Feb-26-2021,Kentucky,Elena Arenas,9.9250,,,9.7250
LSU,2021,7,no meet title,Feb-26-2021,Kentucky,Sierra Ballard,,,,9.8500
LSU,2021,7,no meet title,Feb-26-2021,Kentucky,Haleigh Bryant,9.9250,9.8500,,9.9500
LSU,2021,7,no meet title,Feb-26-2021,Kentucky,Reagan Campbell,,,9.3500,
LSU,2021,7,no meet title,Feb-26-2021,Kentucky,Bridget Dean,,9.7250,9.8000,9.7000
LSU,2021,7,no meet title,Feb-26-2021,Kentucky,Christina Desiderio,,,9.8750,9.9000
LSU,2021,7,no meet title,Feb-26-2021,Kentucky,Olivia Dunne,,9.7750,,
LSU,2021,7,no meet title,Feb-26-2021,Kentucky,Sami Durante,9.1750,9.8000,9.3000,
LSU,2021,7,no meet title,Feb-26-2021,Kentucky,Sarah Edwards,9.8750,,,9.9000
LSU,2021,7,no meet title,Feb-26-2021,Kentucky,Kiya Johnson,9.9500,9.8000,9.8750,
LSU,2021,7,no meet title,Feb-26-2021,Kentucky,Alyona Shchennikova,9.9500,9.8000,9.9250,
LSU,2021,8,no meet title,Mar-05-2021,LSU,Elena Arenas,9.8750,,,
LSU,2021,8,no meet title,Mar-05-2021,LSU,Sierra Ballard,,,,9.9250
LSU,2021,8,no meet title,Mar-05-2021,LSU,Chase Brock,,9.2500,,
LSU,2021,8,no meet title,Mar-05-2021,LSU,Haleigh Bryant,10.0000,9.8250,9.8500,9.9500
LSU,2021,8,no meet title,Mar-05-2021,LSU,Bridget Dean,,,9.9250,
LSU,2021,8,no meet title,Mar-05-2021,LSU,Christina Desiderio,,,9.9500,9.8500
LSU,2021,8,no meet title,Mar-05-2021,LSU,Olivia Dunne,,9.7750,,
LSU,2021,8,no meet title,Mar-05-2021,LSU,Sami Durante,9.8250,9.9000,9.8750,
LSU,2021,8,no meet title,Mar-05-2021,LSU,Sarah Edwards,9.9000,,,9.9000
LSU,2021,8,no meet title,Mar-05-2021,LSU,Kiya Johnson,9.9500,9.8500,9.8250,10.0000
LSU,2021,8,no meet title,Mar-05-2021,LSU,Alyona Shchennikova,9.7500,9.9000,9.8250,9.8750
LSU,2021,9,SEC Conference,Mar-20-2021,,Elena Arenas,9.9500,,,
LSU,2021,9,SEC Conference,Mar-20-2021,,Sierra Ballard,,,,9.8000
LSU,2021,9,SEC Conference,Mar-20-2021,,Chase Brock,,9.8250,,
LSU,2021,9,SEC Conference,Mar-20-2021,,Haleigh Bryant,9.9500,9.8000,9.7750,9.9250
LSU,2021,9,SEC Conference,Mar-20-2021,,Reagan Campbell,,,9.8500,
LSU,2021,9,SEC Conference,Mar-20-2021,,Bridget Dean,,,9.8750,
LSU,2021,9,SEC Conference,Mar-20-2021,,Christina Desiderio,,,9.8000,9.8500
LSU,2021,9,SEC Conference,Mar-20-2021,,Olivia Dunne,,9.9000,,
LSU,2021,9,SEC Conference,Mar-20-2021,,Sami Durante,9.9000,9.9000,9.8750,
LSU,2021,9,SEC Conference,Mar-20-2021,,Sarah Edwards,9.9000,,,9.7000
LSU,2021,9,SEC Conference,Mar-20-2021,,Kiya Johnson,9.8500,9.8750,9.9000,10.0000
LSU,2021,9,SEC Conference,Mar-20-2021,,Alyona Shchennikova,9.9250,9.8500,,9.9250
LSU,2021,10,Utah Regional 2,Apr-02-2021,,Elena Arenas,9.8250,,,
LSU,2021,10,Utah Regional 2,Apr-02-2021,,Sierra Ballard,,,,9.7500
LSU,2021,10,Utah Regional 2,Apr-02-2021,,Chase Brock,9.9000,9.1000,,
LSU,2021,10,Utah Regional 2,Apr-02-2021,,Haleigh Bryant,9.9500,9.9000,9.2250,9.3750
LSU,2021,10,Utah Regional 2,Apr-02-2021,,Reagan Campbell,,,9.9250,
LSU,2021,10,Utah Regional 2,Apr-02-2021,,Bridget Dean,,,9.8500,
LSU,2021,10,Utah Regional 2,Apr-02-2021,,Christina Desiderio,,,9.8000,9.8750
LSU,2021,10,Utah Regional 2,Apr-02-2021,,Olivia Dunne,,9.8250,,
LSU,2021,10,Utah Regional 2,Apr-02-2021,,Sami Durante,,9.9500,8.8750,
LSU,2021,10,Utah Regional 2,Apr-02-2021,,Sarah Edwards,9.8750,,,9.9000
LSU,2021,10,Utah Regional 2,Apr-02-2021,,Kiya Johnson,9.9500,9.9000,9.9000,9.9500
LSU,2021,10,Utah Regional 2,Apr-02-2021,,Alyona Shchennikova,9.8500,9.8750,,9.8750
LSU,2021,11,Utah Regional Final,Apr-03-2021,,Elena Arenas,9.8750,,,
LSU,2021,11,Utah Regional Final,Apr-03-2021,,Sierra Ballard,,,,9.9000
LSU,2021,11,Utah Regional Final,Apr-03-2021,,Chase Brock,9.8250,9.8500,,
LSU,2021,11,Utah Regional Final,Apr-03-2021,,Haleigh Bryant,10.0000,9.8500,,9.3500
LSU,2021,11,Utah Regional Final,Apr-03-2021,,Reagan Campbell,,,9.9250,
LSU,2021,11,Utah Regional Final,Apr-03-2021,,Bridget Dean,,,9.9250,
LSU,2021,11,Utah Regional Final,Apr-03-2021,,Christina Desiderio,,,9.9000,9.8750
LSU,2021,11,Utah Regional Final,Apr-03-2021,,Olivia Dunne,,9.8500,,
LSU,2021,11,Utah Regional Final,Apr-03-2021,,Sami Durante,,9.9000,9.9500,
LSU,2021,11,Utah Regional Final,Apr-03-2021,,Sarah Edwards,9.8500,,,9.8500
LSU,2021,11,Utah Regional Final,Apr-03-2021,,Kiya Johnson,9.9000,9.3250,9.1500,9.9500
LSU,2021,11,Utah Regional Final,Apr-03-2021,,Alyona Shchennikova,9.8500,9.8250,9.8250,9.9000
LSU,2021,12,NCAA Championships,Apr-16-2021,,Elena Arenas,9.8125,,,
LSU,2021,12,NCAA Championships,Apr-16-2021,,Sierra Ballard,,,,9.9000
LSU,2021,12,NCAA Championships,Apr-16-2021,,Chase Brock,,9.8750,,
LSU,2021,12,NCAA Championships,Apr-16-2021,,Haleigh Bryant,9.9750,9.8500,9.9250,9.8750
LSU,2021,12,NCAA Championships,Apr-16-2021,,Reagan Campbell,,,9.7750,
LSU,2021,12,NCAA Championships,Apr-16-2021,,Bridget Dean,,,9.8625,
LSU,2021,12,NCAA Championships,Apr-16-2021,,Christina Desiderio,,,9.7250,9.9000
LSU,2021,12,NCAA Championships,Apr-16-2021,,Olivia Dunne,,9.9000,,
LSU,2021,12,NCAA Championships,Apr-16-2021,,Sami Durante,9.8750,9.2500,,
LSU,2021,12,NCAA Championships,Apr-16-2021,,Sarah Edwards,9.8750,,,9.9000
LSU,2021,12,NCAA Championships,Apr-16-2021,,Kiya Johnson,9.9500,9.8500,9.8875,9.9125
LSU,2021,12,NCAA Championships,Apr-16-2021,,Alyona Shchennikova,9.8375,9.9000,9.4375,9.8875
