team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Lindenwood,2022,1,no meet title,Jan-15-2022,Lindenwood,Trinity Caffey,9.6750,,,8.8750
Lindenwood,2022,1,no meet title,Jan-15-2022,Lindenwood,Kaylee Cooper,,,,9.5500
Lindenwood,2022,1,no meet title,Jan-15-2022,Lindenwood,Riley Daniels,,9.6500,9.2500,
Lindenwood,2022,1,no meet title,Jan-15-2022,Lindenwood,Jenna Eagles,9.5000,,,9.5500
Lindenwood,2022,1,no meet title,Jan-15-2022,Lindenwood,Gayla Griswold,9.1500,9.4500,9.7250,9.7500
Lindenwood,2022,1,no meet title,Jan-15-2022,Lindenwood,Sydney Lopez,9.5750,9.3000,,9.2500
Lindenwood,2022,1,no meet title,Jan-15-2022,Lindenwood,Hannah Moon,9.6000,9.5750,9.7250,
Lindenwood,2022,1,no meet title,Jan-15-2022,Lindenwood,Hadley Roberts,,,9.8500,9.7250
Lindenwood,2022,1,no meet title,Jan-15-2022,Lindenwood,Madison Rush,,,9.6750,
Lindenwood,2022,1,no meet title,Jan-15-2022,Lindenwood,Carley Scott,,9.5250,,
Lindenwood,2022,1,no meet title,Jan-15-2022,Lindenwood,Nicole Wojcik,9.0500,9.5750,9.2500,
Lindenwood,2022,2,Tennessee Collegiate Classic,Jan-21-2022,,Hannah Appleget,,9.3250,9.8250,
Lindenwood,2022,2,Tennessee Collegiate Classic,Jan-21-2022,,Trinity Caffey,9.7500,,,9.8250
Lindenwood,2022,2,Tennessee Collegiate Classic,Jan-21-2022,,Kaylee Cooper,,9.8000,,
Lindenwood,2022,2,Tennessee Collegiate Classic,Jan-21-2022,,Riley Daniels,,9.7000,,
Lindenwood,2022,2,Tennessee Collegiate Classic,Jan-21-2022,,Simone Evans,,,,9.8000
Lindenwood,2022,2,Tennessee Collegiate Classic,Jan-21-2022,,Payton Gatzlaff,9.7500,,,
Lindenwood,2022,2,Tennessee Collegiate Classic,Jan-21-2022,,Gayla Griswold,9.7500,,9.7750,9.8500
Lindenwood,2022,2,Tennessee Collegiate Classic,Jan-21-2022,,Sydney Lopez,9.8000,9.7000,,9.8000
Lindenwood,2022,2,Tennessee Collegiate Classic,Jan-21-2022,,Hannah Moon,9.7000,9.7250,9.8250,9.6500
Lindenwood,2022,2,Tennessee Collegiate Classic,Jan-21-2022,,Hadley Roberts,,,9.9000,9.7500
Lindenwood,2022,2,Tennessee Collegiate Classic,Jan-21-2022,,Madison Rush,,,9.7750,
Lindenwood,2022,2,Tennessee Collegiate Classic,Jan-21-2022,,Nicole Wojcik,9.6000,9.6750,9.5250,
Lindenwood,2022,3,no meet title,Jan-29-2022,Lindenwood,Hannah Appleget,,9.8500,9.7500,
Lindenwood,2022,3,no meet title,Jan-29-2022,Lindenwood,Trinity Caffey,9.3750,,,9.7000
Lindenwood,2022,3,no meet title,Jan-29-2022,Lindenwood,Kaylee Cooper,,9.7750,,
Lindenwood,2022,3,no meet title,Jan-29-2022,Lindenwood,Riley Daniels,9.6000,9.7500,,
Lindenwood,2022,3,no meet title,Jan-29-2022,Lindenwood,Jenna Eagles,9.2500,,,9.7750
Lindenwood,2022,3,no meet title,Jan-29-2022,Lindenwood,Simone Evans,,,,9.7250
Lindenwood,2022,3,no meet title,Jan-29-2022,Lindenwood,Gayla Griswold,9.8250,,9.7750,9.8500
Lindenwood,2022,3,no meet title,Jan-29-2022,Lindenwood,Sydney Lopez,9.6250,9.7750,,9.8250
Lindenwood,2022,3,no meet title,Jan-29-2022,Lindenwood,Hannah Moon,,9.7750,9.7000,
Lindenwood,2022,3,no meet title,Jan-29-2022,Lindenwood,Hadley Roberts,,,9.0500,9.7250
Lindenwood,2022,3,no meet title,Jan-29-2022,Lindenwood,Madison Rush,,,9.7750,
Lindenwood,2022,3,no meet title,Jan-29-2022,Lindenwood,Carley Scott,,9.7750,,
Lindenwood,2022,3,no meet title,Jan-29-2022,Lindenwood,Nicole Wojcik,9.1000,,9.7250,
Lindenwood,2022,4,no meet title,Feb-04-2022,Northern Illinois,Hannah Appleget,,7.3500,9.1250,
Lindenwood,2022,4,no meet title,Feb-04-2022,Northern Illinois,Trinity Caffey,9.6750,,,9.7750
Lindenwood,2022,4,no meet title,Feb-04-2022,Northern Illinois,Kaylee Cooper,,9.1000,,
Lindenwood,2022,4,no meet title,Feb-04-2022,Northern Illinois,Riley Daniels,9.5500,9.7500,,
Lindenwood,2022,4,no meet title,Feb-04-2022,Northern Illinois,Jenna Eagles,,,,9.6250
Lindenwood,2022,4,no meet title,Feb-04-2022,Northern Illinois,Simone Evans,9.4250,,,9.7500
Lindenwood,2022,4,no meet title,Feb-04-2022,Northern Illinois,Payton Gatzlaff,9.6250,,,
Lindenwood,2022,4,no meet title,Feb-04-2022,Northern Illinois,Gayla Griswold,9.8250,,9.7500,9.8750
Lindenwood,2022,4,no meet title,Feb-04-2022,Northern Illinois,Sydney Lopez,9.7000,9.5000,,9.7250
Lindenwood,2022,4,no meet title,Feb-04-2022,Northern Illinois,Hannah Moon,,9.7750,9.5250,
Lindenwood,2022,4,no meet title,Feb-04-2022,Northern Illinois,Hadley Roberts,,,9.8500,9.7250
Lindenwood,2022,4,no meet title,Feb-04-2022,Northern Illinois,Madison Rush,,,9.6750,
Lindenwood,2022,4,no meet title,Feb-04-2022,Northern Illinois,Carley Scott,,9.6500,,
Lindenwood,2022,4,no meet title,Feb-04-2022,Northern Illinois,Nicole Wojcik,,,9.8250,
Lindenwood,2022,5,no meet title,Feb-11-2022,S.E. Missouri,Hannah Appleget,,9.7750,9.7250,
Lindenwood,2022,5,no meet title,Feb-11-2022,S.E. Missouri,Trinity Caffey,,,,9.7000
Lindenwood,2022,5,no meet title,Feb-11-2022,S.E. Missouri,Kaylee Cooper,,9.7250,,9.5750
Lindenwood,2022,5,no meet title,Feb-11-2022,S.E. Missouri,Riley Daniels,9.7500,9.7250,,
Lindenwood,2022,5,no meet title,Feb-11-2022,S.E. Missouri,Jenna Eagles,,,,9.6250
Lindenwood,2022,5,no meet title,Feb-11-2022,S.E. Missouri,Simone Evans,9.8500,,,9.7250
Lindenwood,2022,5,no meet title,Feb-11-2022,S.E. Missouri,Payton Gatzlaff,9.7000,,,
Lindenwood,2022,5,no meet title,Feb-11-2022,S.E. Missouri,Gayla Griswold,9.9000,,9.6500,9.9000
Lindenwood,2022,5,no meet title,Feb-11-2022,S.E. Missouri,Sydney Lopez,9.6750,9.2000,,
Lindenwood,2022,5,no meet title,Feb-11-2022,S.E. Missouri,Hannah Moon,,9.7750,9.7250,
Lindenwood,2022,5,no meet title,Feb-11-2022,S.E. Missouri,Michelle Reed,9.8000,,,
Lindenwood,2022,5,no meet title,Feb-11-2022,S.E. Missouri,Hadley Roberts,,,9.8250,9.8000
Lindenwood,2022,5,no meet title,Feb-11-2022,S.E. Missouri,Madison Rush,,,9.8000,
Lindenwood,2022,5,no meet title,Feb-11-2022,S.E. Missouri,Carley Scott,,9.6750,,
Lindenwood,2022,5,no meet title,Feb-11-2022,S.E. Missouri,Nicole Wojcik,,,9.5750,
Lindenwood,2022,6,GymQuarters,Feb-18-2022,,Hannah Appleget,,9.7500,9.7250,
Lindenwood,2022,6,GymQuarters,Feb-18-2022,,Trinity Caffey,,,,9.4750
Lindenwood,2022,6,GymQuarters,Feb-18-2022,,Kaylee Cooper,,8.6500,,
Lindenwood,2022,6,GymQuarters,Feb-18-2022,,Riley Daniels,9.8250,9.6500,,
Lindenwood,2022,6,GymQuarters,Feb-18-2022,,Jenna Eagles,,,,8.9500
Lindenwood,2022,6,GymQuarters,Feb-18-2022,,Simone Evans,9.6500,,,9.6500
Lindenwood,2022,6,GymQuarters,Feb-18-2022,,Payton Gatzlaff,9.5750,,,
Lindenwood,2022,6,GymQuarters,Feb-18-2022,,Gayla Griswold,9.9750,,9.7500,9.8750
Lindenwood,2022,6,GymQuarters,Feb-18-2022,,Sydney Lopez,9.8000,9.5250,,9.5250
Lindenwood,2022,6,GymQuarters,Feb-18-2022,,Hannah Moon,,9.6750,9.7500,
Lindenwood,2022,6,GymQuarters,Feb-18-2022,,Michelle Reed,9.8250,,,
Lindenwood,2022,6,GymQuarters,Feb-18-2022,,Hadley Roberts,,,9.8750,9.7500
