team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Maryland,2015,1,no meet title,Jan-09-2015,Maryland,Katy Dodds,9.8000,8.9250,,9.8000
Maryland,2015,1,no meet title,Jan-09-2015,Maryland,Nicole Dragon,,,9.7000,
Maryland,2015,1,no meet title,Jan-09-2015,Maryland,Abbie Epperson,9.7750,9.0750,,
Maryland,2015,1,no meet title,Jan-09-2015,Maryland,Sarah Faller,,9.6750,9.1250,
Maryland,2015,1,no meet title,Jan-09-2015,Maryland,Stephanie Giameo,,,9.8750,9.8000
Maryland,2015,1,no meet title,Jan-09-2015,Maryland,Shannon Skochko,9.8000,8.9750,9.7500,
Maryland,2015,1,no meet title,Jan-09-2015,Maryland,Leah Slobodin,,,,9.3250
Maryland,2015,1,no meet title,Jan-09-2015,Maryland,Karen Tang,9.7000,9.7500,,
Maryland,2015,1,no meet title,Jan-09-2015,Maryland,Kathy Tang,9.8250,9.6750,8.2250,9.8500
Maryland,2015,1,no meet title,Jan-09-2015,Maryland,Dominiquea Trotter,9.7750,,,9.8000
Maryland,2015,1,no meet title,Jan-09-2015,Maryland,Ebony Walters,,,9.3500,9.8500
Maryland,2015,2,no meet title,Jan-15-2015,Maryland,Katy Dodds,9.8250,9.6250,,9.8750
Maryland,2015,2,no meet title,Jan-15-2015,Maryland,Nicole Dragon,,,9.7000,9.5500
Maryland,2015,2,no meet title,Jan-15-2015,Maryland,Abbie Epperson,9.7750,9.8250,,
Maryland,2015,2,no meet title,Jan-15-2015,Maryland,Sarah Faller,,9.6500,9.7250,
Maryland,2015,2,no meet title,Jan-15-2015,Maryland,Stephanie Giameo,,,9.8500,9.7250
Maryland,2015,2,no meet title,Jan-15-2015,Maryland,Evelyn Nee,,9.0750,,
Maryland,2015,2,no meet title,Jan-15-2015,Maryland,Shannon Skochko,9.8250,,9.1500,
Maryland,2015,2,no meet title,Jan-15-2015,Maryland,Karen Tang,9.7000,9.9250,,
Maryland,2015,2,no meet title,Jan-15-2015,Maryland,Kathy Tang,9.8250,9.8250,,9.8000
Maryland,2015,2,no meet title,Jan-15-2015,Maryland,Dominiquea Trotter,9.7000,,9.0250,9.7250
Maryland,2015,2,no meet title,Jan-15-2015,Maryland,Ebony Walters,,,9.1000,9.8750
Maryland,2015,3,no meet title,Jan-24-2015,Penn State,Emily Brauckmuller,,,8.9250,
Maryland,2015,3,no meet title,Jan-24-2015,Penn State,Katy Dodds,9.8500,9.7000,,9.6500
Maryland,2015,3,no meet title,Jan-24-2015,Penn State,Abbie Epperson,9.8500,9.8250,,
Maryland,2015,3,no meet title,Jan-24-2015,Penn State,Sarah Faller,,9.7250,9.7250,
Maryland,2015,3,no meet title,Jan-24-2015,Penn State,Stephanie Giameo,,,9.8500,9.7750
Maryland,2015,3,no meet title,Jan-24-2015,Penn State,Danielle Kram,,,9.0250,
Maryland,2015,3,no meet title,Jan-24-2015,Penn State,Evelyn Nee,,9.0000,,
Maryland,2015,3,no meet title,Jan-24-2015,Penn State,Shannon Skochko,9.7500,,9.7250,9.7750
Maryland,2015,3,no meet title,Jan-24-2015,Penn State,Karen Tang,9.7250,9.8000,,
Maryland,2015,3,no meet title,Jan-24-2015,Penn State,Kathy Tang,9.8250,9.8000,,9.7500
Maryland,2015,3,no meet title,Jan-24-2015,Penn State,Dominiquea Trotter,9.7000,,9.5750,9.1250
Maryland,2015,3,no meet title,Jan-24-2015,Penn State,Ebony Walters,,,,9.7500
Maryland,2015,4,no meet title,Jan-30-2015,Iowa,Katy Dodds,9.8500,9.6750,,9.7500
Maryland,2015,4,no meet title,Jan-30-2015,Iowa,Abbie Epperson,9.8500,9.9000,,
Maryland,2015,4,no meet title,Jan-30-2015,Iowa,Sarah Faller,,9.7250,9.7000,
Maryland,2015,4,no meet title,Jan-30-2015,Iowa,Stephanie Giameo,,,9.8250,9.0500
Maryland,2015,4,no meet title,Jan-30-2015,Iowa,Danielle Kram,,,9.7500,
Maryland,2015,4,no meet title,Jan-30-2015,Iowa,Evelyn Nee,,9.7750,,
Maryland,2015,4,no meet title,Jan-30-2015,Iowa,Shannon Skochko,9.8500,,9.7000,9.5750
Maryland,2015,4,no meet title,Jan-30-2015,Iowa,Leah Slobodin,,,9.8000,
Maryland,2015,4,no meet title,Jan-30-2015,Iowa,Karen Tang,9.7000,9.7000,,9.6500
Maryland,2015,4,no meet title,Jan-30-2015,Iowa,Kathy Tang,9.8000,9.7000,,
Maryland,2015,4,no meet title,Jan-30-2015,Iowa,Dominiquea Trotter,9.8000,,9.7250,9.7000
Maryland,2015,4,no meet title,Jan-30-2015,Iowa,Ebony Walters,,,,9.8500
Maryland,2015,5,no meet title,Feb-07-2015,Maryland,Katy Dodds,9.8000,9.7250,,9.7750
Maryland,2015,5,no meet title,Feb-07-2015,Maryland,Abbie Epperson,9.7750,9.1750,,
Maryland,2015,5,no meet title,Feb-07-2015,Maryland,Sarah Faller,,9.7500,9.7250,
Maryland,2015,5,no meet title,Feb-07-2015,Maryland,Stephanie Giameo,,,9.8250,9.5750
Maryland,2015,5,no meet title,Feb-07-2015,Maryland,Danielle Kram,,,9.5500,
Maryland,2015,5,no meet title,Feb-07-2015,Maryland,Evelyn Nee,,9.7500,,
Maryland,2015,5,no meet title,Feb-07-2015,Maryland,Shannon Skochko,9.7750,,8.9750,
Maryland,2015,5,no meet title,Feb-07-2015,Maryland,Leah Slobodin,,,9.7750,
Maryland,2015,5,no meet title,Feb-07-2015,Maryland,Karen Tang,9.7250,9.8250,,9.7000
Maryland,2015,5,no meet title,Feb-07-2015,Maryland,Kathy Tang,9.7750,9.8000,,9.8000
Maryland,2015,5,no meet title,Feb-07-2015,Maryland,Dominiquea Trotter,9.6500,,9.1750,9.7000
Maryland,2015,5,no meet title,Feb-07-2015,Maryland,Ebony Walters,,,,9.8500
Maryland,2015,6,no meet title,Feb-14-2015,Rutgers,Katy Dodds,9.8750,9.7250,,
Maryland,2015,6,no meet title,Feb-14-2015,Rutgers,Abbie Epperson,9.1500,9.8250,,
Maryland,2015,6,no meet title,Feb-14-2015,Rutgers,Sarah Faller,,9.7250,9.7250,
Maryland,2015,6,no meet title,Feb-14-2015,Rutgers,Stephanie Giameo,,,9.8500,9.6250
Maryland,2015,6,no meet title,Feb-14-2015,Rutgers,Danielle Kram,,,9.6250,
Maryland,2015,6,no meet title,Feb-14-2015,Rutgers,Evelyn Nee,,8.9500,,
Maryland,2015,6,no meet title,Feb-14-2015,Rutgers,Shannon Skochko,9.7000,,9.7000,
Maryland,2015,6,no meet title,Feb-14-2015,Rutgers,Leah Slobodin,9.7500,,9.6750,9.8000
Maryland,2015,6,no meet title,Feb-14-2015,Rutgers,Karen Tang,,9.8500,,9.8500
Maryland,2015,6,no meet title,Feb-14-2015,Rutgers,Kathy Tang,9.8500,9.7250,,9.7750
Maryland,2015,6,no meet title,Feb-14-2015,Rutgers,Dominiquea Trotter,9.7750,,9.0250,9.7750
Maryland,2015,6,no meet title,Feb-14-2015,Rutgers,Ebony Walters,,,,9.8000
Maryland,2015,7,no meet title,Feb-20-2015,Maryland,Katy Dodds,9.8500,9.7500,,
Maryland,2015,7,no meet title,Feb-20-2015,Maryland,Abbie Epperson,9.8250,9.1500,,
Maryland,2015,7,no meet title,Feb-20-2015,Maryland,Sarah Faller,,9.7750,9.7500,
Maryland,2015,7,no meet title,Feb-20-2015,Maryland,Stephanie Giameo,,,9.8750,9.0000
Maryland,2015,7,no meet title,Feb-20-2015,Maryland,Danielle Kram,,,9.8000,
Maryland,2015,7,no meet title,Feb-20-2015,Maryland,Evelyn Nee,,9.7500,,
Maryland,2015,7,no meet title,Feb-20-2015,Maryland,Shannon Skochko,9.7500,,9.8000,
Maryland,2015,7,no meet title,Feb-20-2015,Maryland,Leah Slobodin,9.7000,,9.7500,9.4000
Maryland,2015,7,no meet title,Feb-20-2015,Maryland,Karen Tang,,9.7750,,9.8500
Maryland,2015,7,no meet title,Feb-20-2015,Maryland,Kathy Tang,9.8250,9.8000,,9.5750
Maryland,2015,7,no meet title,Feb-20-2015,Maryland,Dominiquea Trotter,9.8250,,9.5000,9.7750
Maryland,2015,7,no meet title,Feb-20-2015,Maryland,Ebony Walters,,,,9.4250
Maryland,2015,8,no meet title,Feb-22-2015,West Virginia,Katy Dodds,9.7500,9.6750,,
Maryland,2015,8,no meet title,Feb-22-2015,West Virginia,Abbie Epperson,9.8000,9.8000,,
Maryland,2015,8,no meet title,Feb-22-2015,West Virginia,Sarah Faller,,9.7000,9.7250,
Maryland,2015,8,no meet title,Feb-22-2015,West Virginia,Stephanie Giameo,,,9.8000,9.1500
Maryland,2015,8,no meet title,Feb-22-2015,West Virginia,Danielle Kram,,,9.6750,
Maryland,2015,8,no meet title,Feb-22-2015,West Virginia,Evelyn Nee,,9.7750,,
Maryland,2015,8,no meet title,Feb-22-2015,West Virginia,Shannon Skochko,9.8000,,9.7500,
Maryland,2015,8,no meet title,Feb-22-2015,West Virginia,Leah Slobodin,9.7500,,8.9500,9.8000
Maryland,2015,8,no meet title,Feb-22-2015,West Virginia,Karen Tang,,9.9250,,9.8000
Maryland,2015,8,no meet title,Feb-22-2015,West Virginia,Kathy Tang,9.7750,9.7500,,9.6750
Maryland,2015,8,no meet title,Feb-22-2015,West Virginia,Dominiquea Trotter,9.7250,,9.8000,9.7250
Maryland,2015,8,no meet title,Feb-22-2015,West Virginia,Ebony Walters,,,,9.7750
Maryland,2015,9,no meet title,Mar-01-2015,Texas Woman's,Katy Dodds,9.8250,9.1000,,
Maryland,2015,9,no meet title,Mar-01-2015,Texas Woman's,Abbie Epperson,9.8500,9.8250,,
Maryland,2015,9,no meet title,Mar-01-2015,Texas Woman's,Sarah Faller,,9.7500,9.7500,
Maryland,2015,9,no meet title,Mar-01-2015,Texas Woman's,Stephanie Giameo,,,9.9000,9.8000
Maryland,2015,9,no meet title,Mar-01-2015,Texas Woman's,Danielle Kram,,,9.6250,
Maryland,2015,9,no meet title,Mar-01-2015,Texas Woman's,Evelyn Nee,,9.7250,,
Maryland,2015,9,no meet title,Mar-01-2015,Texas Woman's,Shannon Skochko,9.8250,,9.2750,9.7500
Maryland,2015,9,no meet title,Mar-01-2015,Texas Woman's,Leah Slobodin,,,9.7000,
Maryland,2015,9,no meet title,Mar-01-2015,Texas Woman's,Karen Tang,9.5500,9.9000,,9.7500
Maryland,2015,9,no meet title,Mar-01-2015,Texas Woman's,Kathy Tang,9.8250,9.7500,,9.8000
Maryland,2015,9,no meet title,Mar-01-2015,Texas Woman's,Dominiquea Trotter,9.8250,,9.7000,9.6500
Maryland,2015,9,no meet title,Mar-01-2015,Texas Woman's,Ebony Walters,,,,9.6500
Maryland,2015,10,no meet title,Mar-08-2015,Maryland,Katy Dodds,9.8000,9.6500,,
Maryland,2015,10,no meet title,Mar-08-2015,Maryland,Abbie Epperson,9.7750,9.8500,,
Maryland,2015,10,no meet title,Mar-08-2015,Maryland,Sarah Faller,,9.8500,9.6500,
Maryland,2015,10,no meet title,Mar-08-2015,Maryland,Stephanie Giameo,,,9.8500,9.8000
Maryland,2015,10,no meet title,Mar-08-2015,Maryland,Danielle Kram,,,9.6500,
Maryland,2015,10,no meet title,Mar-08-2015,Maryland,Evelyn Nee,,9.8250,,
Maryland,2015,10,no meet title,Mar-08-2015,Maryland,Shannon Skochko,9.8250,,9.6750,9.7250
Maryland,2015,10,no meet title,Mar-08-2015,Maryland,Leah Slobodin,,,9.8000,
Maryland,2015,10,no meet title,Mar-08-2015,Maryland,Karen Tang,9.7250,9.8500,,9.8250
