team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Michigan State,2016,1,no meet title,Jan-08-2016,Arizona,Lisa Burt,9.6500,9.8500,9.7500,9.0500
Michigan State,2016,1,no meet title,Jan-08-2016,Arizona,Nicola Deans,9.7750,9.1750,,
Michigan State,2016,1,no meet title,Jan-08-2016,Arizona,Kira Frederick,,9.7750,9.2000,9.8250
Michigan State,2016,1,no meet title,Jan-08-2016,Arizona,Anna Gamelo,9.6750,,,
Michigan State,2016,1,no meet title,Jan-08-2016,Arizona,Drew Hendershot,9.5750,,,9.7250
Michigan State,2016,1,no meet title,Jan-08-2016,Arizona,Brittany Holmes,,9.6000,9.5750,9.6500
Michigan State,2016,1,no meet title,Jan-08-2016,Arizona,Elena Lagoski,9.7750,9.7500,9.0750,9.8000
Michigan State,2016,1,no meet title,Jan-08-2016,Arizona,Jessica Ling,,9.7500,,
Michigan State,2016,1,no meet title,Jan-08-2016,Arizona,Ashley Noll,,,9.7500,9.6750
Michigan State,2016,1,no meet title,Jan-08-2016,Arizona,Holly Ryan,,,9.6000,
Michigan State,2016,1,no meet title,Jan-08-2016,Arizona,Haley Sedgewick,9.6250,,,
Michigan State,2016,2,Tumbles & Take Downs,Jan-15-2016,Michigan State,Lisa Burt,9.7250,9.8250,9.7500,
Michigan State,2016,2,Tumbles & Take Downs,Jan-15-2016,Michigan State,Nicola Deans,9.7000,9.6750,,
Michigan State,2016,2,Tumbles & Take Downs,Jan-15-2016,Michigan State,Kira Frederick,,9.7750,9.6500,9.7250
Michigan State,2016,2,Tumbles & Take Downs,Jan-15-2016,Michigan State,Anna Gamelo,9.6750,,,
Michigan State,2016,2,Tumbles & Take Downs,Jan-15-2016,Michigan State,Drew Hendershot,,,,9.8000
Michigan State,2016,2,Tumbles & Take Downs,Jan-15-2016,Michigan State,Brittany Holmes,,9.4250,9.7250,9.7750
Michigan State,2016,2,Tumbles & Take Downs,Jan-15-2016,Michigan State,Elena Lagoski,9.6750,9.6500,8.8250,9.8500
Michigan State,2016,2,Tumbles & Take Downs,Jan-15-2016,Michigan State,Jessica Ling,,9.0250,,
Michigan State,2016,2,Tumbles & Take Downs,Jan-15-2016,Michigan State,Ashley Noll,,,8.9250,9.4000
Michigan State,2016,2,Tumbles & Take Downs,Jan-15-2016,Michigan State,Holly Ryan,,,9.1500,
Michigan State,2016,2,Tumbles & Take Downs,Jan-15-2016,Michigan State,Haley Sedgewick,9.6250,,,
Michigan State,2016,2,Tumbles & Take Downs,Jan-15-2016,Michigan State,Roya Shirley,9.7000,,,
Michigan State,2016,3,no meet title,Jan-23-2016,Minnesota,Lisa Burt,9.7000,9.8500,9.8250,9.7750
Michigan State,2016,3,no meet title,Jan-23-2016,Minnesota,Nicola Deans,9.7750,9.5500,,
Michigan State,2016,3,no meet title,Jan-23-2016,Minnesota,Kira Frederick,,9.7500,9.6000,9.8500
Michigan State,2016,3,no meet title,Jan-23-2016,Minnesota,Anna Gamelo,9.6750,,,
Michigan State,2016,3,no meet title,Jan-23-2016,Minnesota,Drew Hendershot,,,,9.7500
Michigan State,2016,3,no meet title,Jan-23-2016,Minnesota,Brittany Holmes,,9.6000,9.6750,9.8250
Michigan State,2016,3,no meet title,Jan-23-2016,Minnesota,Victoria Huehn,,,9.7500,
Michigan State,2016,3,no meet title,Jan-23-2016,Minnesota,Elena Lagoski,9.8000,,,9.9000
