team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Minnesota,2018,1,no meet title,Jan-13-2018,Minnesota,Casey Betts,,8.9500,,
Minnesota,2018,1,no meet title,Jan-13-2018,Minnesota,Rachel Cutler,,,9.8250,9.4250
Minnesota,2018,1,no meet title,Jan-13-2018,Minnesota,Ciara Gardner,,,,9.7250
Minnesota,2018,1,no meet title,Jan-13-2018,Minnesota,Hannah Hitchcock,9.7000,9.7750,,
Minnesota,2018,1,no meet title,Jan-13-2018,Minnesota,Julia Huebert,,,9.5500,8.6000
Minnesota,2018,1,no meet title,Jan-13-2018,Minnesota,Ona Loper,9.7750,,9.8500,
Minnesota,2018,1,no meet title,Jan-13-2018,Minnesota,Ivy lu,,9.9000,9.7250,
Minnesota,2018,1,no meet title,Jan-13-2018,Minnesota,Lexi Montgomery,9.6500,,,
Minnesota,2018,1,no meet title,Jan-13-2018,Minnesota,Kristen Quaglia,9.6250,9.6500,,
Minnesota,2018,1,no meet title,Jan-13-2018,Minnesota,Lexy Ramler,9.7750,9.8500,9.9250,9.4500
Minnesota,2018,1,no meet title,Jan-13-2018,Minnesota,Rachel Rowland,,9.7750,,
Minnesota,2018,1,no meet title,Jan-13-2018,Minnesota,Selena Ung,,,9.6000,9.3000
Minnesota,2018,1,no meet title,Jan-13-2018,Minnesota,Paige Williams,9.7250,,,9.8000
Minnesota,2018,2,no meet title,Jan-20-2018,Minnesota,Rachel Cutler,,,,9.7500
Minnesota,2018,2,no meet title,Jan-20-2018,Minnesota,Abby DeMuse,7.7000,,,
Minnesota,2018,2,no meet title,Jan-20-2018,Minnesota,Ciara Gardner,,,9.8250,9.5750
Minnesota,2018,2,no meet title,Jan-20-2018,Minnesota,Hannah Hitchcock,9.8500,9.8500,,
Minnesota,2018,2,no meet title,Jan-20-2018,Minnesota,Mary Korlin-Downs,,,9.5750,
Minnesota,2018,2,no meet title,Jan-20-2018,Minnesota,Ona Loper,9.9000,9.6250,9.6750,9.9000
Minnesota,2018,2,no meet title,Jan-20-2018,Minnesota,Ivy lu,,9.9000,9.4000,
Minnesota,2018,2,no meet title,Jan-20-2018,Minnesota,Kristen Quaglia,9.7500,9.7750,,
Minnesota,2018,2,no meet title,Jan-20-2018,Minnesota,Lexy Ramler,9.8000,9.8750,9.9500,9.8250
Minnesota,2018,2,no meet title,Jan-20-2018,Minnesota,Rachel Rowland,,9.8000,,
Minnesota,2018,2,no meet title,Jan-20-2018,Minnesota,Selena Ung,,,9.7250,9.7750
Minnesota,2018,2,no meet title,Jan-20-2018,Minnesota,Paige Williams,9.7500,,,9.8250
Minnesota,2018,3,no meet title,Jan-27-2018,Ohio State,Rachel Cutler,,,,9.8750
Minnesota,2018,3,no meet title,Jan-27-2018,Ohio State,Abby DeMuse,9.1000,,,
Minnesota,2018,3,no meet title,Jan-27-2018,Ohio State,Ciara Gardner,,,9.8250,9.9250
Minnesota,2018,3,no meet title,Jan-27-2018,Ohio State,Hannah Hitchcock,9.8000,9.8500,,
Minnesota,2018,3,no meet title,Jan-27-2018,Ohio State,Mary Korlin-Downs,,,9.8250,
Minnesota,2018,3,no meet title,Jan-27-2018,Ohio State,Ona Loper,9.7750,8.8750,9.8500,9.9250
Minnesota,2018,3,no meet title,Jan-27-2018,Ohio State,Ivy lu,,9.9500,9.2000,
Minnesota,2018,3,no meet title,Jan-27-2018,Ohio State,Lexi Montgomery,9.6500,,,
Minnesota,2018,3,no meet title,Jan-27-2018,Ohio State,Kristen Quaglia,9.6750,8.6000,,
Minnesota,2018,3,no meet title,Jan-27-2018,Ohio State,Lexy Ramler,9.8500,9.9000,9.9000,9.9500
Minnesota,2018,3,no meet title,Jan-27-2018,Ohio State,Rachel Rowland,,9.8000,,
Minnesota,2018,3,no meet title,Jan-27-2018,Ohio State,Selena Ung,,,9.7000,9.8500
Minnesota,2018,3,no meet title,Jan-27-2018,Ohio State,Paige Williams,,,,9.8750
Minnesota,2018,4,no meet title,Feb-03-2018,Nebraska,Rachel Cutler,,,,9.8500
Minnesota,2018,4,no meet title,Feb-03-2018,Nebraska,Ciara Gardner,,,9.8750,9.9000
Minnesota,2018,4,no meet title,Feb-03-2018,Nebraska,Hannah Hitchcock,9.7500,9.8500,,
Minnesota,2018,4,no meet title,Feb-03-2018,Nebraska,Mary Korlin-Downs,,,9.2750,
Minnesota,2018,4,no meet title,Feb-03-2018,Nebraska,Ona Loper,9.8500,,9.7500,9.9250
Minnesota,2018,4,no meet title,Feb-03-2018,Nebraska,Ivy lu,,9.9250,,
Minnesota,2018,4,no meet title,Feb-03-2018,Nebraska,Lexi Montgomery,9.6500,,9.7500,
Minnesota,2018,4,no meet title,Feb-03-2018,Nebraska,Kristen Quaglia,9.7250,9.6750,,
Minnesota,2018,4,no meet title,Feb-03-2018,Nebraska,Lexy Ramler,9.8250,9.9000,9.9000,9.8500
Minnesota,2018,4,no meet title,Feb-03-2018,Nebraska,Rachel Rowland,,9.8000,,
Minnesota,2018,4,no meet title,Feb-03-2018,Nebraska,Selena Ung,,9.7500,9.7500,9.5000
Minnesota,2018,4,no meet title,Feb-03-2018,Nebraska,Paige Williams,,,,9.8000
Minnesota,2018,5,no meet title,Feb-09-2018,Minnesota,Rachel Cutler,,,,9.6000
Minnesota,2018,5,no meet title,Feb-09-2018,Minnesota,Ciara Gardner,9.8000,,9.7750,9.8250
Minnesota,2018,5,no meet title,Feb-09-2018,Minnesota,Hannah Hitchcock,9.8000,9.3000,,
Minnesota,2018,5,no meet title,Feb-09-2018,Minnesota,Ona Loper,9.9000,9.7000,9.7000,9.8000
Minnesota,2018,5,no meet title,Feb-09-2018,Minnesota,Ivy lu,,9.9750,9.8500,
Minnesota,2018,5,no meet title,Feb-09-2018,Minnesota,Lexi Montgomery,9.7000,,9.7000,
