team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
New Hampshire,2023,1,no meet title,Jan-09-2023,Southern Utah,Sierra Bauman,,,9.7250,
New Hampshire,2023,1,no meet title,Jan-09-2023,Southern Utah,Alyssa Beaulieu,9.6000,9.3000,9.7000,9.8250
New Hampshire,2023,1,no meet title,Jan-09-2023,Southern Utah,Larissa Biette,,,,9.5750
New Hampshire,2023,1,no meet title,Jan-09-2023,Southern Utah,Kenadi Brown,,9.1250,,9.7000
New Hampshire,2023,1,no meet title,Jan-09-2023,Southern Utah,Kylie Gorgenyi,9.8500,9.8500,9.5750,8.5000
New Hampshire,2023,1,no meet title,Jan-09-2023,Southern Utah,Gianna Graver,,8.7750,,
New Hampshire,2023,1,no meet title,Jan-09-2023,Southern Utah,Riley Himes,,,,9.3500
New Hampshire,2023,1,no meet title,Jan-09-2023,Southern Utah,Robyn Kelley,9.6000,,9.7500,
New Hampshire,2023,1,no meet title,Jan-09-2023,Southern Utah,Leah Moreno,9.7000,9.7250,,
New Hampshire,2023,1,no meet title,Jan-09-2023,Southern Utah,Gracy Mowers,9.7250,,,
New Hampshire,2023,1,no meet title,Jan-09-2023,Southern Utah,Serena Mullin,9.8000,,9.2000,
New Hampshire,2023,1,no meet title,Jan-09-2023,Southern Utah,Jacy Whitehead,,9.5000,,
New Hampshire,2023,1,no meet title,Jan-09-2023,Southern Utah,Alyssa Worthington,,,9.7250,9.7750
New Hampshire,2023,2,no meet title,Jan-15-2023,New Hampshire,Sierra Bauman,,9.6750,9.6750,
New Hampshire,2023,2,no meet title,Jan-15-2023,New Hampshire,Alyssa Beaulieu,9.7750,9.8250,9.7750,9.5500
New Hampshire,2023,2,no meet title,Jan-15-2023,New Hampshire,Kenadi Brown,,9.7250,9.5000,9.8750
New Hampshire,2023,2,no meet title,Jan-15-2023,New Hampshire,Kylie Gorgenyi,9.8250,9.8500,,9.8500
New Hampshire,2023,2,no meet title,Jan-15-2023,New Hampshire,Riley Himes,,,,9.8000
New Hampshire,2023,2,no meet title,Jan-15-2023,New Hampshire,Robyn Kelley,9.4250,,9.8750,
New Hampshire,2023,2,no meet title,Jan-15-2023,New Hampshire,Maya MacDonald,,,,9.5500
New Hampshire,2023,2,no meet title,Jan-15-2023,New Hampshire,Leah Moreno,9.5000,9.7000,,
New Hampshire,2023,2,no meet title,Jan-15-2023,New Hampshire,Gracy Mowers,9.6500,,,
New Hampshire,2023,2,no meet title,Jan-15-2023,New Hampshire,Serena Mullin,9.7500,,,
New Hampshire,2023,2,no meet title,Jan-15-2023,New Hampshire,Summer Simpkins,,,9.5250,
New Hampshire,2023,2,no meet title,Jan-15-2023,New Hampshire,Jacy Whitehead,,9.6250,,
New Hampshire,2023,2,no meet title,Jan-15-2023,New Hampshire,Alyssa Worthington,,,9.3000,9.7750
New Hampshire,2023,3,no meet title,Jan-20-2023,Towson,Sierra Bauman,,,9.7500,9.7750
New Hampshire,2023,3,no meet title,Jan-20-2023,Towson,Alyssa Beaulieu,9.8000,9.2250,9.8000,9.5750
New Hampshire,2023,3,no meet title,Jan-20-2023,Towson,Kenadi Brown,,9.7000,9.6750,9.8750
New Hampshire,2023,3,no meet title,Jan-20-2023,Towson,Kylie Gorgenyi,9.8250,9.8500,,9.8500
New Hampshire,2023,3,no meet title,Jan-20-2023,Towson,Riley Himes,,,,9.6500
New Hampshire,2023,3,no meet title,Jan-20-2023,Towson,Robyn Kelley,9.4000,,9.8500,
New Hampshire,2023,3,no meet title,Jan-20-2023,Towson,Leah Moreno,9.6750,9.7000,,
New Hampshire,2023,3,no meet title,Jan-20-2023,Towson,Gracy Mowers,9.7500,,,
New Hampshire,2023,3,no meet title,Jan-20-2023,Towson,Serena Mullin,9.6750,,9.7500,
New Hampshire,2023,3,no meet title,Jan-20-2023,Towson,Summer Simpkins,,9.7000,,
New Hampshire,2023,3,no meet title,Jan-20-2023,Towson,Jacy Whitehead,,9.7750,,
New Hampshire,2023,3,no meet title,Jan-20-2023,Towson,Alyssa Worthington,,,9.8250,9.7000
New Hampshire,2023,4,no meet title,Jan-29-2023,New Hampshire,Sierra Bauman,,,9.6750,9.7000
New Hampshire,2023,4,no meet title,Jan-29-2023,New Hampshire,Alyssa Beaulieu,9.7500,9.7500,8.9000,9.8000
New Hampshire,2023,4,no meet title,Jan-29-2023,New Hampshire,Larissa Biette,,,,9.6750
New Hampshire,2023,4,no meet title,Jan-29-2023,New Hampshire,Kenadi Brown,,9.7750,,9.7750
New Hampshire,2023,4,no meet title,Jan-29-2023,New Hampshire,Jenna Devincenzo,,,8.5000,
New Hampshire,2023,4,no meet title,Jan-29-2023,New Hampshire,Kylie Gorgenyi,9.7500,9.9000,,9.7750
New Hampshire,2023,4,no meet title,Jan-29-2023,New Hampshire,Riley Himes,,,,9.0750
New Hampshire,2023,4,no meet title,Jan-29-2023,New Hampshire,Robyn Kelley,9.7750,,8.9750,
New Hampshire,2023,4,no meet title,Jan-29-2023,New Hampshire,Leah Moreno,9.6500,9.8250,,
New Hampshire,2023,4,no meet title,Jan-29-2023,New Hampshire,Gracy Mowers,9.8000,,,
New Hampshire,2023,4,no meet title,Jan-29-2023,New Hampshire,Serena Mullin,9.7750,,9.7000,
New Hampshire,2023,4,no meet title,Jan-29-2023,New Hampshire,Summer Simpkins,,9.7500,,
New Hampshire,2023,4,no meet title,Jan-29-2023,New Hampshire,Jacy Whitehead,,9.7750,,
New Hampshire,2023,4,no meet title,Jan-29-2023,New Hampshire,Alyssa Worthington,,,8.9000,
New Hampshire,2023,5,no meet title,Feb-05-2023,Texas Woman's,Sierra Bauman,,,9.6750,9.7250
New Hampshire,2023,5,no meet title,Feb-05-2023,Texas Woman's,Alyssa Beaulieu,9.7750,9.8500,9.0000,9.7750
New Hampshire,2023,5,no meet title,Feb-05-2023,Texas Woman's,Kenadi Brown,,9.7750,,9.7000
New Hampshire,2023,5,no meet title,Feb-05-2023,Texas Woman's,Kylie Gorgenyi,9.8250,9.9500,9.0250,9.8500
New Hampshire,2023,5,no meet title,Feb-05-2023,Texas Woman's,Riley Himes,,,,9.7250
New Hampshire,2023,5,no meet title,Feb-05-2023,Texas Woman's,Robyn Kelley,9.5750,,9.1000,9.7000
New Hampshire,2023,5,no meet title,Feb-05-2023,Texas Woman's,Leah Moreno,9.6750,9.7750,,
New Hampshire,2023,5,no meet title,Feb-05-2023,Texas Woman's,Gracy Mowers,9.8000,,,
New Hampshire,2023,5,no meet title,Feb-05-2023,Texas Woman's,Serena Mullin,9.6000,,9.6250,
New Hampshire,2023,5,no meet title,Feb-05-2023,Texas Woman's,Summer Simpkins,,9.0750,,
New Hampshire,2023,5,no meet title,Feb-05-2023,Texas Woman's,Jacy Whitehead,,9.0250,,
New Hampshire,2023,5,no meet title,Feb-05-2023,Texas Woman's,Alyssa Worthington,,,9.3000,
New Hampshire,2023,6,no meet title,Feb-12-2023,New Hampshire,Sierra Bauman,,,9.7750,9.7250
New Hampshire,2023,6,no meet title,Feb-12-2023,New Hampshire,Alyssa Beaulieu,9.6500,9.9000,9.8250,9.8000
New Hampshire,2023,6,no meet title,Feb-12-2023,New Hampshire,Larissa Biette,9.7000,,,
New Hampshire,2023,6,no meet title,Feb-12-2023,New Hampshire,Kenadi Brown,,9.8250,,9.8500
New Hampshire,2023,6,no meet title,Feb-12-2023,New Hampshire,Kylie Gorgenyi,9.7250,9.8250,,
New Hampshire,2023,6,no meet title,Feb-12-2023,New Hampshire,Riley Himes,,,,9.8000
New Hampshire,2023,6,no meet title,Feb-12-2023,New Hampshire,Robyn Kelley,9.7500,,9.9250,9.0750
New Hampshire,2023,6,no meet title,Feb-12-2023,New Hampshire,Leah Moreno,,9.7250,,
New Hampshire,2023,6,no meet title,Feb-12-2023,New Hampshire,Gracy Mowers,9.8250,,,9.5500
New Hampshire,2023,6,no meet title,Feb-12-2023,New Hampshire,Serena Mullin,9.7250,,9.8250,
New Hampshire,2023,6,no meet title,Feb-12-2023,New Hampshire,Summer Simpkins,,9.7500,9.8250,
New Hampshire,2023,6,no meet title,Feb-12-2023,New Hampshire,Jacy Whitehead,,9.8500,,
New Hampshire,2023,6,no meet title,Feb-12-2023,New Hampshire,Alyssa Worthington,,,9.9000,
New Hampshire,2023,7,no meet title,Feb-17-2023,North Carolina State,Sierra Bauman,,,9.8000,
New Hampshire,2023,7,no meet title,Feb-17-2023,North Carolina State,Alyssa Beaulieu,9.7500,9.7750,9.7750,9.8500
New Hampshire,2023,7,no meet title,Feb-17-2023,North Carolina State,Larissa Biette,9.6000,,,9.7500
New Hampshire,2023,7,no meet title,Feb-17-2023,North Carolina State,Kenadi Brown,,9.7000,,9.8000
New Hampshire,2023,7,no meet title,Feb-17-2023,North Carolina State,Kylie Gorgenyi,9.8250,9.8500,,9.8750
