team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
North Carolina,2018,1,no meet title,Jan-12-2018,North Carolina,Alexis Allen,9.5750,,9.0000,
North Carolina,2018,1,no meet title,Jan-12-2018,North Carolina,Lily Dean,,,,9.8250
North Carolina,2018,1,no meet title,Jan-12-2018,North Carolina,Grace Donaghy,,9.7750,,
North Carolina,2018,1,no meet title,Jan-12-2018,North Carolina,Raine Gordon,,9.4750,9.5000,
North Carolina,2018,1,no meet title,Jan-12-2018,North Carolina,Madison Hargrave,9.7000,,,
North Carolina,2018,1,no meet title,Jan-12-2018,North Carolina,Kaitlynn Hedelund,9.7500,9.7500,9.7250,
North Carolina,2018,1,no meet title,Jan-12-2018,North Carolina,Khazia Hislop,9.8750,,8.9500,9.9500
North Carolina,2018,1,no meet title,Jan-12-2018,North Carolina,Morgan Lane,,9.7500,9.8250,9.8500
North Carolina,2018,1,no meet title,Jan-12-2018,North Carolina,Emma Marchese,,,9.7250,
North Carolina,2018,1,no meet title,Jan-12-2018,North Carolina,Madison Nettles,9.8250,9.8000,,9.8000
North Carolina,2018,1,no meet title,Jan-12-2018,North Carolina,Mikayla Robinson,9.6500,,,9.7750
North Carolina,2018,1,no meet title,Jan-12-2018,North Carolina,Lauren Weisel,,,,9.8250
North Carolina,2018,1,no meet title,Jan-12-2018,North Carolina,Mekyllah Williams,,8.9250,,
North Carolina,2018,2,no meet title,Jan-19-2018,North Carolina,Alexis Allen,9.5750,,9.9000,
North Carolina,2018,2,no meet title,Jan-19-2018,North Carolina,Lily Dean,,,9.1500,9.7750
North Carolina,2018,2,no meet title,Jan-19-2018,North Carolina,Jamie DeCicco,,,9.2250,
North Carolina,2018,2,no meet title,Jan-19-2018,North Carolina,Grace Donaghy,,9.8000,,
North Carolina,2018,2,no meet title,Jan-19-2018,North Carolina,Raine Gordon,,9.6250,,
North Carolina,2018,2,no meet title,Jan-19-2018,North Carolina,Madison Hargrave,9.7250,,,
North Carolina,2018,2,no meet title,Jan-19-2018,North Carolina,Kaitlynn Hedelund,9.8250,9.7500,9.7750,
North Carolina,2018,2,no meet title,Jan-19-2018,North Carolina,Khazia Hislop,9.8250,,9.8500,9.8000
North Carolina,2018,2,no meet title,Jan-19-2018,North Carolina,Morgan Lane,,9.7750,9.8500,9.6000
North Carolina,2018,2,no meet title,Jan-19-2018,North Carolina,Madison Nettles,9.8250,9.6000,,9.8250
North Carolina,2018,2,no meet title,Jan-19-2018,North Carolina,Mikayla Robinson,9.8000,,,9.9000
North Carolina,2018,2,no meet title,Jan-19-2018,North Carolina,Lauren Weisel,,,,9.8000
North Carolina,2018,2,no meet title,Jan-19-2018,North Carolina,Mekyllah Williams,,9.6500,,
North Carolina,2018,3,no meet title,Jan-26-2018,Towson,Alexis Allen,9.7750,9.5000,8.4000,
North Carolina,2018,3,no meet title,Jan-26-2018,Towson,Lily Dean,,,9.6500,9.8000
North Carolina,2018,3,no meet title,Jan-26-2018,Towson,Grace Donaghy,,9.6500,,
North Carolina,2018,3,no meet title,Jan-26-2018,Towson,Raine Gordon,,,9.5000,
North Carolina,2018,3,no meet title,Jan-26-2018,Towson,Madison Hargrave,9.7000,,,
North Carolina,2018,3,no meet title,Jan-26-2018,Towson,Kaitlynn Hedelund,9.2000,9.7750,9.7250,
North Carolina,2018,3,no meet title,Jan-26-2018,Towson,Khazia Hislop,9.8250,,9.6250,9.8250
North Carolina,2018,3,no meet title,Jan-26-2018,Towson,Morgan Lane,9.8000,9.7750,9.8000,9.7250
North Carolina,2018,3,no meet title,Jan-26-2018,Towson,Madison Nettles,9.8000,9.6500,,9.7500
North Carolina,2018,3,no meet title,Jan-26-2018,Towson,Mikayla Robinson,,,,9.8000
