team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Ohio State,2021,1,no meet title,Jan-16-2021,Michigan,Brooke Chesney,,,,9.7250
Ohio State,2021,1,no meet title,Jan-16-2021,Michigan,Elexis Edwards,9.8500,9.7500,,
Ohio State,2021,1,no meet title,Jan-16-2021,Michigan,Claire Gagliardi,9.7500,,,9.8500
Ohio State,2021,1,no meet title,Jan-16-2021,Michigan,Alexis Hankins,,9.7500,9.8000,9.8250
Ohio State,2021,1,no meet title,Jan-16-2021,Michigan,Ella Hodges,,,9.8500,
Ohio State,2021,1,no meet title,Jan-16-2021,Michigan,Sydney Jennings,9.7500,,,
Ohio State,2021,1,no meet title,Jan-16-2021,Michigan,Morgan  Lowe,9.8000,,9.1500,
Ohio State,2021,1,no meet title,Jan-16-2021,Michigan,Raina Malas,,9.1500,,9.8750
Ohio State,2021,1,no meet title,Jan-16-2021,Michigan,Colby Miller,9.7750,9.8000,9.7250,
Ohio State,2021,1,no meet title,Jan-16-2021,Michigan,Hannah Oliveros,,,9.9000,
Ohio State,2021,1,no meet title,Jan-16-2021,Michigan,Emma Pritchard,,9.7750,9.8250,9.7000
Ohio State,2021,1,no meet title,Jan-16-2021,Michigan,Nicole Riccardi,9.8000,,,
Ohio State,2021,1,no meet title,Jan-16-2021,Michigan,Jenna Swartzentruber,,9.8750,,
Ohio State,2021,1,no meet title,Jan-16-2021,Michigan,Jojo Warga,,,,8.9000
Ohio State,2021,2,no meet title,Jan-23-2021,Iowa,Elexis Edwards,9.8250,8.0250,,9.4750
Ohio State,2021,2,no meet title,Jan-23-2021,Iowa,Claire Gagliardi,9.7000,,,9.8500
Ohio State,2021,2,no meet title,Jan-23-2021,Iowa,Alexis Hankins,,9.0500,9.8000,9.7250
Ohio State,2021,2,no meet title,Jan-23-2021,Iowa,Ella Hodges,,,9.8750,9.1000
Ohio State,2021,2,no meet title,Jan-23-2021,Iowa,Sydney Jennings,9.8500,,,
Ohio State,2021,2,no meet title,Jan-23-2021,Iowa,Morgan  Lowe,9.7500,,,
Ohio State,2021,2,no meet title,Jan-23-2021,Iowa,Raina Malas,,9.7250,,9.0750
Ohio State,2021,2,no meet title,Jan-23-2021,Iowa,Colby Miller,9.5500,9.8000,9.7750,
Ohio State,2021,2,no meet title,Jan-23-2021,Iowa,Hannah Oliveros,,,9.0250,
Ohio State,2021,2,no meet title,Jan-23-2021,Iowa,Emma Pritchard,,9.7250,9.7000,9.7500
Ohio State,2021,2,no meet title,Jan-23-2021,Iowa,Nicole Riccardi,9.8000,,,
Ohio State,2021,2,no meet title,Jan-23-2021,Iowa,Zoe Schweitzer,,,9.6750,
Ohio State,2021,2,no meet title,Jan-23-2021,Iowa,Jenna Swartzentruber,,9.8500,,
Ohio State,2021,3,no meet title,Jan-30-2021,Michigan State,Elexis Edwards,9.8250,9.2250,,9.7750
Ohio State,2021,3,no meet title,Jan-30-2021,Michigan State,Claire Gagliardi,9.7250,,,9.7500
Ohio State,2021,3,no meet title,Jan-30-2021,Michigan State,Alexis Hankins,,9.8000,9.8750,9.8750
Ohio State,2021,3,no meet title,Jan-30-2021,Michigan State,Ella Hodges,,,9.7750,9.8250
Ohio State,2021,3,no meet title,Jan-30-2021,Michigan State,Sydney Jennings,9.8250,,9.2250,
Ohio State,2021,3,no meet title,Jan-30-2021,Michigan State,Morgan  Lowe,9.8000,,,
Ohio State,2021,3,no meet title,Jan-30-2021,Michigan State,Colby Miller,9.6750,9.8500,9.7750,
Ohio State,2021,3,no meet title,Jan-30-2021,Michigan State,Emma Pritchard,,8.8500,9.8250,9.8250
Ohio State,2021,3,no meet title,Jan-30-2021,Michigan State,Nicole Riccardi,9.8000,,,
Ohio State,2021,3,no meet title,Jan-30-2021,Michigan State,Zoe Schweitzer,,9.7250,9.6000,
Ohio State,2021,3,no meet title,Jan-30-2021,Michigan State,Jenna Swartzentruber,,9.8500,,
Ohio State,2021,3,no meet title,Jan-30-2021,Michigan State,Jojo Warga,,,,9.7250
Ohio State,2021,4,no meet title,Feb-07-2021,Ohio State,Brooke Chesney,,,,
Ohio State,2021,4,no meet title,Feb-07-2021,Ohio State,Elexis Edwards,9.7750,9.7500,,9.5750
Ohio State,2021,4,no meet title,Feb-07-2021,Ohio State,Claire Gagliardi,9.5500,,,9.9250
Ohio State,2021,4,no meet title,Feb-07-2021,Ohio State,Alexis Hankins,,9.7750,9.8500,9.9000
Ohio State,2021,4,no meet title,Feb-07-2021,Ohio State,Ella Hodges,,,9.8750,9.8500
Ohio State,2021,4,no meet title,Feb-07-2021,Ohio State,Sydney Jennings,9.8000,,9.8250,
Ohio State,2021,4,no meet title,Feb-07-2021,Ohio State,Morgan  Lowe,9.6750,,,
Ohio State,2021,4,no meet title,Feb-07-2021,Ohio State,Colby Miller,9.7250,9.8750,9.8000,
Ohio State,2021,4,no meet title,Feb-07-2021,Ohio State,Emma Pritchard,,9.8250,9.8250,9.7500
Ohio State,2021,4,no meet title,Feb-07-2021,Ohio State,Nicole Riccardi,9.7250,,,
Ohio State,2021,4,no meet title,Feb-07-2021,Ohio State,Kali Schierl,,,,
Ohio State,2021,4,no meet title,Feb-07-2021,Ohio State,Zoe Schweitzer,,9.9000,9.6250,
Ohio State,2021,4,no meet title,Feb-07-2021,Ohio State,Jenna Swartzentruber,,9.9250,,
Ohio State,2021,4,no meet title,Feb-07-2021,Ohio State,Jojo Warga,,,,9.7750
Ohio State,2021,5,no meet title,Feb-14-2021,Rutgers,Brooke Chesney,,,,9.8250
Ohio State,2021,5,no meet title,Feb-14-2021,Rutgers,Elexis Edwards,9.8750,9.8250,,9.8500
Ohio State,2021,5,no meet title,Feb-14-2021,Rutgers,Claire Gagliardi,,,,9.8500
Ohio State,2021,5,no meet title,Feb-14-2021,Rutgers,Ella Hodges,,,9.8250,9.8500
Ohio State,2021,5,no meet title,Feb-14-2021,Rutgers,Sydney Jennings,9.7750,,8.8250,
Ohio State,2021,5,no meet title,Feb-14-2021,Rutgers,Morgan  Lowe,9.8000,,,
Ohio State,2021,5,no meet title,Feb-14-2021,Rutgers,Raina Malas,,9.4500,,
Ohio State,2021,5,no meet title,Feb-14-2021,Rutgers,Colby Miller,9.7000,9.8500,9.7250,
Ohio State,2021,5,no meet title,Feb-14-2021,Rutgers,Emma Pritchard,,9.6000,9.8500,9.8000
Ohio State,2021,5,no meet title,Feb-14-2021,Rutgers,Nicole Riccardi,9.8000,,,
Ohio State,2021,5,no meet title,Feb-14-2021,Rutgers,Zoe Schweitzer,,9.7500,9.7000,
Ohio State,2021,5,no meet title,Feb-14-2021,Rutgers,Jenna Swartzentruber,9.7250,9.8250,9.8500,
Ohio State,2021,5,no meet title,Feb-14-2021,Rutgers,Jojo Warga,,,,9.0000
Ohio State,2021,6,no meet title,Feb-21-2021,Penn State,Brooke Chesney,,,,9.8250
Ohio State,2021,6,no meet title,Feb-21-2021,Penn State,Elexis Edwards,9.8250,9.7750,,9.6000
Ohio State,2021,6,no meet title,Feb-21-2021,Penn State,Claire Gagliardi,9.8250,,,9.8000
Ohio State,2021,6,no meet title,Feb-21-2021,Penn State,Alexis Hankins,,9.8750,9.8500,9.6750
Ohio State,2021,6,no meet title,Feb-21-2021,Penn State,Ella Hodges,,,9.9500,9.8250
Ohio State,2021,6,no meet title,Feb-21-2021,Penn State,Morgan  Lowe,9.8500,,,
Ohio State,2021,6,no meet title,Feb-21-2021,Penn State,Colby Miller,9.7750,9.7750,9.1750,
Ohio State,2021,6,no meet title,Feb-21-2021,Penn State,Emma Pritchard,,9.7750,9.8250,9.7750
Ohio State,2021,6,no meet title,Feb-21-2021,Penn State,Nicole Riccardi,9.8750,,,
Ohio State,2021,6,no meet title,Feb-21-2021,Penn State,Zoe Schweitzer,,9.7500,9.8500,
Ohio State,2021,6,no meet title,Feb-21-2021,Penn State,Jenna Swartzentruber,9.8000,9.9000,9.7500,
Ohio State,2021,7,no meet title,Feb-26-2021,Maryland,Brooke Chesney,,,,9.8250
