team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Oklahoma,2018,1,no meet title,Jan-15-2018,Georgia,Stefani Catour,,9.8500,9.8250,
Oklahoma,2018,1,no meet title,Jan-15-2018,Georgia,Jade Degouveia,9.8250,,,9.1000
Oklahoma,2018,1,no meet title,Jan-15-2018,Georgia,Brenna Dowell,9.9500,9.9000,,9.9000
Oklahoma,2018,1,no meet title,Jan-15-2018,Georgia,AJ Jackson,9.9000,9.8500,9.2000,9.9000
Oklahoma,2018,1,no meet title,Jan-15-2018,Georgia,Nicole Lehrmann,9.8750,9.9000,9.8250,
Oklahoma,2018,1,no meet title,Jan-15-2018,Georgia,Maggie Nichols,,9.9250,9.8750,9.9000
Oklahoma,2018,1,no meet title,Jan-15-2018,Georgia,Brehanna Showers,9.8750,,9.9000,9.8500
Oklahoma,2018,1,no meet title,Jan-15-2018,Georgia,Anastasia Webb,9.8500,9.8500,9.8750,9.8250
Oklahoma,2018,2,no meet title,Jan-21-2018,Oklahoma,Stefani Catour,,9.8750,9.7250,
Oklahoma,2018,2,no meet title,Jan-21-2018,Oklahoma,Jade Degouveia,9.8750,,,9.7250
Oklahoma,2018,2,no meet title,Jan-21-2018,Oklahoma,Brenna Dowell,9.9250,9.9000,,9.7750
Oklahoma,2018,2,no meet title,Jan-21-2018,Oklahoma,AJ Jackson,9.9000,9.8750,,9.9250
Oklahoma,2018,2,no meet title,Jan-21-2018,Oklahoma,Nicole Lehrmann,9.8000,9.9000,9.9000,
Oklahoma,2018,2,no meet title,Jan-21-2018,Oklahoma,Maggie Nichols,9.8750,9.9500,9.9250,9.8750
Oklahoma,2018,2,no meet title,Jan-21-2018,Oklahoma,Brehanna Showers,,,9.8750,9.6750
Oklahoma,2018,2,no meet title,Jan-21-2018,Oklahoma,Anastasia Webb,9.8750,9.8250,9.8250,9.8750
Oklahoma,2018,2,no meet title,Jan-21-2018,Oklahoma,Carly Woodard,,,9.8750,
Oklahoma,2018,3,no meet title,Jan-26-2018,Florida,Stefani Catour,,9.8500,9.9250,
Oklahoma,2018,3,no meet title,Jan-26-2018,Florida,Brenna Dowell,9.8750,9.8500,,9.9250
Oklahoma,2018,3,no meet title,Jan-26-2018,Florida,AJ Jackson,9.8750,9.8500,,9.7750
Oklahoma,2018,3,no meet title,Jan-26-2018,Florida,Nicole Lehrmann,9.8750,9.9000,9.9000,
Oklahoma,2018,3,no meet title,Jan-26-2018,Florida,Maggie Nichols,9.9750,9.9500,9.8750,9.9750
Oklahoma,2018,3,no meet title,Jan-26-2018,Florida,Evy Schoepfer,,,,9.9000
Oklahoma,2018,3,no meet title,Jan-26-2018,Florida,Brehanna Showers,9.8250,,9.9000,9.8500
Oklahoma,2018,3,no meet title,Jan-26-2018,Florida,Anastasia Webb,9.9000,9.9500,9.8500,9.9250
Oklahoma,2018,3,no meet title,Jan-26-2018,Florida,Carly Woodard,,,9.9500,
Oklahoma,2018,4,no meet title,Feb-04-2018,UCLA,Stefani Catour,,9.8750,9.9500,
Oklahoma,2018,4,no meet title,Feb-04-2018,UCLA,Brenna Dowell,10.0000,9.9000,,9.9000
