team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Oregon State,2018,1,no meet title,Jan-13-2018,Pittsburgh,Mariana Colussi-Pelaez,,9.7750,,
Oregon State,2018,1,no meet title,Jan-13-2018,Pittsburgh,Dani Dessaints,9.7500,,9.8500,
Oregon State,2018,1,no meet title,Jan-13-2018,Pittsburgh,Savanna  Force,,,,9.5500
Oregon State,2018,1,no meet title,Jan-13-2018,Pittsburgh,Sabrina Gill,9.5750,9.7750,9.8000,9.7750
Oregon State,2018,1,no meet title,Jan-13-2018,Pittsburgh,Mary Jacobsen,9.7750,9.7500,,9.7750
Oregon State,2018,1,no meet title,Jan-13-2018,Pittsburgh,Shireen Khamedoost,9.6250,9.7000,,
Oregon State,2018,1,no meet title,Jan-13-2018,Pittsburgh,Isis Lowery,,,9.7500,9.8250
Oregon State,2018,1,no meet title,Jan-13-2018,Pittsburgh,Alyssa Minyard,,9.7250,9.5500,
Oregon State,2018,1,no meet title,Jan-13-2018,Pittsburgh,McKenna Singley,9.6250,9.7000,9.7250,9.7000
Oregon State,2018,1,no meet title,Jan-13-2018,Pittsburgh,Kaitlyn Yanish,9.7250,,9.0500,9.8750
Oregon State,2018,2,no meet title,Jan-19-2018,Utah,Mariana Colussi-Pelaez,,9.9000,,
Oregon State,2018,2,no meet title,Jan-19-2018,Utah,Destinee Davis,,,9.7250,
Oregon State,2018,2,no meet title,Jan-19-2018,Utah,Dani Dessaints,9.8500,,9.8750,
Oregon State,2018,2,no meet title,Jan-19-2018,Utah,Savanna  Force,,,,9.2750
Oregon State,2018,2,no meet title,Jan-19-2018,Utah,Sabrina Gill,9.8250,9.8500,9.8500,9.8250
Oregon State,2018,2,no meet title,Jan-19-2018,Utah,Mary Jacobsen,9.8500,9.7250,,9.8500
Oregon State,2018,2,no meet title,Jan-19-2018,Utah,Shireen Khamedoost,9.8000,9.8250,,
Oregon State,2018,2,no meet title,Jan-19-2018,Utah,Isis Lowery,,,,9.6750
Oregon State,2018,2,no meet title,Jan-19-2018,Utah,Alyssa Minyard,,9.0750,9.7250,
Oregon State,2018,2,no meet title,Jan-19-2018,Utah,McKenna Singley,9.7500,9.7750,9.8500,9.8750
Oregon State,2018,2,no meet title,Jan-19-2018,Utah,Kaitlyn Yanish,9.8000,,9.7250,9.8500
Oregon State,2018,3,no meet title,Jan-27-2018,Oregon State,Mariana Colussi-Pelaez,,9.8500,,
Oregon State,2018,3,no meet title,Jan-27-2018,Oregon State,Destinee Davis,9.8500,,9.1250,
Oregon State,2018,3,no meet title,Jan-27-2018,Oregon State,Dani Dessaints,9.8500,,9.8250,
Oregon State,2018,3,no meet title,Jan-27-2018,Oregon State,Savanna  Force,,,,9.9000
Oregon State,2018,3,no meet title,Jan-27-2018,Oregon State,Sabrina Gill,9.8250,9.7750,9.8750,9.7250
Oregon State,2018,3,no meet title,Jan-27-2018,Oregon State,Mary Jacobsen,9.8000,9.9000,,9.9000
Oregon State,2018,3,no meet title,Jan-27-2018,Oregon State,Shireen Khamedoost,9.7250,9.8500,,
Oregon State,2018,3,no meet title,Jan-27-2018,Oregon State,Maela Lazaro,,,9.9000,
Oregon State,2018,3,no meet title,Jan-27-2018,Oregon State,Isis Lowery,,,,9.8750
Oregon State,2018,3,no meet title,Jan-27-2018,Oregon State,Niya Mack,,,,9.8500
Oregon State,2018,3,no meet title,Jan-27-2018,Oregon State,Alyssa Minyard,,9.6500,9.8000,
Oregon State,2018,3,no meet title,Jan-27-2018,Oregon State,McKenna Singley,,9.8500,9.8000,
Oregon State,2018,3,no meet title,Jan-27-2018,Oregon State,Kaitlyn Yanish,9.7500,,,9.9500
Oregon State,2018,4,no meet title,Feb-03-2018,Oregon State,Mariana Colussi-Pelaez,,9.8000,,
Oregon State,2018,4,no meet title,Feb-03-2018,Oregon State,Destinee Davis,9.8750,,,
Oregon State,2018,4,no meet title,Feb-03-2018,Oregon State,Dani Dessaints,9.7750,,9.9000,
Oregon State,2018,4,no meet title,Feb-03-2018,Oregon State,Savanna  Force,,,,9.7500
Oregon State,2018,4,no meet title,Feb-03-2018,Oregon State,Sabrina Gill,9.8500,9.8000,9.8750,9.8500
Oregon State,2018,4,no meet title,Feb-03-2018,Oregon State,Mary Jacobsen,9.8500,9.8250,,9.8500
Oregon State,2018,4,no meet title,Feb-03-2018,Oregon State,Shireen Khamedoost,,9.8000,,
Oregon State,2018,4,no meet title,Feb-03-2018,Oregon State,Maela Lazaro,,,9.8000,
Oregon State,2018,4,no meet title,Feb-03-2018,Oregon State,Isis Lowery,,,,9.9250
Oregon State,2018,4,no meet title,Feb-03-2018,Oregon State,Alyssa Minyard,,9.8750,9.6750,
Oregon State,2018,4,no meet title,Feb-03-2018,Oregon State,McKenna Singley,9.8000,9.8250,9.7750,9.8750
Oregon State,2018,4,no meet title,Feb-03-2018,Oregon State,Kaitlyn Yanish,9.7750,,9.7000,9.9000
Oregon State,2018,5,no meet title,Feb-10-2018,Washington,Mariana Colussi-Pelaez,,9.8500,,
Oregon State,2018,5,no meet title,Feb-10-2018,Washington,Destinee Davis,9.8000,,,
Oregon State,2018,5,no meet title,Feb-10-2018,Washington,Dani Dessaints,9.8000,9.8000,9.9000,
Oregon State,2018,5,no meet title,Feb-10-2018,Washington,Savanna  Force,,,,9.7500
Oregon State,2018,5,no meet title,Feb-10-2018,Washington,Sabrina Gill,9.6750,9.8250,9.6000,9.8250
Oregon State,2018,5,no meet title,Feb-10-2018,Washington,Lena Greene,9.9000,,,
Oregon State,2018,5,no meet title,Feb-10-2018,Washington,Mary Jacobsen,9.8250,9.8250,,9.7750
Oregon State,2018,5,no meet title,Feb-10-2018,Washington,Shireen Khamedoost,,9.8250,,
Oregon State,2018,5,no meet title,Feb-10-2018,Washington,Maela Lazaro,,,9.9000,
Oregon State,2018,5,no meet title,Feb-10-2018,Washington,Isis Lowery,,,9.7250,9.8750
Oregon State,2018,5,no meet title,Feb-10-2018,Washington,McKenna Singley,,9.8000,9.2000,9.9250
Oregon State,2018,5,no meet title,Feb-10-2018,Washington,Kaitlyn Yanish,9.8500,,9.8000,9.8750
Oregon State,2018,6,no meet title,Feb-17-2018,Oregon State,Mariana Colussi-Pelaez,,9.8750,,
Oregon State,2018,6,no meet title,Feb-17-2018,Oregon State,Destinee Davis,9.8250,,9.9000,
Oregon State,2018,6,no meet title,Feb-17-2018,Oregon State,Savanna  Force,,,,9.8250
Oregon State,2018,6,no meet title,Feb-17-2018,Oregon State,Sabrina Gill,,9.7750,9.8250,
Oregon State,2018,6,no meet title,Feb-17-2018,Oregon State,Lena Greene,9.8000,,,
Oregon State,2018,6,no meet title,Feb-17-2018,Oregon State,Mary Jacobsen,9.8750,9.9500,,9.9000
Oregon State,2018,6,no meet title,Feb-17-2018,Oregon State,Shireen Khamedoost,9.7500,9.8750,,
Oregon State,2018,6,no meet title,Feb-17-2018,Oregon State,Maela Lazaro,,,9.8750,
Oregon State,2018,6,no meet title,Feb-17-2018,Oregon State,Isis Lowery,,,,9.9250
Oregon State,2018,6,no meet title,Feb-17-2018,Oregon State,Niya Mack,,,,9.8500
Oregon State,2018,6,no meet title,Feb-17-2018,Oregon State,Alyssa Minyard,,9.9250,9.8000,
Oregon State,2018,6,no meet title,Feb-17-2018,Oregon State,McKenna Singley,9.8500,9.7750,9.9000,9.0000
Oregon State,2018,6,no meet title,Feb-17-2018,Oregon State,Kaitlyn Yanish,9.8000,,9.8000,9.9500
Oregon State,2018,7,no meet title,Feb-25-2018,UCLA,Mariana Colussi-Pelaez,,9.8500,,
Oregon State,2018,7,no meet title,Feb-25-2018,UCLA,Destinee Davis,9.8500,,9.8500,
Oregon State,2018,7,no meet title,Feb-25-2018,UCLA,Savanna  Force,,,,8.4500
Oregon State,2018,7,no meet title,Feb-25-2018,UCLA,Sabrina Gill,9.7750,9.7500,9.5000,9.8000
Oregon State,2018,7,no meet title,Feb-25-2018,UCLA,Lena Greene,9.7750,,,
Oregon State,2018,7,no meet title,Feb-25-2018,UCLA,Mary Jacobsen,9.7750,9.8500,,9.8250
Oregon State,2018,7,no meet title,Feb-25-2018,UCLA,Shireen Khamedoost,,9.8000,,
Oregon State,2018,7,no meet title,Feb-25-2018,UCLA,Maela Lazaro,,,9.8500,
Oregon State,2018,7,no meet title,Feb-25-2018,UCLA,Isis Lowery,,,,9.9000
Oregon State,2018,7,no meet title,Feb-25-2018,UCLA,Alyssa Minyard,,9.8500,9.8250,
Oregon State,2018,7,no meet title,Feb-25-2018,UCLA,McKenna Singley,9.8000,9.8000,9.7500,9.9000
Oregon State,2018,7,no meet title,Feb-25-2018,UCLA,Kaitlyn Yanish,9.8000,,9.7750,9.9000
Oregon State,2018,8,no meet title,Mar-05-2018,Oregon State,Halli Briscoe,,9.8750,,
Oregon State,2018,8,no meet title,Mar-05-2018,Oregon State,Mariana Colussi-Pelaez,,9.8750,,
Oregon State,2018,8,no meet title,Mar-05-2018,Oregon State,Destinee Davis,9.8500,,9.8750,
Oregon State,2018,8,no meet title,Mar-05-2018,Oregon State,Sabrina Gill,9.7500,,9.7500,9.9000
Oregon State,2018,8,no meet title,Mar-05-2018,Oregon State,Lena Greene,9.8500,,,
Oregon State,2018,8,no meet title,Mar-05-2018,Oregon State,Mary Jacobsen,9.8250,8.9500,,9.8750
Oregon State,2018,8,no meet title,Mar-05-2018,Oregon State,Shireen Khamedoost,,9.8000,,
Oregon State,2018,8,no meet title,Mar-05-2018,Oregon State,Maela Lazaro,,,9.8500,
Oregon State,2018,8,no meet title,Mar-05-2018,Oregon State,Isis Lowery,,,,9.9250
Oregon State,2018,8,no meet title,Mar-05-2018,Oregon State,Niya Mack,,,,9.0250
Oregon State,2018,8,no meet title,Mar-05-2018,Oregon State,Alyssa Minyard,,9.8750,9.7250,
Oregon State,2018,8,no meet title,Mar-05-2018,Oregon State,McKenna Singley,9.7500,9.8750,9.8500,9.9250
Oregon State,2018,8,no meet title,Mar-05-2018,Oregon State,Kaitlyn Yanish,9.7750,,9.1750,9.9500
Oregon State,2018,9,no meet title,Mar-10-2018,Oregon State,Halli Briscoe,,9.8000,,
Oregon State,2018,9,no meet title,Mar-10-2018,Oregon State,Mariana Colussi-Pelaez,,9.1000,9.7250,
Oregon State,2018,9,no meet title,Mar-10-2018,Oregon State,Destinee Davis,9.8500,,9.9000,9.8750
Oregon State,2018,9,no meet title,Mar-10-2018,Oregon State,Dani Dessaints,,9.9000,,
Oregon State,2018,9,no meet title,Mar-10-2018,Oregon State,Sabrina Gill,9.7750,,9.8500,9.8000
Oregon State,2018,9,no meet title,Mar-10-2018,Oregon State,Lena Greene,9.7250,,,
Oregon State,2018,9,no meet title,Mar-10-2018,Oregon State,Mary Jacobsen,9.8000,9.8250,,9.8000
Oregon State,2018,9,no meet title,Mar-10-2018,Oregon State,Shireen Khamedoost,,9.8500,,
Oregon State,2018,9,no meet title,Mar-10-2018,Oregon State,Maela Lazaro,,,9.8750,
Oregon State,2018,9,no meet title,Mar-10-2018,Oregon State,Isis Lowery,,,,9.8500
Oregon State,2018,9,no meet title,Mar-10-2018,Oregon State,Alyssa Minyard,,,9.8250,
Oregon State,2018,9,no meet title,Mar-10-2018,Oregon State,McKenna Singley,9.7750,9.8250,9.8250,9.8750
Oregon State,2018,9,no meet title,Mar-10-2018,Oregon State,Kaitlyn Yanish,9.8500,,,9.8750
Oregon State,2018,10,no meet title,Mar-16-2018,Sacramento State,Halli Briscoe,,9.8500,,
Oregon State,2018,10,no meet title,Mar-16-2018,Sacramento State,Mariana Colussi-Pelaez,,9.7750,,
Oregon State,2018,10,no meet title,Mar-16-2018,Sacramento State,Destinee Davis,9.8000,,9.7750,
Oregon State,2018,10,no meet title,Mar-16-2018,Sacramento State,Savanna  Force,,,,9.6000
Oregon State,2018,10,no meet title,Mar-16-2018,Sacramento State,Sabrina Gill,,,9.8250,
Oregon State,2018,10,no meet title,Mar-16-2018,Sacramento State,Lena Greene,9.8250,,,
