team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Penn State,2022,1,no meet title,Jan-07-2022,Temple,Melissa Astarita,,,9.8000,9.7750
Penn State,2022,1,no meet title,Jan-07-2022,Temple,Amy Bladon,,,9.6500,
Penn State,2022,1,no meet title,Jan-07-2022,Temple,Alissa Bonsall,9.7500,9.9000,,8.9250
Penn State,2022,1,no meet title,Jan-07-2022,Temple,Lauren Bridgens,9.7500,9.9000,9.2000,9.7500
Penn State,2022,1,no meet title,Jan-07-2022,Temple,Kourtney Chinnery,9.7500,,,
Penn State,2022,1,no meet title,Jan-07-2022,Temple,Jessica Johanson,9.8250,9.8000,,9.5750
Penn State,2022,1,no meet title,Jan-07-2022,Temple,Maddie Johnston,,9.7750,,
Penn State,2022,1,no meet title,Jan-07-2022,Temple,Maggie Mace,,9.7750,,
Penn State,2022,1,no meet title,Jan-07-2022,Temple,Bella Romagnano,,,9.3750,
Penn State,2022,1,no meet title,Jan-07-2022,Temple,Cassidy Rushlow,9.3250,9.8500,9.0750,9.6250
Penn State,2022,1,no meet title,Jan-07-2022,Temple,Bella Salcedo,9.6500,,9.7500,9.8250
Penn State,2022,2,no meet title,Jan-14-2022,Penn State,Melissa Astarita,,,9.6750,9.8250
Penn State,2022,2,no meet title,Jan-14-2022,Penn State,Amy Bladon,,,9.8250,
Penn State,2022,2,no meet title,Jan-14-2022,Penn State,Alissa Bonsall,9.7500,9.8000,,9.8000
Penn State,2022,2,no meet title,Jan-14-2022,Penn State,Lauren Bridgens,9.2500,9.8250,9.6000,9.8500
Penn State,2022,2,no meet title,Jan-14-2022,Penn State,Kourtney Chinnery,9.7250,,,
Penn State,2022,2,no meet title,Jan-14-2022,Penn State,Jessica Johanson,9.7750,9.8250,,9.6500
Penn State,2022,2,no meet title,Jan-14-2022,Penn State,Maddie Johnston,,9.8000,,
Penn State,2022,2,no meet title,Jan-14-2022,Penn State,Bella Romagnano,,,9.0500,
Penn State,2022,2,no meet title,Jan-14-2022,Penn State,Cassidy Rushlow,,9.8000,,
Penn State,2022,2,no meet title,Jan-14-2022,Penn State,Bella Salcedo,9.8250,,9.7500,9.8500
Penn State,2022,2,no meet title,Jan-14-2022,Penn State,Elina Vihrova,9.7750,9.7750,9.0000,9.2500
Penn State,2022,3,no meet title,Jan-22-2022,Ohio State,Melissa Astarita,,,9.6750,9.8500
Penn State,2022,3,no meet title,Jan-22-2022,Ohio State,Maggie Ayers,,,9.1000,
Penn State,2022,3,no meet title,Jan-22-2022,Ohio State,Nikki Beckwith,,9.8250,,
Penn State,2022,3,no meet title,Jan-22-2022,Ohio State,Amy Bladon,,,9.7000,
Penn State,2022,3,no meet title,Jan-22-2022,Ohio State,Alissa Bonsall,9.8250,9.8250,,9.8250
Penn State,2022,3,no meet title,Jan-22-2022,Ohio State,Lauren Bridgens,9.8250,9.9000,9.8000,9.8500
Penn State,2022,3,no meet title,Jan-22-2022,Ohio State,Kourtney Chinnery,9.8250,,,
Penn State,2022,3,no meet title,Jan-22-2022,Ohio State,Grace Harrell,,,,
Penn State,2022,3,no meet title,Jan-22-2022,Ohio State,Jessica Johanson,9.7500,9.7750,,9.6750
Penn State,2022,3,no meet title,Jan-22-2022,Ohio State,Maddie Johnston,,9.8250,9.8250,
Penn State,2022,3,no meet title,Jan-22-2022,Ohio State,Maggie Mace,,,,
Penn State,2022,3,no meet title,Jan-22-2022,Ohio State,Cassidy Rushlow,9.8500,9.8500,,
Penn State,2022,3,no meet title,Jan-22-2022,Ohio State,Bella Salcedo,9.6750,,9.8250,9.9000
Penn State,2022,3,no meet title,Jan-22-2022,Ohio State,Elina Vihrova,,,,9.8750
Penn State,2022,4,no meet title,Jan-29-2022,Penn State,Melissa Astarita,,,9.6250,9.8750
Penn State,2022,4,no meet title,Jan-29-2022,Penn State,Nikki Beckwith,,9.6750,,
Penn State,2022,4,no meet title,Jan-29-2022,Penn State,Amy Bladon,,,9.8000,
Penn State,2022,4,no meet title,Jan-29-2022,Penn State,Alissa Bonsall,9.7500,9.9500,,9.8000
Penn State,2022,4,no meet title,Jan-29-2022,Penn State,Lauren Bridgens,9.8500,8.9750,9.7500,9.8500
Penn State,2022,4,no meet title,Jan-29-2022,Penn State,Kourtney Chinnery,9.9000,,,
Penn State,2022,4,no meet title,Jan-29-2022,Penn State,Jessica Johanson,9.7750,9.7000,,9.6500
Penn State,2022,4,no meet title,Jan-29-2022,Penn State,Maddie Johnston,,9.8500,9.7750,
Penn State,2022,4,no meet title,Jan-29-2022,Penn State,Bella Salcedo,9.7500,,9.1500,9.9250
Penn State,2022,4,no meet title,Jan-29-2022,Penn State,Elina Vihrova,9.7250,9.8500,8.9750,9.8750
Penn State,2022,5,no meet title,Feb-04-2022,Iowa,Melissa Astarita,,,9.1750,9.8000
Penn State,2022,5,no meet title,Feb-04-2022,Iowa,Nikki Beckwith,,9.9000,,
Penn State,2022,5,no meet title,Feb-04-2022,Iowa,Amy Bladon,,,8.2500,
Penn State,2022,5,no meet title,Feb-04-2022,Iowa,Alissa Bonsall,9.8000,9.8500,,9.8250
Penn State,2022,5,no meet title,Feb-04-2022,Iowa,Lauren Bridgens,9.8500,9.8250,9.8000,9.8250
Penn State,2022,5,no meet title,Feb-04-2022,Iowa,Kourtney Chinnery,9.6500,,,
Penn State,2022,5,no meet title,Feb-04-2022,Iowa,Jessica Johanson,9.8500,9.8250,,9.6000
Penn State,2022,5,no meet title,Feb-04-2022,Iowa,Maddie Johnston,,9.8000,9.8250,
Penn State,2022,5,no meet title,Feb-04-2022,Iowa,Bella Romagnano,,,9.7000,
Penn State,2022,5,no meet title,Feb-04-2022,Iowa,Cassidy Rushlow,9.1000,9.8000,,
Penn State,2022,5,no meet title,Feb-04-2022,Iowa,Bella Salcedo,9.8000,,9.8000,9.8250
Penn State,2022,5,no meet title,Feb-04-2022,Iowa,Elina Vihrova,,,,9.1250
Penn State,2022,6,no meet title,Feb-13-2022,Michigan,Melissa Astarita,,,8.9750,9.8750
Penn State,2022,6,no meet title,Feb-13-2022,Michigan,Nikki Beckwith,,9.8000,,
Penn State,2022,6,no meet title,Feb-13-2022,Michigan,Amy Bladon,,,9.7500,
Penn State,2022,6,no meet title,Feb-13-2022,Michigan,Alissa Bonsall,9.7250,9.8750,,9.7000
Penn State,2022,6,no meet title,Feb-13-2022,Michigan,Lauren Bridgens,9.8250,9.8250,9.8500,9.7750
Penn State,2022,6,no meet title,Feb-13-2022,Michigan,Kourtney Chinnery,9.7250,,,
Penn State,2022,6,no meet title,Feb-13-2022,Michigan,Jessica Johanson,9.7750,9.7250,,9.7250
Penn State,2022,6,no meet title,Feb-13-2022,Michigan,Maddie Johnston,,9.7000,9.8000,
Penn State,2022,6,no meet title,Feb-13-2022,Michigan,Bella Romagnano,,,9.7750,
Penn State,2022,6,no meet title,Feb-13-2022,Michigan,Cassidy Rushlow,9.8250,9.8250,,
Penn State,2022,6,no meet title,Feb-13-2022,Michigan,Bella Salcedo,9.8000,,9.7000,9.8000
Penn State,2022,6,no meet title,Feb-13-2022,Michigan,Elina Vihrova,,,,9.8250
Penn State,2022,7,Elevate Toledo,Feb-19-2022,,Melissa Astarita,,,,9.8750
Penn State,2022,7,Elevate Toledo,Feb-19-2022,,Maggie Ayers,,,9.6750,
Penn State,2022,7,Elevate Toledo,Feb-19-2022,,Nikki Beckwith,,9.8750,,
Penn State,2022,7,Elevate Toledo,Feb-19-2022,,Alissa Bonsall,,9.8500,,9.7000
Penn State,2022,7,Elevate Toledo,Feb-19-2022,,Lauren Bridgens,9.8250,9.0750,9.7750,9.8500
Penn State,2022,7,Elevate Toledo,Feb-19-2022,,Kourtney Chinnery,9.7250,,,
Penn State,2022,7,Elevate Toledo,Feb-19-2022,,Jessica Johanson,9.9000,9.7250,,
Penn State,2022,7,Elevate Toledo,Feb-19-2022,,Maddie Johnston,,9.7750,9.8750,
Penn State,2022,7,Elevate Toledo,Feb-19-2022,,Bella Romagnano,,,9.4250,
Penn State,2022,7,Elevate Toledo,Feb-19-2022,,Cassidy Rushlow,9.8000,9.8250,,9.8000
Penn State,2022,7,Elevate Toledo,Feb-19-2022,,Bella Salcedo,9.8000,,9.7250,9.9000
Penn State,2022,7,Elevate Toledo,Feb-19-2022,,Elina Vihrova,9.7250,,9.7000,9.8500
Penn State,2022,8,no meet title,Feb-26-2022,Penn State,Melissa Astarita,,,,9.8250
Penn State,2022,8,no meet title,Feb-26-2022,Penn State,Maggie Ayers,,,9.5250,
Penn State,2022,8,no meet title,Feb-26-2022,Penn State,Nikki Beckwith,,8.1500,,
Penn State,2022,8,no meet title,Feb-26-2022,Penn State,Alissa Bonsall,,9.8500,,9.7750
Penn State,2022,8,no meet title,Feb-26-2022,Penn State,Lauren Bridgens,9.8250,9.9000,9.8750,9.9250
Penn State,2022,8,no meet title,Feb-26-2022,Penn State,Kourtney Chinnery,9.8000,,,
Penn State,2022,8,no meet title,Feb-26-2022,Penn State,Jessica Johanson,9.8250,9.8500,,
Penn State,2022,8,no meet title,Feb-26-2022,Penn State,Maddie Johnston,,9.8250,9.8250,
Penn State,2022,8,no meet title,Feb-26-2022,Penn State,Bella Romagnano,,,9.7500,
Penn State,2022,8,no meet title,Feb-26-2022,Penn State,Cassidy Rushlow,9.7500,9.8500,,9.8750
Penn State,2022,8,no meet title,Feb-26-2022,Penn State,Bella Salcedo,9.8750,,9.5500,9.9250
Penn State,2022,8,no meet title,Feb-26-2022,Penn State,Elina Vihrova,9.8250,,9.1500,9.9000
Penn State,2022,9,no meet title,Mar-05-2022,Penn State,Melissa Astarita,,,,9.8000
Penn State,2022,9,no meet title,Mar-05-2022,Penn State,Nikki Beckwith,,9.4750,,
Penn State,2022,9,no meet title,Mar-05-2022,Penn State,Alissa Bonsall,,9.8500,,
Penn State,2022,9,no meet title,Mar-05-2022,Penn State,Lauren Bridgens,9.8250,9.0500,9.6500,9.8750
Penn State,2022,9,no meet title,Mar-05-2022,Penn State,Kourtney Chinnery,9.8000,,,
Penn State,2022,9,no meet title,Mar-05-2022,Penn State,Dymiana Cox,,,9.7500,
Penn State,2022,9,no meet title,Mar-05-2022,Penn State,Jessica Johanson,9.8000,9.8250,,9.7500
Penn State,2022,9,no meet title,Mar-05-2022,Penn State,Maddie Johnston,,9.7250,9.2250,
Penn State,2022,9,no meet title,Mar-05-2022,Penn State,Bella Romagnano,,,9.7750,
Penn State,2022,9,no meet title,Mar-05-2022,Penn State,Cassidy Rushlow,9.7000,9.9000,,9.8750
Penn State,2022,9,no meet title,Mar-05-2022,Penn State,Bella Salcedo,9.8250,,9.8250,9.9250
Penn State,2022,9,no meet title,Mar-05-2022,Penn State,Elina Vihrova,9.5750,,9.1750,9.8000
Penn State,2022,10,no meet title,Mar-13-2022,New Hampshire,Nikki Beckwith,,9.8250,,
Penn State,2022,10,no meet title,Mar-13-2022,New Hampshire,Alissa Bonsall,9.7750,9.9500,,
Penn State,2022,10,no meet title,Mar-13-2022,New Hampshire,Lauren Bridgens,9.8000,9.3500,9.6750,9.9250
Penn State,2022,10,no meet title,Mar-13-2022,New Hampshire,Kourtney Chinnery,9.8250,,,
Penn State,2022,10,no meet title,Mar-13-2022,New Hampshire,Dymiana Cox,,,9.7000,
Penn State,2022,10,no meet title,Mar-13-2022,New Hampshire,Jessica Johanson,9.8500,9.8000,,9.8000
Penn State,2022,10,no meet title,Mar-13-2022,New Hampshire,Maddie Johnston,,9.8000,9.8750,
Penn State,2022,10,no meet title,Mar-13-2022,New Hampshire,Bella Romagnano,,,9.7250,
Penn State,2022,10,no meet title,Mar-13-2022,New Hampshire,Cassidy Rushlow,9.7750,9.8500,9.9000,9.7000
