team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Pennsylvania,2022,1,no meet title,Jan-07-2022,Temple,Ariyana Agarwala,9.6500,,,9.6750
Pennsylvania,2022,1,no meet title,Jan-07-2022,Temple,Kiersten Belkoff,9.6500,,9.6000,
Pennsylvania,2022,1,no meet title,Jan-07-2022,Temple,Rose Debarberie,9.6250,,,
Pennsylvania,2022,1,no meet title,Jan-07-2022,Temple,Isabella Garrett,,,,8.9500
Pennsylvania,2022,1,no meet title,Jan-07-2022,Temple,Connie Hsu,,9.5500,,
Pennsylvania,2022,1,no meet title,Jan-07-2022,Temple,Ana Kenefick,,9.4250,,
Pennsylvania,2022,1,no meet title,Jan-07-2022,Temple,Sara Kenefick,,9.3250,9.6000,9.5750
Pennsylvania,2022,1,no meet title,Jan-07-2022,Temple,Sydney Kraez,9.6500,,9.5500,9.7250
Pennsylvania,2022,1,no meet title,Jan-07-2022,Temple,Kristen Kuhn,,,9.6750,
Pennsylvania,2022,1,no meet title,Jan-07-2022,Temple,Campbell Marr,,,9.6250,
Pennsylvania,2022,1,no meet title,Jan-07-2022,Temple,Mccaleigh Marr,,8.8000,,
Pennsylvania,2022,1,no meet title,Jan-07-2022,Temple,Sophia Restaino,,8.6500,,
Pennsylvania,2022,1,no meet title,Jan-07-2022,Temple,Isabel Song,9.7750,9.6000,,9.5500
Pennsylvania,2022,1,no meet title,Jan-07-2022,Temple,Olivia Vanhorn,9.6500,,,9.6250
Pennsylvania,2022,1,no meet title,Jan-07-2022,Temple,Natalie Yang,,,9.5750,
Pennsylvania,2022,2,no meet title,Jan-16-2022,George Washington,Ariyana Agarwala,,8.4500,,
Pennsylvania,2022,2,no meet title,Jan-16-2022,George Washington,Kiersten Belkoff,9.8500,,9.2250,
Pennsylvania,2022,2,no meet title,Jan-16-2022,George Washington,Emma Davies,9.6750,,,9.6750
Pennsylvania,2022,2,no meet title,Jan-16-2022,George Washington,Rose Debarberie,9.7250,,,
Pennsylvania,2022,2,no meet title,Jan-16-2022,George Washington,Isabella Garrett,,,,9.6500
Pennsylvania,2022,2,no meet title,Jan-16-2022,George Washington,Connie Hsu,,9.7500,,
Pennsylvania,2022,2,no meet title,Jan-16-2022,George Washington,Sara Kenefick,,9.8000,9.8250,9.6500
Pennsylvania,2022,2,no meet title,Jan-16-2022,George Washington,Sydney Kraez,9.7750,,,9.6750
Pennsylvania,2022,2,no meet title,Jan-16-2022,George Washington,Kristen Kuhn,,9.8750,9.6750,
Pennsylvania,2022,2,no meet title,Jan-16-2022,George Washington,Mccaleigh Marr,,,9.8500,
Pennsylvania,2022,2,no meet title,Jan-16-2022,George Washington,Campbell Marr,,,9.7250,
Pennsylvania,2022,2,no meet title,Jan-16-2022,George Washington,Sophia Restaino,,9.7500,,
Pennsylvania,2022,2,no meet title,Jan-16-2022,George Washington,Isabel Song,9.7250,9.7250,,9.6500
Pennsylvania,2022,2,no meet title,Jan-16-2022,George Washington,Olivia Vanhorn,9.7000,,,9.0250
Pennsylvania,2022,2,no meet title,Jan-16-2022,George Washington,Natalie Yang,,,9.8750,
Pennsylvania,2022,3,no meet title,Jan-23-2022,New Hampshire,Kiersten Belkoff,9.8000,,9.7500,
Pennsylvania,2022,3,no meet title,Jan-23-2022,New Hampshire,Emma Davies,9.7250,,,
Pennsylvania,2022,3,no meet title,Jan-23-2022,New Hampshire,Rose Debarberie,9.8250,,9.4500,
Pennsylvania,2022,3,no meet title,Jan-23-2022,New Hampshire,Connie Hsu,,9.6500,,
Pennsylvania,2022,3,no meet title,Jan-23-2022,New Hampshire,Lauren Joost,,,,9.7500
Pennsylvania,2022,3,no meet title,Jan-23-2022,New Hampshire,Ana Kenefick,,9.7250,,
