team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Rutgers,2022,1,no meet title,Jan-07-2022,Florida,Avery Balser,,9.5750,,9.7750
Rutgers,2022,1,no meet title,Jan-07-2022,Florida,Myra Daniels,,9.6000,,
Rutgers,2022,1,no meet title,Jan-07-2022,Florida,Belle Huang,9.6500,,9.6500,9.9000
Rutgers,2022,1,no meet title,Jan-07-2022,Florida,Isabella Hughes,9.7750,,,
Rutgers,2022,1,no meet title,Jan-07-2022,Florida,Maya Jones,,8.6500,,
Rutgers,2022,1,no meet title,Jan-07-2022,Florida,Hannah Joyner,9.7750,9.7000,9.8250,9.0500
Rutgers,2022,1,no meet title,Jan-07-2022,Florida,Abigail Karolewski,,8.6750,,
Rutgers,2022,1,no meet title,Jan-07-2022,Florida,Emily Leese,9.8250,,9.6250,9.6000
Rutgers,2022,1,no meet title,Jan-07-2022,Florida,Calah Newman,9.7000,9.7000,9.0500,8.9500
Rutgers,2022,1,no meet title,Jan-07-2022,Florida,Gianna Ortiz,,,9.7500,
Rutgers,2022,1,no meet title,Jan-07-2022,Florida,Anna Pagliaro,9.7500,,,
Rutgers,2022,1,no meet title,Jan-07-2022,Florida,Emily Wood,,,,9.7750
Rutgers,2022,1,no meet title,Jan-07-2022,Florida,Stephanie Zannella,,,8.9000,
Rutgers,2022,2,no meet title,Jan-15-2022,Rutgers,Elia Aird,,9.1500,,
Rutgers,2022,2,no meet title,Jan-15-2022,Rutgers,Avery Balser,,9.7500,,9.7500
Rutgers,2022,2,no meet title,Jan-15-2022,Rutgers,Brayden Battavio,,,9.7750,
Rutgers,2022,2,no meet title,Jan-15-2022,Rutgers,Mia Betancourt,9.8500,,,
Rutgers,2022,2,no meet title,Jan-15-2022,Rutgers,Myra Daniels,,9.7000,,
Rutgers,2022,2,no meet title,Jan-15-2022,Rutgers,Belle Huang,9.8500,,9.8750,9.9500
Rutgers,2022,2,no meet title,Jan-15-2022,Rutgers,Isabella Hughes,9.7750,,,
Rutgers,2022,2,no meet title,Jan-15-2022,Rutgers,Maya Jones,,9.5500,,
Rutgers,2022,2,no meet title,Jan-15-2022,Rutgers,Hannah Joyner,9.8500,9.1250,9.8250,9.8750
Rutgers,2022,2,no meet title,Jan-15-2022,Rutgers,Emily Leese,9.8250,,,9.8500
Rutgers,2022,2,no meet title,Jan-15-2022,Rutgers,Calah Newman,,8.9750,9.8750,9.0000
Rutgers,2022,2,no meet title,Jan-15-2022,Rutgers,Gianna Ortiz,,,9.5250,
Rutgers,2022,2,no meet title,Jan-15-2022,Rutgers,Anna Pagliaro,9.6500,,,
