team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
S.E. Missouri,2017,1,no meet title,Jan-15-2017,Lindenwood,Allyson Bell,9.6250,9.5750,9.5000,9.3750
S.E. Missouri,2017,1,no meet title,Jan-15-2017,Lindenwood,Kendra Benak,9.6000,,,
S.E. Missouri,2017,1,no meet title,Jan-15-2017,Lindenwood,Alexis Brawner,9.7250,9.2000,9.4500,9.8000
S.E. Missouri,2017,1,no meet title,Jan-15-2017,Lindenwood,McKinzie Jones,,9.6750,9.6500,9.5000
S.E. Missouri,2017,1,no meet title,Jan-15-2017,Lindenwood,McKenna Stanley,9.5750,6.6500,9.5500,9.4000
S.E. Missouri,2017,1,no meet title,Jan-15-2017,Lindenwood,Courteney Taylor,9.7750,9.6500,8.8250,8.7250
S.E. Missouri,2017,1,no meet title,Jan-15-2017,Lindenwood,Ashley Thomas,9.5750,9.0750,9.3000,9.6500
S.E. Missouri,2017,2,no meet title,Jan-20-2017,S.E. Missouri,Allyson Bell,9.4500,8.3500,9.5250,9.2000
S.E. Missouri,2017,2,no meet title,Jan-20-2017,S.E. Missouri,Kendra Benak,9.4250,,,
S.E. Missouri,2017,2,no meet title,Jan-20-2017,S.E. Missouri,Alexis Brawner,9.8250,9.8250,9.0250,9.8000
S.E. Missouri,2017,2,no meet title,Jan-20-2017,S.E. Missouri,McKinzie Jones,,9.0250,9.7500,9.7750
S.E. Missouri,2017,2,no meet title,Jan-20-2017,S.E. Missouri,McKenna Stanley,9.4750,9.0250,9.7250,9.5500
S.E. Missouri,2017,2,no meet title,Jan-20-2017,S.E. Missouri,Courteney Taylor,8.2500,9.5250,9.5250,8.8500
S.E. Missouri,2017,2,no meet title,Jan-20-2017,S.E. Missouri,Ashley Thomas,9.6250,9.6250,9.1250,9.8250
S.E. Missouri,2017,3,no meet title,Jan-29-2017,Northern Illinois,Allyson Bell,9.5500,8.3750,9.6750,9.3250
S.E. Missouri,2017,3,no meet title,Jan-29-2017,Northern Illinois,Kendra Benak,9.5000,,,
S.E. Missouri,2017,3,no meet title,Jan-29-2017,Northern Illinois,Alexis Brawner,9.8000,9.8000,9.6500,9.7500
S.E. Missouri,2017,3,no meet title,Jan-29-2017,Northern Illinois,McKinzie Jones,,9.5500,9.7000,9.5000
S.E. Missouri,2017,3,no meet title,Jan-29-2017,Northern Illinois,McKenna Stanley,9.5500,8.9500,9.0500,9.3000
S.E. Missouri,2017,3,no meet title,Jan-29-2017,Northern Illinois,Courteney Taylor,9.6000,8.4500,9.6500,9.3250
S.E. Missouri,2017,3,no meet title,Jan-29-2017,Northern Illinois,Ashley Thomas,9.6000,9.7250,9.8500,9.5000
S.E. Missouri,2017,4,no meet title,Feb-03-2017,Iowa State,Allyson Bell,9.3000,9.6250,9.7250,8.5500
S.E. Missouri,2017,4,no meet title,Feb-03-2017,Iowa State,Kendra Benak,9.4500,9.2750,,
S.E. Missouri,2017,4,no meet title,Feb-03-2017,Iowa State,Alexis Brawner,9.7500,9.7750,9.1750,9.8250
S.E. Missouri,2017,4,no meet title,Feb-03-2017,Iowa State,McKinzie Jones,,9.7250,8.7750,9.6500
S.E. Missouri,2017,4,no meet title,Feb-03-2017,Iowa State,Mackenzie Slee,9.5000,,,
S.E. Missouri,2017,4,no meet title,Feb-03-2017,Iowa State,McKenna Stanley,,,8.9000,8.3500
