team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Sacramento State,2015,1,Nor Cal Classic,Jan-04-2015,UC Davis,Alyssa Anderson,,,9.7250,
Sacramento State,2015,1,Nor Cal Classic,Jan-04-2015,UC Davis,Brennan Bailes,,8.5500,,
Sacramento State,2015,1,Nor Cal Classic,Jan-04-2015,UC Davis,Cassie Benning,,9.7750,9.6750,9.8250
Sacramento State,2015,1,Nor Cal Classic,Jan-04-2015,UC Davis,Emily Bolton,9.4750,,,
Sacramento State,2015,1,Nor Cal Classic,Jan-04-2015,UC Davis,Annie Juarez,9.7500,,,9.8250
Sacramento State,2015,1,Nor Cal Classic,Jan-04-2015,UC Davis,Julia Konner,9.0500,,,9.7250
Sacramento State,2015,1,Nor Cal Classic,Jan-04-2015,UC Davis,Kalliah McCartney,9.8250,9.6750,9.7500,9.7500
Sacramento State,2015,1,Nor Cal Classic,Jan-04-2015,UC Davis,Tina Necas,8.9000,,,
Sacramento State,2015,1,Nor Cal Classic,Jan-04-2015,UC Davis,Lauren Rice,9.6500,9.6000,9.6000,9.7000
Sacramento State,2015,1,Nor Cal Classic,Jan-04-2015,UC Davis,Dallas Smith,,,,9.6500
Sacramento State,2015,1,Nor Cal Classic,Jan-04-2015,UC Davis,Courtney Soliwoda,,9.6250,9.6750,
Sacramento State,2015,1,Nor Cal Classic,Jan-04-2015,UC Davis,Kayla Wonderly,,9.7000,9.6750,
Sacramento State,2015,2,no meet title,Jan-09-2015,Sacramento State,Alyssa Anderson,,9.4750,9.8000,
Sacramento State,2015,2,no meet title,Jan-09-2015,Sacramento State,Cassie Benning,,9.7000,9.6750,9.8250
Sacramento State,2015,2,no meet title,Jan-09-2015,Sacramento State,Annie Juarez,9.8250,,,9.7000
Sacramento State,2015,2,no meet title,Jan-09-2015,Sacramento State,Julia Konner,9.6750,,,9.6500
Sacramento State,2015,2,no meet title,Jan-09-2015,Sacramento State,Kalliah McCartney,9.6500,9.7250,9.8000,9.6000
Sacramento State,2015,2,no meet title,Jan-09-2015,Sacramento State,Tina Necas,9.3750,,,
Sacramento State,2015,2,no meet title,Jan-09-2015,Sacramento State,Lauren Rice,9.7500,9.7000,9.7500,9.7750
Sacramento State,2015,2,no meet title,Jan-09-2015,Sacramento State,Dallas Smith,,,,9.7250
Sacramento State,2015,2,no meet title,Jan-09-2015,Sacramento State,Caitlin Soliwoda,9.7750,,,
