team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
San Jose State,2021,1,no meet title,Feb-27-2021,Stanford,Tia Gin,,9.5750,9.4000,9.7500
San Jose State,2021,1,no meet title,Feb-27-2021,Stanford,Jasmine Henley,,,9.5500,9.5250
San Jose State,2021,1,no meet title,Feb-27-2021,Stanford,Cameron Kelperis,,,9.7000,9.7250
San Jose State,2021,1,no meet title,Feb-27-2021,Stanford,Jaudai Lopes,,9.5250,,
San Jose State,2021,1,no meet title,Feb-27-2021,Stanford,Lauren Macpherson,,9.2750,9.7750,8.4750
San Jose State,2021,1,no meet title,Feb-27-2021,Stanford,Antonia Marquez,,,,9.6750
San Jose State,2021,1,no meet title,Feb-27-2021,Stanford,Emma Milne,,9.8000,,
San Jose State,2021,1,no meet title,Feb-27-2021,Stanford,Carli Orcutt,,9.6000,9.0750,9.4500
San Jose State,2021,1,no meet title,Feb-27-2021,Stanford,Mercedez Sanchez,,9.6500,9.4250,
San Jose State,2021,1,no meet title,Feb-27-2021,Stanford,Alexa Solomon,,,,
San Jose State,2021,2,no meet title,Mar-05-2021,Air Force,Tia Gin,9.7250,9.6500,9.7250,9.8000
San Jose State,2021,2,no meet title,Mar-05-2021,Air Force,Jasmine Henley,,,9.0750,9.4000
San Jose State,2021,2,no meet title,Mar-05-2021,Air Force,Cameron Kelperis,9.6250,,9.5250,9.7000
San Jose State,2021,2,no meet title,Mar-05-2021,Air Force,Madison Kirsch,9.6250,,,
San Jose State,2021,2,no meet title,Mar-05-2021,Air Force,Jaudai Lopes,9.5750,9.6750,,
San Jose State,2021,2,no meet title,Mar-05-2021,Air Force,Lauren Macpherson,9.7000,9.8500,9.8000,8.9750
San Jose State,2021,2,no meet title,Mar-05-2021,Air Force,Antonia Marquez,9.2000,,,9.6500
San Jose State,2021,2,no meet title,Mar-05-2021,Air Force,Jada Mazury,,9.8250,9.1000,
San Jose State,2021,2,no meet title,Mar-05-2021,Air Force,Emma Milne,,9.7250,,
San Jose State,2021,2,no meet title,Mar-05-2021,Air Force,Carli Orcutt,,,,9.6000
San Jose State,2021,2,no meet title,Mar-05-2021,Air Force,Mercedez Sanchez,,,9.7750,
San Jose State,2021,2,no meet title,Mar-05-2021,Air Force,Alexa Solomon,,9.7000,,
San Jose State,2021,3,no meet title,Mar-10-2021,San Jose State,Jasmine Henley,,,9.6250,9.6750
San Jose State,2021,3,no meet title,Mar-10-2021,San Jose State,Cameron Kelperis,9.7750,,9.6500,9.8250
San Jose State,2021,3,no meet title,Mar-10-2021,San Jose State,Madison Kirsch,9.6000,,,
San Jose State,2021,3,no meet title,Mar-10-2021,San Jose State,Jaudai Lopes,9.6250,9.7250,,
San Jose State,2021,3,no meet title,Mar-10-2021,San Jose State,Lauren Macpherson,9.7750,9.8000,9.5750,9.8000
San Jose State,2021,3,no meet title,Mar-10-2021,San Jose State,Antonia Marquez,9.5250,,,9.7000
San Jose State,2021,3,no meet title,Mar-10-2021,San Jose State,Jada Mazury,,9.0750,9.8750,9.7500
San Jose State,2021,3,no meet title,Mar-10-2021,San Jose State,Emma Milne,,9.8250,9.8500,
San Jose State,2021,3,no meet title,Mar-10-2021,San Jose State,Carli Orcutt,,,,9.5750
San Jose State,2021,3,no meet title,Mar-10-2021,San Jose State,Mercedez Sanchez,,9.7750,8.6250,
San Jose State,2021,3,no meet title,Mar-10-2021,San Jose State,Alexa Solomon,,9.6250,,
San Jose State,2021,4,no meet title,Mar-13-2021,UCLA,Jasmine Henley,,,9.6000,9.5750
San Jose State,2021,4,no meet title,Mar-13-2021,UCLA,Cameron Kelperis,9.7000,,8.3250,9.7000
San Jose State,2021,4,no meet title,Mar-13-2021,UCLA,Madison Kirsch,9.5500,,,
San Jose State,2021,4,no meet title,Mar-13-2021,UCLA,Jaudai Lopes,9.7500,9.6000,,
San Jose State,2021,4,no meet title,Mar-13-2021,UCLA,Lauren Macpherson,9.8000,9.7750,9.7000,9.7500
San Jose State,2021,4,no meet title,Mar-13-2021,UCLA,Antonia Marquez,9.5500,,,9.7500
San Jose State,2021,4,no meet title,Mar-13-2021,UCLA,Jada Mazury,,9.6500,9.1500,9.8000
San Jose State,2021,4,no meet title,Mar-13-2021,UCLA,Emma Milne,,9.8500,9.7500,
San Jose State,2021,4,no meet title,Mar-13-2021,UCLA,Carli Orcutt,9.2250,,,9.6250
San Jose State,2021,4,no meet title,Mar-13-2021,UCLA,Mercedez Sanchez,,9.7500,9.6750,
San Jose State,2021,4,no meet title,Mar-13-2021,UCLA,Alexa Solomon,,9.7000,,
San Jose State,2021,5,no meet title,Mar-20-2021,Air Force,Jasmine Henley,,,,9.0000
San Jose State,2021,5,no meet title,Mar-20-2021,Air Force,Cameron Kelperis,9.6750,,,9.7750
San Jose State,2021,5,no meet title,Mar-20-2021,Air Force,Madison Kirsch,9.7000,,,
San Jose State,2021,5,no meet title,Mar-20-2021,Air Force,Jaudai Lopes,9.5500,9.6500,9.7250,
San Jose State,2021,5,no meet title,Mar-20-2021,Air Force,Lauren Macpherson,9.8000,9.1000,9.7750,9.8000
San Jose State,2021,5,no meet title,Mar-20-2021,Air Force,Antonia Marquez,9.6750,,,9.7750
San Jose State,2021,5,no meet title,Mar-20-2021,Air Force,Jada Mazury,,9.8500,9.1500,9.8750
San Jose State,2021,5,no meet title,Mar-20-2021,Air Force,Emma Milne,,9.8000,9.8750,
San Jose State,2021,5,no meet title,Mar-20-2021,Air Force,Carli Orcutt,9.5000,,9.0250,9.7250
San Jose State,2021,5,no meet title,Mar-20-2021,Air Force,Mercedez Sanchez,,9.7250,9.8250,
San Jose State,2021,5,no meet title,Mar-20-2021,Air Force,Alexa Solomon,,9.7500,,
