team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Seattle Pacific,2018,1,no meet title,Jan-12-2018,Seattle Pacific,Brittany Atchison,,,,8.8250
Seattle Pacific,2018,1,no meet title,Jan-12-2018,Seattle Pacific,Sienna Brane,,9.5750,9.5250,
Seattle Pacific,2018,1,no meet title,Jan-12-2018,Seattle Pacific,Darian Burns,9.7000,9.5500,9.5000,9.8000
Seattle Pacific,2018,1,no meet title,Jan-12-2018,Seattle Pacific,Kylee Gauna,,,,9.4000
Seattle Pacific,2018,1,no meet title,Jan-12-2018,Seattle Pacific,Haven Lanzador,,9.4500,9.2250,9.6000
Seattle Pacific,2018,1,no meet title,Jan-12-2018,Seattle Pacific,Kylie Reese,9.5750,9.2500,,9.6750
Seattle Pacific,2018,1,no meet title,Jan-12-2018,Seattle Pacific,Itzia San Roman,9.5500,8.8500,9.5750,9.7250
Seattle Pacific,2018,1,no meet title,Jan-12-2018,Seattle Pacific,Shelbi Spivey,9.4000,,,
Seattle Pacific,2018,1,no meet title,Jan-12-2018,Seattle Pacific,Lena Wirth,9.7000,,9.5250,
Seattle Pacific,2018,1,no meet title,Jan-12-2018,Seattle Pacific,McKenna Zimmermann,9.5500,9.5000,9.6000,
Seattle Pacific,2018,2,no meet title,Jan-19-2018,Boise State,Brittany Atchison,,,,5.7500
Seattle Pacific,2018,2,no meet title,Jan-19-2018,Boise State,Sienna Brane,,8.9000,9.2250,
Seattle Pacific,2018,2,no meet title,Jan-19-2018,Boise State,Darian Burns,9.6750,8.8250,9.3500,9.6500
Seattle Pacific,2018,2,no meet title,Jan-19-2018,Boise State,Kylee Gauna,,,,9.6250
Seattle Pacific,2018,2,no meet title,Jan-19-2018,Boise State,Autumn Huskie,8.9750,,,
Seattle Pacific,2018,2,no meet title,Jan-19-2018,Boise State,Haven Lanzador,,9.0500,9.2000,8.8750
Seattle Pacific,2018,2,no meet title,Jan-19-2018,Boise State,Kylie Reese,9.4250,9.1000,,9.4250
Seattle Pacific,2018,2,no meet title,Jan-19-2018,Boise State,Itzia San Roman,9.7250,8.6750,8.7750,9.3750
Seattle Pacific,2018,2,no meet title,Jan-19-2018,Boise State,Lena Wirth,8.7000,,9.6000,
Seattle Pacific,2018,2,no meet title,Jan-19-2018,Boise State,McKenna Zimmermann,9.7250,9.5000,9.6500,
Seattle Pacific,2018,3,no meet title,Jan-26-2018,Seattle Pacific,Sienna Brane,,9.7000,8.5000,
Seattle Pacific,2018,3,no meet title,Jan-26-2018,Seattle Pacific,Darian Burns,9.7000,8.8500,9.6500,9.7500
Seattle Pacific,2018,3,no meet title,Jan-26-2018,Seattle Pacific,Jadacie  Durst,,,,9.5000
Seattle Pacific,2018,3,no meet title,Jan-26-2018,Seattle Pacific,Kylee Gauna,,,,9.0500
Seattle Pacific,2018,3,no meet title,Jan-26-2018,Seattle Pacific,Haven Lanzador,,9.1000,9.5750,
Seattle Pacific,2018,3,no meet title,Jan-26-2018,Seattle Pacific,Zahra Lawal,9.5250,,,
Seattle Pacific,2018,3,no meet title,Jan-26-2018,Seattle Pacific,Kylie Reese,,9.2500,,9.6500
Seattle Pacific,2018,3,no meet title,Jan-26-2018,Seattle Pacific,Itzia San Roman,9.5000,9.4250,,9.7500
Seattle Pacific,2018,3,no meet title,Jan-26-2018,Seattle Pacific,Shelbi Spivey,9.4250,,9.0000,
Seattle Pacific,2018,3,no meet title,Jan-26-2018,Seattle Pacific,Lena Wirth,9.7750,,9.6500,
Seattle Pacific,2018,3,no meet title,Jan-26-2018,Seattle Pacific,McKenna Zimmermann,9.7500,9.5750,9.1500,9.7500
Seattle Pacific,2018,4,no meet title,Feb-02-2018,UC Davis,Sienna Brane,,9.6500,,
Seattle Pacific,2018,4,no meet title,Feb-02-2018,UC Davis,Darian Burns,9.5500,9.7000,9.7500,9.7750
Seattle Pacific,2018,4,no meet title,Feb-02-2018,UC Davis,Jadacie  Durst,,,,9.6500
Seattle Pacific,2018,4,no meet title,Feb-02-2018,UC Davis,Kylee Gauna,,,,9.5250
Seattle Pacific,2018,4,no meet title,Feb-02-2018,UC Davis,Haven Lanzador,,9.7500,9.6500,
Seattle Pacific,2018,4,no meet title,Feb-02-2018,UC Davis,Zahra Lawal,9.4250,,,
Seattle Pacific,2018,4,no meet title,Feb-02-2018,UC Davis,Miyuki Matsune,,,9.0750,
Seattle Pacific,2018,4,no meet title,Feb-02-2018,UC Davis,Kylie Reese,,9.5500,,9.6250
Seattle Pacific,2018,4,no meet title,Feb-02-2018,UC Davis,Itzia San Roman,9.5000,8.8000,9.3500,8.8750
Seattle Pacific,2018,4,no meet title,Feb-02-2018,UC Davis,Shelbi Spivey,9.3500,,,
Seattle Pacific,2018,4,no meet title,Feb-02-2018,UC Davis,Lena Wirth,7.7500,,9.6750,
Seattle Pacific,2018,4,no meet title,Feb-02-2018,UC Davis,McKenna Zimmermann,9.5000,9.0250,9.1000,9.6500
Seattle Pacific,2018,5,no meet title,Feb-10-2018,Air Force,Brittany Atchison,,9.6500,,
Seattle Pacific,2018,5,no meet title,Feb-10-2018,Air Force,Sienna Brane,,9.7500,,
Seattle Pacific,2018,5,no meet title,Feb-10-2018,Air Force,Darian Burns,9.5000,9.7250,8.9500,9.7000
Seattle Pacific,2018,5,no meet title,Feb-10-2018,Air Force,Jadacie  Durst,,,,9.3500
Seattle Pacific,2018,5,no meet title,Feb-10-2018,Air Force,Kylee Gauna,,,,9.5000
Seattle Pacific,2018,5,no meet title,Feb-10-2018,Air Force,Zahra Lawal,9.5750,,,
Seattle Pacific,2018,5,no meet title,Feb-10-2018,Air Force,Miyuki Matsune,,,9.7750,
Seattle Pacific,2018,5,no meet title,Feb-10-2018,Air Force,Kylie Reese,,8.3500,,9.4750
Seattle Pacific,2018,5,no meet title,Feb-10-2018,Air Force,Itzia San Roman,9.6000,,9.6750,9.5000
Seattle Pacific,2018,5,no meet title,Feb-10-2018,Air Force,Shelbi Spivey,9.5500,8.4500,9.7000,
Seattle Pacific,2018,5,no meet title,Feb-10-2018,Air Force,Lena Wirth,9.5500,,9.2250,
Seattle Pacific,2018,5,no meet title,Feb-10-2018,Air Force,McKenna Zimmermann,9.5250,8.9000,9.0500,9.3750
Seattle Pacific,2018,6,no meet title,Feb-16-2018,Sacramento State,Brittany Atchison,,7.3500,,8.8500
Seattle Pacific,2018,6,no meet title,Feb-16-2018,Sacramento State,Sienna Brane,,9.0750,,
Seattle Pacific,2018,6,no meet title,Feb-16-2018,Sacramento State,Darian Burns,9.7500,9.6750,9.6000,8.7500
Seattle Pacific,2018,6,no meet title,Feb-16-2018,Sacramento State,Jadacie  Durst,,,,9.5750
Seattle Pacific,2018,6,no meet title,Feb-16-2018,Sacramento State,Kylee Gauna,,,,9.3250
Seattle Pacific,2018,6,no meet title,Feb-16-2018,Sacramento State,Autumn Huskie,9.6750,,,
Seattle Pacific,2018,6,no meet title,Feb-16-2018,Sacramento State,Zahra Lawal,9.4750,,,
Seattle Pacific,2018,6,no meet title,Feb-16-2018,Sacramento State,Miyuki Matsune,,,9.8000,
Seattle Pacific,2018,6,no meet title,Feb-16-2018,Sacramento State,Kylie Reese,,8.7000,,9.6000
Seattle Pacific,2018,6,no meet title,Feb-16-2018,Sacramento State,Itzia San Roman,8.9750,,9.7500,9.6500
Seattle Pacific,2018,6,no meet title,Feb-16-2018,Sacramento State,Shelbi Spivey,9.1250,9.6250,9.0500,
Seattle Pacific,2018,6,no meet title,Feb-16-2018,Sacramento State,Lena Wirth,9.4500,,9.6500,
Seattle Pacific,2018,6,no meet title,Feb-16-2018,Sacramento State,McKenna Zimmermann,,9.5250,9.3250,
Seattle Pacific,2018,7,no meet title,Feb-23-2018,Seattle Pacific,Brittany Atchison,,9.0000,,9.6750
Seattle Pacific,2018,7,no meet title,Feb-23-2018,Seattle Pacific,Sienna Brane,,9.7250,9.2250,
Seattle Pacific,2018,7,no meet title,Feb-23-2018,Seattle Pacific,Darian Burns,9.8250,9.6750,9.8000,9.8500
Seattle Pacific,2018,7,no meet title,Feb-23-2018,Seattle Pacific,Jadacie  Durst,,,,9.6500
Seattle Pacific,2018,7,no meet title,Feb-23-2018,Seattle Pacific,Kylee Gauna,,,,9.6500
Seattle Pacific,2018,7,no meet title,Feb-23-2018,Seattle Pacific,Autumn Huskie,9.7250,,,
Seattle Pacific,2018,7,no meet title,Feb-23-2018,Seattle Pacific,Zahra Lawal,9.6000,,,
Seattle Pacific,2018,7,no meet title,Feb-23-2018,Seattle Pacific,Miyuki Matsune,,,9.7750,
Seattle Pacific,2018,7,no meet title,Feb-23-2018,Seattle Pacific,Itzia San Roman,9.6500,9.4750,9.8250,9.7000
Seattle Pacific,2018,7,no meet title,Feb-23-2018,Seattle Pacific,Shelbi Spivey,,8.3500,,
Seattle Pacific,2018,7,no meet title,Feb-23-2018,Seattle Pacific,Lena Wirth,9.3000,,9.0750,
Seattle Pacific,2018,7,no meet title,Feb-23-2018,Seattle Pacific,McKenna Zimmermann,9.7750,9.5000,9.7250,9.5750
Seattle Pacific,2018,8,no meet title,Mar-04-2018,San Jose State,Brittany Atchison,,,,9.6250
Seattle Pacific,2018,8,no meet title,Mar-04-2018,San Jose State,Sienna Brane,,9.5750,9.4750,
Seattle Pacific,2018,8,no meet title,Mar-04-2018,San Jose State,Darian Burns,9.2750,9.7500,9.2250,9.7500
Seattle Pacific,2018,8,no meet title,Mar-04-2018,San Jose State,Jadacie  Durst,,,,9.7500
Seattle Pacific,2018,8,no meet title,Mar-04-2018,San Jose State,Kylee Gauna,,,,9.7500
Seattle Pacific,2018,8,no meet title,Mar-04-2018,San Jose State,Autumn Huskie,9.8000,,,
Seattle Pacific,2018,8,no meet title,Mar-04-2018,San Jose State,Haven Lanzador,,9.6500,,
Seattle Pacific,2018,8,no meet title,Mar-04-2018,San Jose State,Zahra Lawal,9.6000,,,
Seattle Pacific,2018,8,no meet title,Mar-04-2018,San Jose State,Miyuki Matsune,,,9.8000,
Seattle Pacific,2018,8,no meet title,Mar-04-2018,San Jose State,Itzia San Roman,8.1000,9.4250,9.8250,9.7000
Seattle Pacific,2018,8,no meet title,Mar-04-2018,San Jose State,Shelbi Spivey,,9.5250,,
Seattle Pacific,2018,8,no meet title,Mar-04-2018,San Jose State,Lena Wirth,9.6250,,9.7750,
Seattle Pacific,2018,8,no meet title,Mar-04-2018,San Jose State,McKenna Zimmermann,9.7000,9.5750,9.6000,9.7250
Seattle Pacific,2018,9,no meet title,Mar-09-2018,Washington,Sienna Brane,,8.9250,9.6250,
Seattle Pacific,2018,9,no meet title,Mar-09-2018,Washington,Darian Burns,9.8250,9.6750,9.6250,9.7500
Seattle Pacific,2018,9,no meet title,Mar-09-2018,Washington,Jadacie  Durst,,,,9.6250
Seattle Pacific,2018,9,no meet title,Mar-09-2018,Washington,Kylee Gauna,,,,9.5000
Seattle Pacific,2018,9,no meet title,Mar-09-2018,Washington,Autumn Huskie,9.7500,,,
Seattle Pacific,2018,9,no meet title,Mar-09-2018,Washington,Haven Lanzador,,9.0000,,
Seattle Pacific,2018,9,no meet title,Mar-09-2018,Washington,Miyuki Matsune,,,9.7250,
Seattle Pacific,2018,9,no meet title,Mar-09-2018,Washington,Kylie Reese,,,,9.7000
Seattle Pacific,2018,9,no meet title,Mar-09-2018,Washington,Itzia San Roman,9.7250,9.4250,9.6000,9.7750
Seattle Pacific,2018,9,no meet title,Mar-09-2018,Washington,Shelbi Spivey,9.6000,9.6250,,
Seattle Pacific,2018,9,no meet title,Mar-09-2018,Washington,Lena Wirth,9.7250,,9.6500,
Seattle Pacific,2018,9,no meet title,Mar-09-2018,Washington,McKenna Zimmermann,9.6250,9.6000,9.6250,9.6250
Seattle Pacific,2018,10,no meet title,Mar-17-2018,Seattle Pacific,Brittany Atchison,,9.3500,,9.4750
Seattle Pacific,2018,10,no meet title,Mar-17-2018,Seattle Pacific,Sienna Brane,,9.6500,7.6000,
Seattle Pacific,2018,10,no meet title,Mar-17-2018,Seattle Pacific,Darian Burns,9.7250,9.7250,9.5000,8.9000
Seattle Pacific,2018,10,no meet title,Mar-17-2018,Seattle Pacific,Jadacie  Durst,,,,9.7250
Seattle Pacific,2018,10,no meet title,Mar-17-2018,Seattle Pacific,Autumn Huskie,9.7750,,,
Seattle Pacific,2018,10,no meet title,Mar-17-2018,Seattle Pacific,Haven Lanzador,,9.7500,,
Seattle Pacific,2018,10,no meet title,Mar-17-2018,Seattle Pacific,Zahra Lawal,9.6250,,,
Seattle Pacific,2018,10,no meet title,Mar-17-2018,Seattle Pacific,Miyuki Matsune,,,9.7000,
Seattle Pacific,2018,10,no meet title,Mar-17-2018,Seattle Pacific,Kylie Reese,,,,9.7500
Seattle Pacific,2018,10,no meet title,Mar-17-2018,Seattle Pacific,Itzia San Roman,9.7000,9.7250,9.0750,9.4750
Seattle Pacific,2018,10,no meet title,Mar-17-2018,Seattle Pacific,Lena Wirth,9.7000,,9.5000,
Seattle Pacific,2018,10,no meet title,Mar-17-2018,Seattle Pacific,McKenna Zimmermann,9.6750,9.6250,9.7500,9.6250
Seattle Pacific,2018,11,MPSF Championships,Mar-24-2018,Air Force,Brittany Atchison,,9.6500,,9.6750
Seattle Pacific,2018,11,MPSF Championships,Mar-24-2018,Air Force,Sienna Brane,,9.6000,9.6250,
Seattle Pacific,2018,11,MPSF Championships,Mar-24-2018,Air Force,Darian Burns,9.7500,9.7500,9.7500,9.7250
Seattle Pacific,2018,11,MPSF Championships,Mar-24-2018,Air Force,Jadacie  Durst,,,,9.6750
Seattle Pacific,2018,11,MPSF Championships,Mar-24-2018,Air Force,Autumn Huskie,9.7500,,,
Seattle Pacific,2018,11,MPSF Championships,Mar-24-2018,Air Force,Haven Lanzador,,9.6500,,
Seattle Pacific,2018,11,MPSF Championships,Mar-24-2018,Air Force,Miyuki Matsune,,,9.8500,
Seattle Pacific,2018,11,MPSF Championships,Mar-24-2018,Air Force,Kylie Reese,,,,9.6000
Seattle Pacific,2018,11,MPSF Championships,Mar-24-2018,Air Force,Itzia San Roman,9.6750,,9.8000,9.6500
Seattle Pacific,2018,11,MPSF Championships,Mar-24-2018,Air Force,Shelbi Spivey,9.6750,8.8500,,
Seattle Pacific,2018,11,MPSF Championships,Mar-24-2018,Air Force,Lena Wirth,9.7000,,9.8500,
Seattle Pacific,2018,11,MPSF Championships,Mar-24-2018,Air Force,McKenna Zimmermann,9.7250,9.6250,9.7000,9.7500
Seattle Pacific,2018,12,USAG Championships Semifinal I,Apr-13-2018,,Darian Burns,9.6500,9.8500,9.7500,9.8500
Seattle Pacific,2018,12,USAG Championships Semifinal I,Apr-13-2018,,Autumn Huskie,9.8000,,,
Seattle Pacific,2018,12,USAG Championships Semifinal I,Apr-13-2018,,Itzia San Roman,9.6750,9.6000,9.7000,9.1500
Seattle Pacific,2018,13,USAG Championships Semifinal II,Apr-13-2018,Texas Woman's,Sienna Brane,,9.1000,,
Seattle Pacific,2018,13,USAG Championships Semifinal II,Apr-13-2018,Texas Woman's,Lena Wirth,9.6250,,9.7250,
Seattle Pacific,2018,13,USAG Championships Semifinal II,Apr-13-2018,Texas Woman's,McKenna Zimmermann,9.6250,8.7250,9.7250,9.7250
Seattle Pacific,2018,14,USAG Championships Individual Finals,Apr-15-2018,Texas Woman's,Darian Burns,,9.7750,,
Seattle Pacific,2018,14,USAG Championships Individual Finals,Apr-15-2018,Texas Woman's,Autumn Huskie,9.7375,,,
