team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Simpson,2024,1,no meet title,Jan-12-2024,UW-La Crosse,Erin Baugh,,5.8500,,
Simpson,2024,1,no meet title,Jan-12-2024,UW-La Crosse,Izzy Brown,,,8.9250,
Simpson,2024,1,no meet title,Jan-12-2024,UW-La Crosse,Emma Charles,9.1500,8.8750,8.9500,
Simpson,2024,1,no meet title,Jan-12-2024,UW-La Crosse,Annika Cole,,8.3000,,
Simpson,2024,1,no meet title,Jan-12-2024,UW-La Crosse,Bella Dix,9.1000,,,9.3250
Simpson,2024,1,no meet title,Jan-12-2024,UW-La Crosse,Abbie Lain,9.2000,7.8250,9.5000,9.1500
Simpson,2024,1,no meet title,Jan-12-2024,UW-La Crosse,Brooklen Morgan,9.4000,,9.3500,9.0750
Simpson,2024,1,no meet title,Jan-12-2024,UW-La Crosse,Winter Poolaw,9.3250,8.6000,,
Simpson,2024,1,no meet title,Jan-12-2024,UW-La Crosse,Chloe Radmer,,,8.2750,
Simpson,2024,1,no meet title,Jan-12-2024,UW-La Crosse,Morgan Svec,,7.4500,,
Simpson,2024,1,no meet title,Jan-12-2024,UW-La Crosse,Kaelyn Tally,9.5000,,,8.6000
Simpson,2024,1,no meet title,Jan-12-2024,UW-La Crosse,Baily Tessena,,,8.7750,8.0000
Simpson,2024,1,no meet title,Jan-12-2024,UW-La Crosse,Emma Tolbert,,,,9.4500
Simpson,2024,2,no meet title,Jan-20-2024,Simpson,Erin Baugh,,7.9500,,
Simpson,2024,2,no meet title,Jan-20-2024,Simpson,Izzy Brown,,,9.5250,
Simpson,2024,2,no meet title,Jan-20-2024,Simpson,Nicola Catchpole,9.5250,,,
Simpson,2024,2,no meet title,Jan-20-2024,Simpson,Emma Charles,9.7000,9.1500,9.7250,
Simpson,2024,2,no meet title,Jan-20-2024,Simpson,Annika Cole,,9.0750,,9.7000
Simpson,2024,2,no meet title,Jan-20-2024,Simpson,Bella Dix,9.5250,,,9.3500
Simpson,2024,2,no meet title,Jan-20-2024,Simpson,Abbie Lain,,8.5500,9.3500,9.4750
Simpson,2024,2,no meet title,Jan-20-2024,Simpson,Brooklen Morgan,9.4000,,9.1750,9.5000
Simpson,2024,2,no meet title,Jan-20-2024,Simpson,Winter Poolaw,9.3750,9.0250,,
Simpson,2024,2,no meet title,Jan-20-2024,Simpson,Chloe Radmer,,,8.9750,
Simpson,2024,2,no meet title,Jan-20-2024,Simpson,Morgan Svec,,8.1500,,
Simpson,2024,2,no meet title,Jan-20-2024,Simpson,Kaelyn Tally,9.6250,,,9.2000
Simpson,2024,2,no meet title,Jan-20-2024,Simpson,Baily Tessena,,,8.3250,
Simpson,2024,2,no meet title,Jan-20-2024,Simpson,Emma Tolbert,,,,9.7000
Simpson,2024,3,no meet title,Jan-26-2024,UW-Oshkosh,Kaley Bristow,,,8.3250,9.1250
Simpson,2024,3,no meet title,Jan-26-2024,UW-Oshkosh,Izzy Brown,,,9.0000,9.0500
Simpson,2024,3,no meet title,Jan-26-2024,UW-Oshkosh,Nicola Catchpole,9.1500,,,
Simpson,2024,3,no meet title,Jan-26-2024,UW-Oshkosh,Emma Charles,9.7500,8.3000,,
Simpson,2024,3,no meet title,Jan-26-2024,UW-Oshkosh,Annika Cole,,8.7000,,9.2500
Simpson,2024,3,no meet title,Jan-26-2024,UW-Oshkosh,Bella Dix,9.0000,8.1500,,8.9250
Simpson,2024,3,no meet title,Jan-26-2024,UW-Oshkosh,Abbie Lain,,8.0000,7.3000,
Simpson,2024,3,no meet title,Jan-26-2024,UW-Oshkosh,Brooklen Morgan,8.2750,,8.6500,9.5500
Simpson,2024,3,no meet title,Jan-26-2024,UW-Oshkosh,Winter Poolaw,9.3500,8.2000,,
Simpson,2024,3,no meet title,Jan-26-2024,UW-Oshkosh,Olivia Short,,,7.5750,
Simpson,2024,3,no meet title,Jan-26-2024,UW-Oshkosh,Morgan Svec,,7.1500,,
Simpson,2024,3,no meet title,Jan-26-2024,UW-Oshkosh,Kaelyn Tally,9.6750,,,9.5500
Simpson,2024,3,no meet title,Jan-26-2024,UW-Oshkosh,Baily Tessena,,,8.6250,
Simpson,2024,4,no meet title,Feb-04-2024,Lindenwood,Erin Baugh,,8.2000,,
Simpson,2024,4,no meet title,Feb-04-2024,Lindenwood,Kaley Bristow,,,,9.2000
Simpson,2024,4,no meet title,Feb-04-2024,Lindenwood,Izzy Brown,,,8.3500,9.6750
Simpson,2024,4,no meet title,Feb-04-2024,Lindenwood,Nicola Catchpole,8.7500,,,
Simpson,2024,4,no meet title,Feb-04-2024,Lindenwood,Emma Charles,9.7250,9.2250,9.7250,
Simpson,2024,4,no meet title,Feb-04-2024,Lindenwood,Annika Cole,,9.0750,,9.7750
Simpson,2024,4,no meet title,Feb-04-2024,Lindenwood,Bella Dix,9.4000,8.7500,9.3000,9.8000
Simpson,2024,4,no meet title,Feb-04-2024,Lindenwood,Abbie Lain,,8.8750,8.9000,
Simpson,2024,4,no meet title,Feb-04-2024,Lindenwood,Brooklen Morgan,9.5000,,8.6500,9.5500
Simpson,2024,4,no meet title,Feb-04-2024,Lindenwood,Winter Poolaw,9.4250,7.7500,,
Simpson,2024,4,no meet title,Feb-04-2024,Lindenwood,Chloe Radmer,,,9.1500,
Simpson,2024,4,no meet title,Feb-04-2024,Lindenwood,Kaelyn Tally,9.6750,,,9.7000
Simpson,2024,5,no meet title,Feb-09-2024,UW-Eau Claire,Kaley Bristow,,,,7.9000
Simpson,2024,5,no meet title,Feb-09-2024,UW-Eau Claire,Izzy Brown,,,9.6000,8.1500
Simpson,2024,5,no meet title,Feb-09-2024,UW-Eau Claire,Nicola Catchpole,8.7000,,,
