team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Southern Conn.,2020,1,no meet title,Jan-12-2020,Springfield College,Isabella Antonangeli,9.2750,,,
Southern Conn.,2020,1,no meet title,Jan-12-2020,Springfield College,Emily Balasco,9.5500,,9.0000,9.6500
Southern Conn.,2020,1,no meet title,Jan-12-2020,Springfield College,Keylea Brothers,,9.5250,,9.3750
Southern Conn.,2020,1,no meet title,Jan-12-2020,Springfield College,Morgan Gatewood,,,9.3000,8.4500
Southern Conn.,2020,1,no meet title,Jan-12-2020,Springfield College,Cassidy Girolamo,9.4750,9.4750,9.2000,
Southern Conn.,2020,1,no meet title,Jan-12-2020,Springfield College,Jacqueline Kutcher,,9.5500,,
Southern Conn.,2020,1,no meet title,Jan-12-2020,Springfield College,Alexandra Lesperance,9.5000,,,
Southern Conn.,2020,1,no meet title,Jan-12-2020,Springfield College,Keara Loughlin,,,8.2500,
Southern Conn.,2020,1,no meet title,Jan-12-2020,Springfield College,Noely Macias,,9.4250,,9.4000
Southern Conn.,2020,1,no meet title,Jan-12-2020,Springfield College,Natalie McCormack,,9.0750,,
Southern Conn.,2020,1,no meet title,Jan-12-2020,Springfield College,Jordan Peloquin,8.8250,,9.6250,9.7500
Southern Conn.,2020,1,no meet title,Jan-12-2020,Springfield College,Hannah Stahlbrodt,9.3500,9.7500,9.6500,9.6500
Southern Conn.,2020,2,no meet title,Jan-18-2020,Temple,Emily Balasco,9.2750,,9.0250,9.7000
Southern Conn.,2020,2,no meet title,Jan-18-2020,Temple,Keylea Brothers,,8.9000,,
Southern Conn.,2020,2,no meet title,Jan-18-2020,Temple,Morgan Gatewood,,,9.0250,9.1500
Southern Conn.,2020,2,no meet title,Jan-18-2020,Temple,Cassidy Girolamo,9.5250,9.2000,8.8000,
Southern Conn.,2020,2,no meet title,Jan-18-2020,Temple,Jacqueline Kutcher,9.2500,9.3500,,
Southern Conn.,2020,2,no meet title,Jan-18-2020,Temple,Alexandra Lesperance,8.6000,,,9.5500
Southern Conn.,2020,2,no meet title,Jan-18-2020,Temple,Keara Loughlin,,,9.4500,
Southern Conn.,2020,2,no meet title,Jan-18-2020,Temple,Noely Macias,,9.4000,,9.5000
Southern Conn.,2020,2,no meet title,Jan-18-2020,Temple,Jordan Peloquin,9.0000,,9.0500,9.5250
Southern Conn.,2020,2,no meet title,Jan-18-2020,Temple,Hannah Stahlbrodt,9.6500,9.7000,9.7250,9.7000
Southern Conn.,2020,3,no meet title,Jan-26-2020,Southern Conn.,Emily Balasco,9.6250,,,
Southern Conn.,2020,3,no meet title,Jan-26-2020,Southern Conn.,Keylea Brothers,,8.5750,,9.4750
Southern Conn.,2020,3,no meet title,Jan-26-2020,Southern Conn.,Morgan Gatewood,,,8.5500,
Southern Conn.,2020,3,no meet title,Jan-26-2020,Southern Conn.,Cassidy Girolamo,9.6000,9.3750,9.3750,8.9000
Southern Conn.,2020,3,no meet title,Jan-26-2020,Southern Conn.,Jacqueline Kutcher,9.4000,9.4500,8.5750,
Southern Conn.,2020,3,no meet title,Jan-26-2020,Southern Conn.,Bianca Leon,,8.7500,9.7750,
Southern Conn.,2020,3,no meet title,Jan-26-2020,Southern Conn.,Alexandra Lesperance,9.5250,,,9.3000
Southern Conn.,2020,3,no meet title,Jan-26-2020,Southern Conn.,Keara Loughlin,,,9.4000,
Southern Conn.,2020,3,no meet title,Jan-26-2020,Southern Conn.,Noely Macias,,8.8000,,9.4000
Southern Conn.,2020,3,no meet title,Jan-26-2020,Southern Conn.,Hannah Stahlbrodt,9.7250,9.1500,9.7750,9.6500
Southern Conn.,2020,3,no meet title,Jan-26-2020,Southern Conn.,Jenna Zakala,9.4000,,,
Southern Conn.,2020,4,no meet title,Feb-01-2020,Yale,Isabella Antonangeli,9.4500,,,
Southern Conn.,2020,4,no meet title,Feb-01-2020,Yale,Keylea Brothers,,9.3750,,9.5500
Southern Conn.,2020,4,no meet title,Feb-01-2020,Yale,Morgan Gatewood,,,9.4750,8.3000
Southern Conn.,2020,4,no meet title,Feb-01-2020,Yale,Cassidy Girolamo,9.6500,9.4750,,9.3250
Southern Conn.,2020,4,no meet title,Feb-01-2020,Yale,Jacqueline Kutcher,9.3750,9.6000,,
Southern Conn.,2020,4,no meet title,Feb-01-2020,Yale,Bianca Leon,,9.8000,9.6500,
Southern Conn.,2020,4,no meet title,Feb-01-2020,Yale,Alexandra Lesperance,9.5250,,,9.5250
Southern Conn.,2020,4,no meet title,Feb-01-2020,Yale,Keara Loughlin,,,9.4750,
Southern Conn.,2020,4,no meet title,Feb-01-2020,Yale,Noely Macias,,9.1250,8.0250,9.5250
Southern Conn.,2020,4,no meet title,Feb-01-2020,Yale,Jordan Peloquin,,,9.4000,
Southern Conn.,2020,4,no meet title,Feb-01-2020,Yale,Hannah Stahlbrodt,9.5250,9.7250,9.5500,9.5500
Southern Conn.,2020,4,no meet title,Feb-01-2020,Yale,Jenna Zakala,9.2000,,,
Southern Conn.,2020,5,no meet title,Feb-02-2020,Bridgeport,Isabella Antonangeli,9.3000,,,
Southern Conn.,2020,5,no meet title,Feb-02-2020,Bridgeport,Keylea Brothers,,9.4250,,9.7250
Southern Conn.,2020,5,no meet title,Feb-02-2020,Bridgeport,Morgan Gatewood,,,9.7500,
Southern Conn.,2020,5,no meet title,Feb-02-2020,Bridgeport,Cassidy Girolamo,9.7000,9.5250,,9.5500
Southern Conn.,2020,5,no meet title,Feb-02-2020,Bridgeport,Jacqueline Kutcher,9.2500,9.6750,9.4000,
Southern Conn.,2020,5,no meet title,Feb-02-2020,Bridgeport,Bianca Leon,,9.8000,9.9000,
Southern Conn.,2020,5,no meet title,Feb-02-2020,Bridgeport,Alexandra Lesperance,9.6000,,,9.6750
Southern Conn.,2020,5,no meet title,Feb-02-2020,Bridgeport,Keara Loughlin,,,9.0250,
Southern Conn.,2020,5,no meet title,Feb-02-2020,Bridgeport,Noely Macias,,8.0000,,9.7750
Southern Conn.,2020,5,no meet title,Feb-02-2020,Bridgeport,Jordan Peloquin,,,9.8750,
Southern Conn.,2020,5,no meet title,Feb-02-2020,Bridgeport,Hannah Stahlbrodt,9.5000,9.8000,9.8500,9.7250
Southern Conn.,2020,5,no meet title,Feb-02-2020,Bridgeport,Jenna Zakala,9.2000,,,
Southern Conn.,2020,6,no meet title,Feb-09-2020,Brown,Isabella Antonangeli,9.3250,,,
Southern Conn.,2020,6,no meet title,Feb-09-2020,Brown,Keylea Brothers,,8.4500,,9.7000
Southern Conn.,2020,6,no meet title,Feb-09-2020,Brown,Morgan Gatewood,,,9.4500,8.6750
Southern Conn.,2020,6,no meet title,Feb-09-2020,Brown,Cassidy Girolamo,9.6500,9.3000,,9.6000
Southern Conn.,2020,6,no meet title,Feb-09-2020,Brown,Jacqueline Kutcher,9.3750,9.3000,9.2500,
Southern Conn.,2020,6,no meet title,Feb-09-2020,Brown,Bianca Leon,,8.6500,9.2500,
Southern Conn.,2020,6,no meet title,Feb-09-2020,Brown,Alexandra Lesperance,9.6250,,,9.4500
Southern Conn.,2020,6,no meet title,Feb-09-2020,Brown,Keara Loughlin,,,9.5750,
Southern Conn.,2020,6,no meet title,Feb-09-2020,Brown,Noely Macias,,9.4750,,9.7500
Southern Conn.,2020,6,no meet title,Feb-09-2020,Brown,Jordan Peloquin,,,9.7000,
Southern Conn.,2020,6,no meet title,Feb-09-2020,Brown,Hannah Stahlbrodt,9.6000,9.6500,9.7250,9.7250
Southern Conn.,2020,6,no meet title,Feb-09-2020,Brown,Jenna Zakala,9.4750,,,
Southern Conn.,2020,7,Unite for Her,Feb-21-2020,,Isabella Antonangeli,9.2000,,,
Southern Conn.,2020,7,Unite for Her,Feb-21-2020,,Keylea Brothers,,9.4250,,9.6000
Southern Conn.,2020,7,Unite for Her,Feb-21-2020,,Morgan Gatewood,,,9.5250,
Southern Conn.,2020,7,Unite for Her,Feb-21-2020,,Cassidy Girolamo,9.7000,9.1250,9.4500,9.5000
Southern Conn.,2020,7,Unite for Her,Feb-21-2020,,Jacqueline Kutcher,9.3000,8.6500,9.5500,
Southern Conn.,2020,7,Unite for Her,Feb-21-2020,,Alexandra Lesperance,9.7500,8.6500,,9.6250
Southern Conn.,2020,7,Unite for Her,Feb-21-2020,,Keara Loughlin,,,9.7000,
Southern Conn.,2020,7,Unite for Her,Feb-21-2020,,Noely Macias,,9.4000,,9.7250
Southern Conn.,2020,7,Unite for Her,Feb-21-2020,,Jordan Peloquin,,,9.7250,9.7500
Southern Conn.,2020,7,Unite for Her,Feb-21-2020,,Hannah Stahlbrodt,9.7250,9.1750,9.7500,9.7750
Southern Conn.,2020,7,Unite for Her,Feb-21-2020,,Jenna Zakala,9.2750,,,
Southern Conn.,2020,8,no meet title,Feb-29-2020,Southern Conn.,Keylea Brothers,,8.3500,,9.6250
Southern Conn.,2020,8,no meet title,Feb-29-2020,Southern Conn.,Morgan Gatewood,,,9.7250,
Southern Conn.,2020,8,no meet title,Feb-29-2020,Southern Conn.,Cassidy Girolamo,9.6000,9.4000,,9.6750
Southern Conn.,2020,8,no meet title,Feb-29-2020,Southern Conn.,Jacqueline Kutcher,9.3500,9.6500,9.4500,
Southern Conn.,2020,8,no meet title,Feb-29-2020,Southern Conn.,Bianca Leon,,9.7500,9.8250,
Southern Conn.,2020,8,no meet title,Feb-29-2020,Southern Conn.,Alexandra Lesperance,9.5500,,,9.7250
Southern Conn.,2020,8,no meet title,Feb-29-2020,Southern Conn.,Keara Loughlin,,,9.7000,
Southern Conn.,2020,8,no meet title,Feb-29-2020,Southern Conn.,Noely Macias,,8.8000,,9.6500
Southern Conn.,2020,8,no meet title,Feb-29-2020,Southern Conn.,Jordan Peloquin,8.8500,,9.7500,9.7750
Southern Conn.,2020,8,no meet title,Feb-29-2020,Southern Conn.,Hannah Stahlbrodt,9.6500,9.8750,9.7250,9.8250
