team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Southern Utah,2019,1,no meet title,Jan-07-2019,Southern Utah,Morgan Alfaro,9.8000,,,
Southern Utah,2019,1,no meet title,Jan-07-2019,Southern Utah,Kamryn  Bayer,,,9.7000,
Southern Utah,2019,1,no meet title,Jan-07-2019,Southern Utah,Jiang Braley,9.6750,,,8.8500
Southern Utah,2019,1,no meet title,Jan-07-2019,Southern Utah,Karen Gonzalez,,9.7250,9.6000,9.7750
Southern Utah,2019,1,no meet title,Jan-07-2019,Southern Utah,Autumn Jorgensen,,9.7000,,
Southern Utah,2019,1,no meet title,Jan-07-2019,Southern Utah,Molly Jozwiakowski,9.7250,,,9.7750
Southern Utah,2019,1,no meet title,Jan-07-2019,Southern Utah,Caitlin Kho,9.2500,,,9.6000
Southern Utah,2019,1,no meet title,Jan-07-2019,Southern Utah,Alyssa LaDieu,,,9.7000,
Southern Utah,2019,1,no meet title,Jan-07-2019,Southern Utah,Karley McClain,9.7750,9.6750,9.7500,9.7000
Southern Utah,2019,1,no meet title,Jan-07-2019,Southern Utah,Shylen Murakami,,9.2000,9.6500,
Southern Utah,2019,1,no meet title,Jan-07-2019,Southern Utah,Hannah Nipp,,9.6000,9.9000,9.6250
Southern Utah,2019,1,no meet title,Jan-07-2019,Southern Utah,Becky Rozsa-Thompson,,9.0750,,
Southern Utah,2019,1,no meet title,Jan-07-2019,Southern Utah,Rachel Smith,9.7500,,,
Southern Utah,2019,2,no meet title,Jan-18-2019,Southern Utah,Morgan Alfaro,9.8000,,,
Southern Utah,2019,2,no meet title,Jan-18-2019,Southern Utah,Kamryn  Bayer,,,9.7500,
Southern Utah,2019,2,no meet title,Jan-18-2019,Southern Utah,Karen Gonzalez,,9.7500,9.8000,9.4750
Southern Utah,2019,2,no meet title,Jan-18-2019,Southern Utah,Autumn Jorgensen,,9.7750,,
Southern Utah,2019,2,no meet title,Jan-18-2019,Southern Utah,Molly Jozwiakowski,9.7250,,,9.8250
Southern Utah,2019,2,no meet title,Jan-18-2019,Southern Utah,Caitlin Kho,9.7750,,,8.8500
Southern Utah,2019,2,no meet title,Jan-18-2019,Southern Utah,Alyssa LaDieu,,,9.7250,
Southern Utah,2019,2,no meet title,Jan-18-2019,Southern Utah,Madison McBride,,,,9.6500
Southern Utah,2019,2,no meet title,Jan-18-2019,Southern Utah,Karley McClain,9.7250,9.7750,9.7750,9.8500
Southern Utah,2019,2,no meet title,Jan-18-2019,Southern Utah,Shylen Murakami,,9.8750,,
Southern Utah,2019,2,no meet title,Jan-18-2019,Southern Utah,Hannah Nipp,,9.7250,9.8750,8.1000
Southern Utah,2019,2,no meet title,Jan-18-2019,Southern Utah,Becky Rozsa-Thompson,,9.7250,,
Southern Utah,2019,2,no meet title,Jan-18-2019,Southern Utah,Rachel Smith,9.7500,,,
Southern Utah,2019,2,no meet title,Jan-18-2019,Southern Utah,Stephanie Tervort,9.8000,,,
Southern Utah,2019,2,no meet title,Jan-18-2019,Southern Utah,Emma Wissman,,,8.4750,
Southern Utah,2019,3,no meet title,Jan-25-2019,Boise State,Morgan Alfaro,9.8250,,,
Southern Utah,2019,3,no meet title,Jan-25-2019,Boise State,Kamryn  Bayer,,,9.0250,
Southern Utah,2019,3,no meet title,Jan-25-2019,Boise State,Jiang Braley,,,,9.8250
Southern Utah,2019,3,no meet title,Jan-25-2019,Boise State,Karen Gonzalez,,,9.5000,9.8000
Southern Utah,2019,3,no meet title,Jan-25-2019,Boise State,Autumn Jorgensen,,9.6750,,
Southern Utah,2019,3,no meet title,Jan-25-2019,Boise State,Molly Jozwiakowski,9.7750,,,9.8500
Southern Utah,2019,3,no meet title,Jan-25-2019,Boise State,Caitlin Kho,9.8000,,,9.8250
Southern Utah,2019,3,no meet title,Jan-25-2019,Boise State,Alyssa LaDieu,,,9.7750,
Southern Utah,2019,3,no meet title,Jan-25-2019,Boise State,Madison McBride,,,,9.8000
Southern Utah,2019,3,no meet title,Jan-25-2019,Boise State,Karley McClain,9.7750,9.7000,9.5250,9.8500
Southern Utah,2019,3,no meet title,Jan-25-2019,Boise State,Shylen Murakami,,9.8250,9.8500,
Southern Utah,2019,3,no meet title,Jan-25-2019,Boise State,Hannah Nipp,,9.7500,9.8750,
Southern Utah,2019,3,no meet title,Jan-25-2019,Boise State,Becky Rozsa-Thompson,,9.8000,,
Southern Utah,2019,3,no meet title,Jan-25-2019,Boise State,Rachel Smith,9.5000,,,
Southern Utah,2019,3,no meet title,Jan-25-2019,Boise State,Stephanie Tervort,9.8500,9.7500,,
