team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Springfield College,2019,1,no meet title,Jan-12-2019,Rhode Island College,Alana Calabrese,,8.8000,,
Springfield College,2019,1,no meet title,Jan-12-2019,Rhode Island College,Taylor Campagnone,,8.5500,9.1000,8.9500
Springfield College,2019,1,no meet title,Jan-12-2019,Rhode Island College,Jessica Clemens,9.2500,9.5750,8.3500,9.5250
Springfield College,2019,1,no meet title,Jan-12-2019,Rhode Island College,Sara Fisher,9.2000,,,
Springfield College,2019,1,no meet title,Jan-12-2019,Rhode Island College,Victoria Gendreau,,,,9.4500
Springfield College,2019,1,no meet title,Jan-12-2019,Rhode Island College,Heather Gomes,9.3250,,7.7500,
Springfield College,2019,1,no meet title,Jan-12-2019,Rhode Island College,Taylor Jackson,8.9500,8.2000,,
Springfield College,2019,1,no meet title,Jan-12-2019,Rhode Island College,Leah Jewett,,,9.1000,
Springfield College,2019,1,no meet title,Jan-12-2019,Rhode Island College,Lena Morant,,8.9500,,
Springfield College,2019,1,no meet title,Jan-12-2019,Rhode Island College,Sarah Murphy,,8.6500,9.0250,
Springfield College,2019,1,no meet title,Jan-12-2019,Rhode Island College,Ali Rushlow,9.4500,,9.0500,9.6750
Springfield College,2019,1,no meet title,Jan-12-2019,Rhode Island College,Tabitha Schwab,,,,8.6750
Springfield College,2019,1,no meet title,Jan-12-2019,Rhode Island College,Tali Twomey,9.5000,,,9.8250
Springfield College,2019,2,no meet title,Jan-27-2019,Springfield College,Alana Calabrese,,9.0250,8.6000,
Springfield College,2019,2,no meet title,Jan-27-2019,Springfield College,Taylor Campagnone,,9.1500,9.5000,9.5000
Springfield College,2019,2,no meet title,Jan-27-2019,Springfield College,Jessica Clemens,9.5250,9.4750,9.3500,9.3500
Springfield College,2019,2,no meet title,Jan-27-2019,Springfield College,Victoria Gendreau,,,,8.9250
Springfield College,2019,2,no meet title,Jan-27-2019,Springfield College,Heather Gomes,9.4500,,9.3750,
Springfield College,2019,2,no meet title,Jan-27-2019,Springfield College,Taylor Jackson,9.4750,9.1750,,
Springfield College,2019,2,no meet title,Jan-27-2019,Springfield College,Leah Jewett,,,8.6500,
Springfield College,2019,2,no meet title,Jan-27-2019,Springfield College,Kaitlyn Lindsay,9.1250,,,
Springfield College,2019,2,no meet title,Jan-27-2019,Springfield College,Lena Morant,,9.1750,,
Springfield College,2019,2,no meet title,Jan-27-2019,Springfield College,Sarah Murphy,,8.9000,9.5750,
Springfield College,2019,2,no meet title,Jan-27-2019,Springfield College,Ali Rushlow,9.4000,,,9.3000
Springfield College,2019,2,no meet title,Jan-27-2019,Springfield College,Tabitha Schwab,,,,8.9000
Springfield College,2019,2,no meet title,Jan-27-2019,Springfield College,Tali Twomey,9.5000,,,9.6250
Springfield College,2019,3,Don Tonry Invitational,Feb-02-2019,Yale,Alana Calabrese,,9.1250,,
Springfield College,2019,3,Don Tonry Invitational,Feb-02-2019,Yale,Taylor Campagnone,,9.2000,9.5750,9.5000
Springfield College,2019,3,Don Tonry Invitational,Feb-02-2019,Yale,Jessica Clemens,9.4000,9.8000,9.6250,9.4750
Springfield College,2019,3,Don Tonry Invitational,Feb-02-2019,Yale,Victoria Gendreau,,,,8.8500
Springfield College,2019,3,Don Tonry Invitational,Feb-02-2019,Yale,Heather Gomes,9.5000,,9.5250,
