team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Stanford,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Melissa Chuang,9.5000,,9.7750,
Stanford,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Taryn Fitzgerald,9.7500,,,9.6500
Stanford,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Jenna Frowein,,,,9.6000
Stanford,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Nicole Hoffman,,,,9.4250
Stanford,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Ivana Hong,,9.8500,9.3000,
Stanford,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Dare Maxwell,,9.6750,,
Stanford,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Nicolette McNair,9.8000,9.8750,9.8000,
Stanford,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Danielle McNair,9.7000,,,
Stanford,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Elizabeth Price,9.8500,9.9000,9.8500,9.9000
Stanford,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Taylor Rice,9.5750,9.8500,9.7750,9.1500
Stanford,2016,1,NorCal Invitational,Jan-10-2016,San Jose State,Haley Spector,,,9.3750,9.8250
Stanford,2016,2,no meet title,Jan-18-2016,Georgia,Melissa Chuang,9.6250,,9.9000,9.7500
Stanford,2016,2,no meet title,Jan-18-2016,Georgia,Taryn Fitzgerald,9.5250,,9.7750,9.7250
Stanford,2016,2,no meet title,Jan-18-2016,Georgia,Jenna Frowein,,,,9.7000
Stanford,2016,2,no meet title,Jan-18-2016,Georgia,Ivana Hong,,9.7750,9.9000,
Stanford,2016,2,no meet title,Jan-18-2016,Georgia,Dare Maxwell,,9.0000,,
Stanford,2016,2,no meet title,Jan-18-2016,Georgia,Nicolette McNair,9.8000,9.8000,9.7250,
Stanford,2016,2,no meet title,Jan-18-2016,Georgia,Danielle McNair,9.7750,9.7250,,
Stanford,2016,2,no meet title,Jan-18-2016,Georgia,Elizabeth Price,9.8750,9.9000,9.7750,9.8750
