team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Temple,2015,1,no meet title,Jan-09-2015,Eastern Michigan,Alexis Arena,,,9.7500,
Temple,2015,1,no meet title,Jan-09-2015,Eastern Michigan,Kerry Arone,,9.0000,8.5500,9.3750
Temple,2015,1,no meet title,Jan-09-2015,Eastern Michigan,Lauren Capone,9.6750,8.9500,9.7250,9.7250
Temple,2015,1,no meet title,Jan-09-2015,Eastern Michigan,Brittanie DeMeno,9.4250,9.1500,,
Temple,2015,1,no meet title,Jan-09-2015,Eastern Michigan,Jasmine Johnson,9.0250,,,9.0500
Temple,2015,1,no meet title,Jan-09-2015,Eastern Michigan,Michaela Lapent,9.5500,,,9.4250
Temple,2015,1,no meet title,Jan-09-2015,Eastern Michigan,Briana Odom,,8.8000,9.6000,
Temple,2015,1,no meet title,Jan-09-2015,Eastern Michigan,Mikaela Postlethwait,,,9.5500,9.5000
Temple,2015,1,no meet title,Jan-09-2015,Eastern Michigan,Taylor Rakus,,8.4000,9.6000,
Temple,2015,1,no meet title,Jan-09-2015,Eastern Michigan,Victoria Reggiani,9.5250,7.0500,,8.8000
Temple,2015,1,no meet title,Jan-09-2015,Eastern Michigan,Gina Tucker,9.4250,,,
Temple,2015,2,Lindsey Ferris Invitational,Jan-18-2015,George Washington,Alexis Arena,,,9.7000,
Temple,2015,2,Lindsey Ferris Invitational,Jan-18-2015,George Washington,Kerry Arone,,9.6500,,9.4750
Temple,2015,2,Lindsey Ferris Invitational,Jan-18-2015,George Washington,Lauren Capone,9.2000,9.4500,9.0500,9.7000
Temple,2015,2,Lindsey Ferris Invitational,Jan-18-2015,George Washington,Jasmine Johnson,9.7000,,,9.7500
Temple,2015,2,Lindsey Ferris Invitational,Jan-18-2015,George Washington,Michaela Lapent,8.9750,8.2000,9.0000,8.8500
Temple,2015,2,Lindsey Ferris Invitational,Jan-18-2015,George Washington,Briana Odom,,9.3750,9.5000,
Temple,2015,2,Lindsey Ferris Invitational,Jan-18-2015,George Washington,Hannah Popper,,8.2500,,
Temple,2015,2,Lindsey Ferris Invitational,Jan-18-2015,George Washington,Mikaela Postlethwait,9.5000,,8.9000,8.6000
Temple,2015,2,Lindsey Ferris Invitational,Jan-18-2015,George Washington,Taylor Rakus,,,8.9000,
Temple,2015,2,Lindsey Ferris Invitational,Jan-18-2015,George Washington,Victoria Reggiani,9.5500,9.3750,,
Temple,2015,2,Lindsey Ferris Invitational,Jan-18-2015,George Washington,Stephanie Verry,9.6000,,,9.7000
Temple,2015,3,no meet title,Jan-24-2015,Temple,Alexis Arena,,8.4000,9.7250,
Temple,2015,3,no meet title,Jan-24-2015,Temple,Lauren Capone,9.7000,9.6750,9.5000,9.1500
Temple,2015,3,no meet title,Jan-24-2015,Temple,Jasmine Johnson,9.6750,,,9.8000
Temple,2015,3,no meet title,Jan-24-2015,Temple,Michaela Lapent,,9.7500,9.6750,9.0500
Temple,2015,3,no meet title,Jan-24-2015,Temple,Briana Odom,9.5000,8.8000,9.6000,
