team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Texas Woman's,2015,1,no meet title,Jan-10-2015,Centenary College,Courtney Cochefski,,9.8000,,
Texas Woman's,2015,1,no meet title,Jan-10-2015,Centenary College,Tessa Jaranowski,,8.7000,,8.8750
Texas Woman's,2015,1,no meet title,Jan-10-2015,Centenary College,Spencer Jones,9.0000,9.6000,9.7000,9.6500
Texas Woman's,2015,1,no meet title,Jan-10-2015,Centenary College,Kayla Jones,9.6250,,9.6250,
Texas Woman's,2015,1,no meet title,Jan-10-2015,Centenary College,Schyler Jones,9.4750,8.9000,9.6750,9.4500
Texas Woman's,2015,1,no meet title,Jan-10-2015,Centenary College,Madison Kremer,,,,9.2000
Texas Woman's,2015,1,no meet title,Jan-10-2015,Centenary College,Brandi Lazarus,9.5000,,,
Texas Woman's,2015,1,no meet title,Jan-10-2015,Centenary College,Mallory Moredock,9.6000,,9.5750,8.7000
Texas Woman's,2015,1,no meet title,Jan-10-2015,Centenary College,Stephanie Repp,9.4000,9.5500,9.6500,9.1500
Texas Woman's,2015,1,no meet title,Jan-10-2015,Centenary College,Katie Simpson,,9.7500,9.4000,
Texas Woman's,2015,2,no meet title,Jan-23-2015,Oklahoma,Courtney Cochefski,,9.7500,,
Texas Woman's,2015,2,no meet title,Jan-23-2015,Oklahoma,Kayla Jones,9.8000,,8.9500,
Texas Woman's,2015,2,no meet title,Jan-23-2015,Oklahoma,Schyler Jones,9.6000,9.6250,9.6750,8.9500
Texas Woman's,2015,2,no meet title,Jan-23-2015,Oklahoma,Spencer Jones,,,8.5250,9.8000
Texas Woman's,2015,2,no meet title,Jan-23-2015,Oklahoma,Madison Kremer,,,,9.3500
Texas Woman's,2015,2,no meet title,Jan-23-2015,Oklahoma,Brandi Lazarus,9.6000,,,9.4250
Texas Woman's,2015,2,no meet title,Jan-23-2015,Oklahoma,Mallory Moredock,9.6500,9.3000,8.9500,9.4500
Texas Woman's,2015,2,no meet title,Jan-23-2015,Oklahoma,Stephanie Repp,9.6500,9.6500,9.6750,9.7750
Texas Woman's,2015,2,no meet title,Jan-23-2015,Oklahoma,Katie Simpson,9.7000,9.7250,8.8500,
Texas Woman's,2015,2,no meet title,Jan-23-2015,Oklahoma,Abigail Versemann,,9.0500,,
Texas Woman's,2015,3,no meet title,Jan-25-2015,Texas Woman's,Courtney Cochefski,,9.9000,,
Texas Woman's,2015,3,no meet title,Jan-25-2015,Texas Woman's,Kayla Jones,9.7750,,9.1250,
Texas Woman's,2015,3,no meet title,Jan-25-2015,Texas Woman's,Schyler Jones,9.6250,9.7000,9.8000,9.5500
Texas Woman's,2015,3,no meet title,Jan-25-2015,Texas Woman's,Spencer Jones,,9.7750,9.8500,9.8750
Texas Woman's,2015,3,no meet title,Jan-25-2015,Texas Woman's,Madison Kremer,,,,8.9000
Texas Woman's,2015,3,no meet title,Jan-25-2015,Texas Woman's,Brandi Lazarus,9.6000,,,9.6000
Texas Woman's,2015,3,no meet title,Jan-25-2015,Texas Woman's,Mallory Moredock,9.6500,,8.4500,9.7750
Texas Woman's,2015,3,no meet title,Jan-25-2015,Texas Woman's,Stephanie Repp,9.5250,9.7250,9.7500,9.8250
Texas Woman's,2015,3,no meet title,Jan-25-2015,Texas Woman's,Katie Simpson,9.2000,9.8500,9.0000,
Texas Woman's,2015,3,no meet title,Jan-25-2015,Texas Woman's,Abigail Versemann,,9.1250,,
Texas Woman's,2015,4,no meet title,Feb-01-2015,Texas Woman's,Courtney Cochefski,,9.8500,,
Texas Woman's,2015,4,no meet title,Feb-01-2015,Texas Woman's,Kayla Jones,9.8250,,9.2000,
Texas Woman's,2015,4,no meet title,Feb-01-2015,Texas Woman's,Schyler Jones,,9.6500,9.7500,
