team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Towson,2016,1,no meet title,Jan-10-2016,Pittsburgh,Mary Elle Arduino,,9.7000,9.7000,9.6500
Towson,2016,1,no meet title,Jan-10-2016,Pittsburgh,Cortni Baker,9.5750,9.4000,,
Towson,2016,1,no meet title,Jan-10-2016,Pittsburgh,Lauren Calahan,9.5250,,9.6250,9.4250
Towson,2016,1,no meet title,Jan-10-2016,Pittsburgh,Noelle Harada,9.5750,9.7000,,9.6000
Towson,2016,1,no meet title,Jan-10-2016,Pittsburgh,Katie McGrady,9.4250,9.6500,9.1000,9.6500
Towson,2016,1,no meet title,Jan-10-2016,Pittsburgh,Tyra McKellar,9.6750,9.7500,9.1000,9.7500
Towson,2016,1,no meet title,Jan-10-2016,Pittsburgh,Aysia Sharif,,,,9.7500
Towson,2016,1,no meet title,Jan-10-2016,Pittsburgh,Bridget Steffen,,9.6000,9.7750,
Towson,2016,1,no meet title,Jan-10-2016,Pittsburgh,Gabriella Yarussi,9.6000,,9.8250,
Towson,2016,2,no meet title,Jan-17-2016,Ball State,Mary Elle Arduino,9.4750,9.3750,9.8000,9.4250
Towson,2016,2,no meet title,Jan-17-2016,Ball State,Cortni Baker,9.6000,9.1000,,
Towson,2016,2,no meet title,Jan-17-2016,Ball State,Lauren Calahan,9.5250,,9.7250,9.4250
Towson,2016,2,no meet title,Jan-17-2016,Ball State,Noelle Harada,9.6750,9.6500,9.6750,9.6500
Towson,2016,2,no meet title,Jan-17-2016,Ball State,Katie McGrady,,9.5250,,9.6500
Towson,2016,2,no meet title,Jan-17-2016,Ball State,Tyra McKellar,9.5250,9.8250,9.7500,9.6000
Towson,2016,2,no meet title,Jan-17-2016,Ball State,Amanda Pratt,,,,9.5500
Towson,2016,2,no meet title,Jan-17-2016,Ball State,Bridget Steffen,,9.7000,9.5250,
Towson,2016,2,no meet title,Jan-17-2016,Ball State,Gabriella Yarussi,9.5750,,9.7500,
Towson,2016,3,no meet title,Jan-30-2016,Michigan State,Mary Elle Arduino,9.7000,8.9000,9.7000,
Towson,2016,3,no meet title,Jan-30-2016,Michigan State,Cortni Baker,9.7000,9.4250,,9.6750
Towson,2016,3,no meet title,Jan-30-2016,Michigan State,Lauren Calahan,,,9.8000,9.6000
Towson,2016,3,no meet title,Jan-30-2016,Michigan State,Noelle Harada,9.7000,9.7000,9.0500,9.7750
Towson,2016,3,no meet title,Jan-30-2016,Michigan State,Tyra McKellar,9.7000,9.8500,9.8500,9.8250
Towson,2016,3,no meet title,Jan-30-2016,Michigan State,Amanda Pratt,,,,9.3750
Towson,2016,3,no meet title,Jan-30-2016,Michigan State,Brittney Ranti,,9.6250,,
Towson,2016,3,no meet title,Jan-30-2016,Michigan State,Aysia Sharif,9.6750,,,9.7500
Towson,2016,3,no meet title,Jan-30-2016,Michigan State,Bridget Steffen,,9.6750,9.8000,
Towson,2016,3,no meet title,Jan-30-2016,Michigan State,Gabriella Yarussi,9.5750,,9.2750,
Towson,2016,4,no meet title,Feb-07-2016,New Hampshire,Mary Elle Arduino,9.6750,9.6750,9.8750,
Towson,2016,4,no meet title,Feb-07-2016,New Hampshire,Cortni Baker,9.6500,,,9.8000
Towson,2016,4,no meet title,Feb-07-2016,New Hampshire,Lauren Calahan,,,9.7500,9.6750
Towson,2016,4,no meet title,Feb-07-2016,New Hampshire,Noelle Harada,9.6000,9.7750,9.0000,9.6750
Towson,2016,4,no meet title,Feb-07-2016,New Hampshire,Katie McGrady,,9.7250,,9.5250
Towson,2016,4,no meet title,Feb-07-2016,New Hampshire,Tyra McKellar,9.6750,9.8750,9.7750,9.7250
Towson,2016,4,no meet title,Feb-07-2016,New Hampshire,Brittney Ranti,,8.7500,,
Towson,2016,4,no meet title,Feb-07-2016,New Hampshire,Aysia Sharif,9.6500,,,9.7750
Towson,2016,4,no meet title,Feb-07-2016,New Hampshire,Bridget Steffen,,9.6250,9.7000,
