team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UC Davis,2024,1,no meet title,Jan-07-2024,UC Davis,Keanna Abraham,9.8250,,9.6250,9.9000
UC Davis,2024,1,no meet title,Jan-07-2024,UC Davis,Anna Holtan,,,,9.7750
UC Davis,2024,1,no meet title,Jan-07-2024,UC Davis,Marisa Laird,,7.4000,,
UC Davis,2024,1,no meet title,Jan-07-2024,UC Davis,Amelia Moneymaker,9.7250,9.8750,9.7500,9.8750
UC Davis,2024,1,no meet title,Jan-07-2024,UC Davis,Ayumi Oshiro,9.5250,9.7250,9.7250,
UC Davis,2024,1,no meet title,Jan-07-2024,UC Davis,Emma Otsu,9.8250,9.5250,9.8250,9.8000
UC Davis,2024,1,no meet title,Jan-07-2024,UC Davis,Megan Ray,9.6750,,9.6500,9.8750
UC Davis,2024,1,no meet title,Jan-07-2024,UC Davis,Ava Scafani,,9.8000,9.0750,
UC Davis,2024,1,no meet title,Jan-07-2024,UC Davis,Nandhini Senthil,,,,9.7250
UC Davis,2024,1,no meet title,Jan-07-2024,UC Davis,Jadyn Wakita,9.5000,9.5750,,
UC Davis,2024,2,no meet title,Jan-19-2024,Alaska,Keanna Abraham,9.8500,,9.8750,9.8500
UC Davis,2024,2,no meet title,Jan-19-2024,Alaska,Isabella Fitz-Gerald,,9.7250,,
UC Davis,2024,2,no meet title,Jan-19-2024,Alaska,Anna Holtan,,,9.8000,9.7500
UC Davis,2024,2,no meet title,Jan-19-2024,Alaska,Amelia Moneymaker,9.6750,9.8500,9.8250,9.6750
UC Davis,2024,2,no meet title,Jan-19-2024,Alaska,Ayumi Oshiro,9.5250,9.8250,9.6500,
UC Davis,2024,2,no meet title,Jan-19-2024,Alaska,Emma Otsu,9.7250,9.8250,9.7500,9.7000
UC Davis,2024,2,no meet title,Jan-19-2024,Alaska,Megan Ray,9.7250,,,9.8000
UC Davis,2024,2,no meet title,Jan-19-2024,Alaska,Ava Scafani,,9.7250,9.6500,
UC Davis,2024,2,no meet title,Jan-19-2024,Alaska,Nandhini Senthil,,,,8.8000
