team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UCLA,2016,1,no meet title,Jan-10-2016,UCLA,Sadiqua Bynum,9.7000,,,9.9500
UCLA,2016,1,no meet title,Jan-10-2016,UCLA,Angi Cipra,9.8500,,,9.9250
UCLA,2016,1,no meet title,Jan-10-2016,UCLA,Sophina DeJesus,,9.7500,9.8500,
UCLA,2016,1,no meet title,Jan-10-2016,UCLA,Danusia Francis,,9.8250,9.9500,9.5750
UCLA,2016,1,no meet title,Jan-10-2016,UCLA,Mikaela Gerber,,,9.7750,
UCLA,2016,1,no meet title,Jan-10-2016,UCLA,Napualani Hall,9.7750,,,9.8000
UCLA,2016,1,no meet title,Jan-10-2016,UCLA,JaNay Honest,9.8000,9.7750,,
UCLA,2016,1,no meet title,Jan-10-2016,UCLA,Peng-Peng  Lee,,,9.9500,
UCLA,2016,1,no meet title,Jan-10-2016,UCLA,Sonya Meraz,,9.7000,9.8500,
UCLA,2016,1,no meet title,Jan-10-2016,UCLA,Melissa Metcalf,,9.7250,,
UCLA,2016,1,no meet title,Jan-10-2016,UCLA,Hallie Mossett,,,,9.9500
UCLA,2016,1,no meet title,Jan-10-2016,UCLA,Katelyn  Ohashi,9.7000,9.2750,9.8000,9.8500
UCLA,2016,1,no meet title,Jan-10-2016,UCLA,Madison Preston,9.7750,,,
UCLA,2016,2,no meet title,Jan-15-2016,Florida,Sadiqua Bynum,9.8250,,,9.9000
UCLA,2016,2,no meet title,Jan-15-2016,Florida,Angi Cipra,9.7750,,,9.9000
UCLA,2016,2,no meet title,Jan-15-2016,Florida,Sophina DeJesus,,9.9250,9.7000,
UCLA,2016,2,no meet title,Jan-15-2016,Florida,Danusia Francis,,9.8250,9.9500,9.8750
UCLA,2016,2,no meet title,Jan-15-2016,Florida,Mikaela Gerber,,,9.8500,
UCLA,2016,2,no meet title,Jan-15-2016,Florida,Napualani Hall,9.9000,,,9.8000
UCLA,2016,2,no meet title,Jan-15-2016,Florida,JaNay Honest,9.8000,9.8500,,
UCLA,2016,2,no meet title,Jan-15-2016,Florida,Peng-Peng  Lee,,,9.2750,
UCLA,2016,2,no meet title,Jan-15-2016,Florida,Sonya Meraz,9.7500,9.8000,9.7750,
