team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UIC,2017,1,no meet title,Jan-06-2017,Michigan State,Toni Alicke,9.6500,,9.1500,9.6500
UIC,2017,1,no meet title,Jan-06-2017,Michigan State,Serena Baker,,9.6250,,
UIC,2017,1,no meet title,Jan-06-2017,Michigan State,Allison Broad,9.5250,,,9.4000
UIC,2017,1,no meet title,Jan-06-2017,Michigan State,Abby Hasanov,,,9.5000,9.6750
UIC,2017,1,no meet title,Jan-06-2017,Michigan State,Daniela Maciel,,,9.1250,8.9750
UIC,2017,1,no meet title,Jan-06-2017,Michigan State,Riley Mahoney,9.5250,,,
UIC,2017,1,no meet title,Jan-06-2017,Michigan State,Mikailla Northern,9.7250,9.5750,9.7500,9.6250
UIC,2017,1,no meet title,Jan-06-2017,Michigan State,Maddie Nowak,,9.2500,,
UIC,2017,1,no meet title,Jan-06-2017,Michigan State,Katie Snyder,,9.5750,,
UIC,2017,1,no meet title,Jan-06-2017,Michigan State,Jenna Squillo,9.1000,9.6250,9.6500,
UIC,2017,1,no meet title,Jan-06-2017,Michigan State,Nicole Szabo,,8.9000,,
UIC,2017,1,no meet title,Jan-06-2017,Michigan State,Nikki Woodruff,9.6750,,9.6500,9.6750
UIC,2017,2,no meet title,Jan-14-2017,Illinois,Toni Alicke,9.4500,,8.9000,9.5750
UIC,2017,2,no meet title,Jan-14-2017,Illinois,Allison Broad,9.2750,,,
UIC,2017,2,no meet title,Jan-14-2017,Illinois,Riley Cholod,,9.0500,,
UIC,2017,2,no meet title,Jan-14-2017,Illinois,Abby Hasanov,,,9.4250,8.5500
UIC,2017,2,no meet title,Jan-14-2017,Illinois,Daniela Maciel,,,9.5500,9.5750
UIC,2017,2,no meet title,Jan-14-2017,Illinois,Riley Mahoney,9.4250,,8.8000,
UIC,2017,2,no meet title,Jan-14-2017,Illinois,Mikailla Northern,9.7000,9.6750,9.7000,9.7750
UIC,2017,2,no meet title,Jan-14-2017,Illinois,Amelia Rafferty,,,,9.6250
UIC,2017,2,no meet title,Jan-14-2017,Illinois,Katie Snyder,,9.5250,,
UIC,2017,2,no meet title,Jan-14-2017,Illinois,Jenna Squillo,9.3250,9.7000,9.4250,
UIC,2017,2,no meet title,Jan-14-2017,Illinois,Nicole Szabo,,9.7750,,
UIC,2017,2,no meet title,Jan-14-2017,Illinois,Nikki Woodruff,9.6250,9.5250,,9.5750
UIC,2017,3,no meet title,Jan-20-2017,Utah,Toni Alicke,9.6250,,9.7500,9.6000
UIC,2017,3,no meet title,Jan-20-2017,Utah,Serena Baker,,9.7000,,
UIC,2017,3,no meet title,Jan-20-2017,Utah,Allison Broad,9.3250,,,
UIC,2017,3,no meet title,Jan-20-2017,Utah,Riley Cholod,,9.8000,,
UIC,2017,3,no meet title,Jan-20-2017,Utah,Abby Hasanov,,,9.6000,9.5750
UIC,2017,3,no meet title,Jan-20-2017,Utah,Daniela Maciel,,,9.6250,9.6750
UIC,2017,3,no meet title,Jan-20-2017,Utah,Riley Mahoney,9.5250,,9.0000,
UIC,2017,3,no meet title,Jan-20-2017,Utah,Mikailla Northern,9.7250,9.6750,9.7750,9.7250
UIC,2017,3,no meet title,Jan-20-2017,Utah,Amelia Rafferty,,,,9.6500
UIC,2017,3,no meet title,Jan-20-2017,Utah,Katie Snyder,,9.7250,,
UIC,2017,3,no meet title,Jan-20-2017,Utah,Jenna Squillo,9.0500,9.7250,9.7250,
UIC,2017,3,no meet title,Jan-20-2017,Utah,Nicole Szabo,,9.7000,,
UIC,2017,3,no meet title,Jan-20-2017,Utah,Nikki Woodruff,9.7000,,,9.5750
UIC,2017,4,no meet title,Jan-29-2017,Illinois State,Toni Alicke,9.5000,,9.7250,9.7000
UIC,2017,4,no meet title,Jan-29-2017,Illinois State,Serena Baker,,9.6750,,
UIC,2017,4,no meet title,Jan-29-2017,Illinois State,Allison Broad,,,,9.5000
UIC,2017,4,no meet title,Jan-29-2017,Illinois State,Riley Cholod,,9.8500,,
UIC,2017,4,no meet title,Jan-29-2017,Illinois State,Abby Hasanov,,,9.5500,9.6500
UIC,2017,4,no meet title,Jan-29-2017,Illinois State,Daniela Maciel,,,9.2250,8.9500
UIC,2017,4,no meet title,Jan-29-2017,Illinois State,Riley Mahoney,9.6250,,8.7000,
UIC,2017,4,no meet title,Jan-29-2017,Illinois State,Mikailla Northern,9.6500,9.6250,9.7000,9.5750
UIC,2017,4,no meet title,Jan-29-2017,Illinois State,Katie Snyder,9.4750,9.7000,,
UIC,2017,4,no meet title,Jan-29-2017,Illinois State,Jenna Squillo,9.7000,9.7000,9.6000,
UIC,2017,4,no meet title,Jan-29-2017,Illinois State,Nicole Szabo,,9.3500,,
UIC,2017,4,no meet title,Jan-29-2017,Illinois State,Nikki Woodruff,9.6250,,,9.5500
UIC,2017,5,no meet title,Feb-05-2017,UIC,Toni Alicke,9.6750,,9.1500,9.5500
UIC,2017,5,no meet title,Feb-05-2017,UIC,Serena Baker,,9.7500,,
UIC,2017,5,no meet title,Feb-05-2017,UIC,Allison Broad,9.6000,,,8.5500
UIC,2017,5,no meet title,Feb-05-2017,UIC,Riley Cholod,,9.7500,,
UIC,2017,5,no meet title,Feb-05-2017,UIC,Abby Hasanov,,,9.5250,9.7000
UIC,2017,5,no meet title,Feb-05-2017,UIC,Daniela Maciel,,,9.6250,9.7500
UIC,2017,5,no meet title,Feb-05-2017,UIC,Riley Mahoney,9.7250,,,
UIC,2017,5,no meet title,Feb-05-2017,UIC,Mikailla Northern,9.8250,9.8250,9.5750,9.2000
UIC,2017,5,no meet title,Feb-05-2017,UIC,Katie Snyder,,9.8250,,
UIC,2017,5,no meet title,Feb-05-2017,UIC,Jenna Squillo,9.5250,9.7500,9.7500,
UIC,2017,5,no meet title,Feb-05-2017,UIC,Nicole Szabo,,9.1750,,
UIC,2017,5,no meet title,Feb-05-2017,UIC,Nikki Woodruff,9.6250,,9.5750,9.7250
UIC,2017,6,no meet title,Feb-11-2017,Iowa,Toni Alicke,,,9.2000,9.7250
UIC,2017,6,no meet title,Feb-11-2017,Iowa,Serena Baker,,9.0750,,
UIC,2017,6,no meet title,Feb-11-2017,Iowa,Allison Broad,9.8250,,,9.5750
UIC,2017,6,no meet title,Feb-11-2017,Iowa,Riley Cholod,,9.7500,,
UIC,2017,6,no meet title,Feb-11-2017,Iowa,Abby Hasanov,,,9.6750,9.7750
UIC,2017,6,no meet title,Feb-11-2017,Iowa,Daniela Maciel,,,9.2000,9.6000
UIC,2017,6,no meet title,Feb-11-2017,Iowa,Riley Mahoney,9.2500,,,
UIC,2017,6,no meet title,Feb-11-2017,Iowa,Mikailla Northern,9.8500,9.6750,9.0750,9.8250
UIC,2017,6,no meet title,Feb-11-2017,Iowa,Maddie Nowak,9.5750,,,
UIC,2017,6,no meet title,Feb-11-2017,Iowa,Katie Snyder,9.7000,9.7000,,
UIC,2017,6,no meet title,Feb-11-2017,Iowa,Jenna Squillo,9.7500,9.7000,9.7250,
UIC,2017,6,no meet title,Feb-11-2017,Iowa,Nicole Szabo,,9.7250,9.0500,8.9750
UIC,2017,7,no meet title,Feb-19-2017,UIC,Toni Alicke,9.7000,,9.1250,9.8000
UIC,2017,7,no meet title,Feb-19-2017,UIC,Serena Baker,,9.8250,,
UIC,2017,7,no meet title,Feb-19-2017,UIC,Allison Broad,9.5750,,,
UIC,2017,7,no meet title,Feb-19-2017,UIC,Riley Cholod,,9.7750,,
UIC,2017,7,no meet title,Feb-19-2017,UIC,Abby Hasanov,,,8.9250,9.8500
UIC,2017,7,no meet title,Feb-19-2017,UIC,Daniela Maciel,,,9.7250,9.8000
UIC,2017,7,no meet title,Feb-19-2017,UIC,Riley Mahoney,9.6750,,,
UIC,2017,7,no meet title,Feb-19-2017,UIC,Mikailla Northern,9.8000,9.7500,9.7250,9.8000
UIC,2017,7,no meet title,Feb-19-2017,UIC,Katie Snyder,,9.7500,,
UIC,2017,7,no meet title,Feb-19-2017,UIC,Jenna Squillo,9.7250,9.8000,9.6750,9.5500
UIC,2017,7,no meet title,Feb-19-2017,UIC,Nicole Szabo,,9.7500,,
UIC,2017,7,no meet title,Feb-19-2017,UIC,Nikki Woodruff,9.7500,,9.5000,9.7250
UIC,2017,8,no meet title,Feb-26-2017,UIC,Toni Alicke,9.6000,,9.7750,9.7250
UIC,2017,8,no meet title,Feb-26-2017,UIC,Serena Baker,,9.7250,,
UIC,2017,8,no meet title,Feb-26-2017,UIC,Allison Broad,9.7250,,,9.6750
UIC,2017,8,no meet title,Feb-26-2017,UIC,Riley Cholod,,9.8000,9.1250,
UIC,2017,8,no meet title,Feb-26-2017,UIC,Abby Hasanov,,,9.7000,9.8500
UIC,2017,8,no meet title,Feb-26-2017,UIC,Daniela Maciel,,,9.7750,9.7000
UIC,2017,8,no meet title,Feb-26-2017,UIC,Riley Mahoney,9.5500,,,
UIC,2017,8,no meet title,Feb-26-2017,UIC,Mikailla Northern,9.8500,9.8750,9.7500,9.8500
UIC,2017,8,no meet title,Feb-26-2017,UIC,Katie Snyder,9.6250,8.9500,,
UIC,2017,8,no meet title,Feb-26-2017,UIC,Jenna Squillo,,8.4000,9.7750,
UIC,2017,8,no meet title,Feb-26-2017,UIC,Nicole Szabo,,9.8000,,
UIC,2017,8,no meet title,Feb-26-2017,UIC,Nikki Woodruff,9.5750,,,9.7750
UIC,2017,9,Illinois Classic,Mar-05-2017,Illinois State,Toni Alicke,,,9.6500,9.7250
UIC,2017,9,Illinois Classic,Mar-05-2017,Illinois State,Serena Baker,,9.7250,,
UIC,2017,9,Illinois Classic,Mar-05-2017,Illinois State,Allison Broad,9.5500,,,
UIC,2017,9,Illinois Classic,Mar-05-2017,Illinois State,Riley Cholod,,9.8000,,
UIC,2017,9,Illinois Classic,Mar-05-2017,Illinois State,Abby Hasanov,,,9.5250,9.1000
UIC,2017,9,Illinois Classic,Mar-05-2017,Illinois State,Daniela Maciel,,,9.6750,9.7750
UIC,2017,9,Illinois Classic,Mar-05-2017,Illinois State,Riley Mahoney,9.7250,,,
UIC,2017,9,Illinois Classic,Mar-05-2017,Illinois State,Mikailla Northern,9.8000,9.8000,9.6750,9.8250
UIC,2017,9,Illinois Classic,Mar-05-2017,Illinois State,Amelia Rafferty,,,,9.7000
UIC,2017,9,Illinois Classic,Mar-05-2017,Illinois State,Katie Snyder,9.5750,9.7250,,
UIC,2017,9,Illinois Classic,Mar-05-2017,Illinois State,Jenna Squillo,9.5500,9.8250,9.6000,
UIC,2017,9,Illinois Classic,Mar-05-2017,Illinois State,Nicole Szabo,,9.4500,,
UIC,2017,9,Illinois Classic,Mar-05-2017,Illinois State,Nikki Woodruff,9.7500,,9.0250,9.0500
UIC,2017,10,no meet title,Mar-07-2017,Western Michigan,Toni Alicke,,,9.7750,9.6000
UIC,2017,10,no meet title,Mar-07-2017,Western Michigan,Serena Baker,,9.7500,,
UIC,2017,10,no meet title,Mar-07-2017,Western Michigan,Allison Broad,9.7250,,,
UIC,2017,10,no meet title,Mar-07-2017,Western Michigan,Riley Cholod,,9.2750,9.6250,
UIC,2017,10,no meet title,Mar-07-2017,Western Michigan,Abby Hasanov,,,9.6000,9.8250
UIC,2017,10,no meet title,Mar-07-2017,Western Michigan,Daniela Maciel,,,9.7000,9.7750
UIC,2017,10,no meet title,Mar-07-2017,Western Michigan,Riley Mahoney,9.0000,,,
UIC,2017,10,no meet title,Mar-07-2017,Western Michigan,Mikailla Northern,9.8500,9.8500,9.7750,9.8500
