team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UW-Eau Claire,2020,1,no meet title,Jan-10-2020,Alaska,Emma Barry,,8.6500,,9.3500
UW-Eau Claire,2020,1,no meet title,Jan-10-2020,Alaska,Ashley Benes,9.4750,8.9000,,
UW-Eau Claire,2020,1,no meet title,Jan-10-2020,Alaska,Bailey Davidson,9.3500,,,8.4000
UW-Eau Claire,2020,1,no meet title,Jan-10-2020,Alaska,Jada  DeBoer,,,,8.1250
UW-Eau Claire,2020,1,no meet title,Jan-10-2020,Alaska,Jordan Ehde,9.3500,7.6250,,
UW-Eau Claire,2020,1,no meet title,Jan-10-2020,Alaska,Katie Fahrenkamp,,,8.2750,9.1750
UW-Eau Claire,2020,1,no meet title,Jan-10-2020,Alaska,Megan Fayler,,,8.2000,
UW-Eau Claire,2020,1,no meet title,Jan-10-2020,Alaska,Andrea Gessner,8.9500,,,
UW-Eau Claire,2020,1,no meet title,Jan-10-2020,Alaska,Erin Hillegonds,,,8.9000,
UW-Eau Claire,2020,1,no meet title,Jan-10-2020,Alaska,Christina Leikam,,8.6500,,
UW-Eau Claire,2020,1,no meet title,Jan-10-2020,Alaska,Danielle Malecha,,9.0250,8.8750,
UW-Eau Claire,2020,1,no meet title,Jan-10-2020,Alaska,Victoria Perron,9.0500,,,
UW-Eau Claire,2020,1,no meet title,Jan-10-2020,Alaska,Molly Rajala,,7.7250,,
UW-Eau Claire,2020,1,no meet title,Jan-10-2020,Alaska,Tayla Thome,,,9.3750,8.1000
UW-Eau Claire,2020,1,no meet title,Jan-10-2020,Alaska,Kaitlyn Trunkel,,,,7.7000
UW-Eau Claire,2020,1,no meet title,Jan-10-2020,Alaska,Mallory Walerko,9.4750,,,
UW-Eau Claire,2020,1,no meet title,Jan-10-2020,Alaska,Abby Weber,,,9.3750,
UW-Eau Claire,2020,2,no meet title,Jan-17-2020,Gustavus Adolphus,Emma Barry,9.2500,8.3500,,9.3250
UW-Eau Claire,2020,2,no meet title,Jan-17-2020,Gustavus Adolphus,Ashley Benes,9.5250,8.7500,,
UW-Eau Claire,2020,2,no meet title,Jan-17-2020,Gustavus Adolphus,Sydney Dame,,,,8.6000
UW-Eau Claire,2020,2,no meet title,Jan-17-2020,Gustavus Adolphus,Jada  DeBoer,,,,8.8000
UW-Eau Claire,2020,2,no meet title,Jan-17-2020,Gustavus Adolphus,Jordan Ehde,9.1750,9.0250,8.8750,8.8250
UW-Eau Claire,2020,2,no meet title,Jan-17-2020,Gustavus Adolphus,Katie Fahrenkamp,,,,8.9000
UW-Eau Claire,2020,2,no meet title,Jan-17-2020,Gustavus Adolphus,Andrea Gessner,8.0000,,,
UW-Eau Claire,2020,2,no meet title,Jan-17-2020,Gustavus Adolphus,Erin Hillegonds,,,8.0000,
UW-Eau Claire,2020,2,no meet title,Jan-17-2020,Gustavus Adolphus,Christina Leikam,,8.2500,8.2750,
UW-Eau Claire,2020,2,no meet title,Jan-17-2020,Gustavus Adolphus,Danielle Malecha,,8.9750,8.8000,
UW-Eau Claire,2020,2,no meet title,Jan-17-2020,Gustavus Adolphus,Victoria Perron,8.6500,,,
UW-Eau Claire,2020,2,no meet title,Jan-17-2020,Gustavus Adolphus,Molly Rajala,,7.9000,,
