team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UW-La Crosse,2018,1,no meet title,Jan-06-2018,Air Force,Jessica Ahrens,9.6500,,9.7000,
UW-La Crosse,2018,1,no meet title,Jan-06-2018,Air Force,Dani Barmore,9.7000,9.4250,9.2750,
UW-La Crosse,2018,1,no meet title,Jan-06-2018,Air Force,Ellie Beckman,9.7250,9.3500,,9.6250
UW-La Crosse,2018,1,no meet title,Jan-06-2018,Air Force,Jenna Danninger,,,,9.2750
UW-La Crosse,2018,1,no meet title,Jan-06-2018,Air Force,Amy Enright,,9.7000,8.9500,9.6250
UW-La Crosse,2018,1,no meet title,Jan-06-2018,Air Force,Breghan Kiloran,9.3000,9.5250,,9.6750
UW-La Crosse,2018,1,no meet title,Jan-06-2018,Air Force,Leah Spankowski,,,9.6000,
UW-La Crosse,2018,1,no meet title,Jan-06-2018,Air Force,Sam Weyker,9.6000,,9.7000,9.8000
UW-La Crosse,2018,1,no meet title,Jan-06-2018,Air Force,Samantha Wiekamp,9.6500,8.8250,9.7250,8.8500
UW-La Crosse,2018,1,no meet title,Jan-06-2018,Air Force,Lauren Wilson,,9.0250,,
UW-La Crosse,2018,2,no meet title,Jan-12-2018,UW-La Crosse,Jessica Ahrens,9.5500,,9.5250,9.2500
UW-La Crosse,2018,2,no meet title,Jan-12-2018,UW-La Crosse,Dani Barmore,,9.3500,,
UW-La Crosse,2018,2,no meet title,Jan-12-2018,UW-La Crosse,Ellie Beckman,9.4250,9.1250,,9.4000
UW-La Crosse,2018,2,no meet title,Jan-12-2018,UW-La Crosse,Ally Blixt,,,9.6000,
UW-La Crosse,2018,2,no meet title,Jan-12-2018,UW-La Crosse,Amy Enright,,9.6250,8.9500,9.2000
UW-La Crosse,2018,2,no meet title,Jan-12-2018,UW-La Crosse,Brooke Kachinsky,,9.2000,8.9000,
UW-La Crosse,2018,2,no meet title,Jan-12-2018,UW-La Crosse,Breghan Kiloran,9.2500,9.6000,,9.3000
UW-La Crosse,2018,2,no meet title,Jan-12-2018,UW-La Crosse,Leah Spankowski,9.3250,,9.6250,
UW-La Crosse,2018,2,no meet title,Jan-12-2018,UW-La Crosse,Sam Weyker,9.4000,,9.5500,9.5000
UW-La Crosse,2018,2,no meet title,Jan-12-2018,UW-La Crosse,Lauren Wilson,9.2750,8.9250,,9.3000
UW-La Crosse,2018,3,no meet title,Jan-19-2018,Hamline,Jessica Ahrens,9.6000,,9.7750,9.3500
UW-La Crosse,2018,3,no meet title,Jan-19-2018,Hamline,Dani Barmore,,8.5250,9.4500,
UW-La Crosse,2018,3,no meet title,Jan-19-2018,Hamline,Ellie Beckman,9.3250,,,9.2000
UW-La Crosse,2018,3,no meet title,Jan-19-2018,Hamline,Ally Blixt,,,9.6000,
UW-La Crosse,2018,3,no meet title,Jan-19-2018,Hamline,Amy Enright,,9.5750,,9.4000
UW-La Crosse,2018,3,no meet title,Jan-19-2018,Hamline,Brooke Kachinsky,,9.3750,,
UW-La Crosse,2018,3,no meet title,Jan-19-2018,Hamline,Breghan Kiloran,9.4000,8.5500,,9.4750
UW-La Crosse,2018,3,no meet title,Jan-19-2018,Hamline,Leah Spankowski,9.5000,,9.7000,
UW-La Crosse,2018,3,no meet title,Jan-19-2018,Hamline,Sam Weyker,,,9.7500,
UW-La Crosse,2018,3,no meet title,Jan-19-2018,Hamline,Samantha Wiekamp,9.4500,8.4750,9.4750,8.3000
UW-La Crosse,2018,3,no meet title,Jan-19-2018,Hamline,Lauren Wilson,9.3500,9.5750,,9.2750
UW-La Crosse,2018,4,no meet title,Jan-27-2018,UW-Oshkosh,Dani Barmore,9.5000,8.7000,8.9000,
UW-La Crosse,2018,4,no meet title,Jan-27-2018,UW-Oshkosh,Ellie Beckman,9.1250,9.3500,,9.6250
