team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UW-Oshkosh,2022,1,no meet title,Jan-14-2022,Hamline,Emily Buffington,9.6000,9.7000,9.3000,9.2500
UW-Oshkosh,2022,1,no meet title,Jan-14-2022,Hamline,Delaney Cienkus,,,,9.2000
UW-Oshkosh,2022,1,no meet title,Jan-14-2022,Hamline,Emily Gilot,9.0500,8.8750,,
UW-Oshkosh,2022,1,no meet title,Jan-14-2022,Hamline,Kaira Hammond,,,9.2250,
UW-Oshkosh,2022,1,no meet title,Jan-14-2022,Hamline,Rahdea Jarvis,9.0000,9.5500,,9.5000
UW-Oshkosh,2022,1,no meet title,Jan-14-2022,Hamline,Olivia Keller,,,8.4000,9.7500
UW-Oshkosh,2022,1,no meet title,Jan-14-2022,Hamline,Mia Lucero,,,9.5000,
UW-Oshkosh,2022,1,no meet title,Jan-14-2022,Hamline,Alyssa Nore,,,,9.3500
UW-Oshkosh,2022,1,no meet title,Jan-14-2022,Hamline,Trinity Sawyer,9.2750,8.7000,,9.3500
UW-Oshkosh,2022,1,no meet title,Jan-14-2022,Hamline,Haley Volstad,9.3750,9.1750,,
UW-Oshkosh,2022,1,no meet title,Jan-14-2022,Hamline,Ella Wilson,,,9.0750,
UW-Oshkosh,2022,1,no meet title,Jan-14-2022,Hamline,Samantha Zeilinger,8.8250,9.3500,,
UW-Oshkosh,2022,1,no meet title,Jan-14-2022,Hamline,Anna Zoromski,,,7.8500,
UW-Oshkosh,2022,2,no meet title,Jan-20-2022,UW-Eau Claire,Kaylie Berens,,,9.4500,
UW-Oshkosh,2022,2,no meet title,Jan-20-2022,UW-Eau Claire,Emily Buffington,9.7000,9.0250,,9.3750
UW-Oshkosh,2022,2,no meet title,Jan-20-2022,UW-Eau Claire,Delaney Cienkus,,,9.2750,9.5250
UW-Oshkosh,2022,2,no meet title,Jan-20-2022,UW-Eau Claire,Emily Gilot,9.6000,8.6750,,9.2750
UW-Oshkosh,2022,2,no meet title,Jan-20-2022,UW-Eau Claire,Kaira Hammond,,,8.3250,
UW-Oshkosh,2022,2,no meet title,Jan-20-2022,UW-Eau Claire,Rahdea Jarvis,9.4250,8.7250,,9.5500
UW-Oshkosh,2022,2,no meet title,Jan-20-2022,UW-Eau Claire,Olivia Keller,,,9.3500,9.3750
UW-Oshkosh,2022,2,no meet title,Jan-20-2022,UW-Eau Claire,Audrey Koester,9.5500,,,
UW-Oshkosh,2022,2,no meet title,Jan-20-2022,UW-Eau Claire,Mia Lucero,9.6250,,9.0500,
UW-Oshkosh,2022,2,no meet title,Jan-20-2022,UW-Eau Claire,Meaghan O'Connor,,9.3500,,
UW-Oshkosh,2022,2,no meet title,Jan-20-2022,UW-Eau Claire,Trinity Sawyer,,9.4250,,9.5750
UW-Oshkosh,2022,2,no meet title,Jan-20-2022,UW-Eau Claire,Haley Volstad,9.1500,,,
UW-Oshkosh,2022,2,no meet title,Jan-20-2022,UW-Eau Claire,Samantha Zeilinger,,9.5000,,
UW-Oshkosh,2022,2,no meet title,Jan-20-2022,UW-Eau Claire,Anna Zoromski,,,9.4250,
UW-Oshkosh,2022,3,no meet title,Jan-28-2022,Eastern Michigan,Kaylie Berens,,,9.7250,
UW-Oshkosh,2022,3,no meet title,Jan-28-2022,Eastern Michigan,Emily Buffington,9.4750,9.6750,,9.4750
UW-Oshkosh,2022,3,no meet title,Jan-28-2022,Eastern Michigan,Delaney Cienkus,9.4250,,9.6500,9.6250
UW-Oshkosh,2022,3,no meet title,Jan-28-2022,Eastern Michigan,Emily Gilot,9.7500,9.4500,,
UW-Oshkosh,2022,3,no meet title,Jan-28-2022,Eastern Michigan,Kaira Hammond,,,9.1250,
UW-Oshkosh,2022,3,no meet title,Jan-28-2022,Eastern Michigan,Rahdea Jarvis,9.6250,9.5500,,9.6750
UW-Oshkosh,2022,3,no meet title,Jan-28-2022,Eastern Michigan,Olivia Keller,,,9.6750,9.5000
UW-Oshkosh,2022,3,no meet title,Jan-28-2022,Eastern Michigan,Audrey Koester,9.4500,,,
UW-Oshkosh,2022,3,no meet title,Jan-28-2022,Eastern Michigan,Mia Lucero,9.6750,,8.5000,
UW-Oshkosh,2022,3,no meet title,Jan-28-2022,Eastern Michigan,Alyssa Nore,,,,9.4500
UW-Oshkosh,2022,3,no meet title,Jan-28-2022,Eastern Michigan,Meaghan O'Connor,,9.6750,,
UW-Oshkosh,2022,3,no meet title,Jan-28-2022,Eastern Michigan,Trinity Sawyer,,9.6250,,9.5000
UW-Oshkosh,2022,3,no meet title,Jan-28-2022,Eastern Michigan,Samantha Zeilinger,,9.5250,,
UW-Oshkosh,2022,3,no meet title,Jan-28-2022,Eastern Michigan,Anna Zoromski,,,9.6750,
UW-Oshkosh,2022,4,no meet title,Jan-28-2022,Eastern Michigan,Kaylie Berens,,,9.7250,
UW-Oshkosh,2022,4,no meet title,Jan-28-2022,Eastern Michigan,Emily Buffington,9.4750,9.6750,,9.4750
UW-Oshkosh,2022,4,no meet title,Jan-28-2022,Eastern Michigan,Delaney Cienkus,9.4250,,9.6500,9.6250
UW-Oshkosh,2022,4,no meet title,Jan-28-2022,Eastern Michigan,Emily Gilot,9.7500,9.4500,,
UW-Oshkosh,2022,4,no meet title,Jan-28-2022,Eastern Michigan,Kaira Hammond,,,9.1250,
UW-Oshkosh,2022,4,no meet title,Jan-28-2022,Eastern Michigan,Rahdea Jarvis,9.6250,9.5500,,9.6750
UW-Oshkosh,2022,4,no meet title,Jan-28-2022,Eastern Michigan,Olivia Keller,,,9.6750,9.5000
UW-Oshkosh,2022,4,no meet title,Jan-28-2022,Eastern Michigan,Audrey Koester,9.4500,,,
UW-Oshkosh,2022,4,no meet title,Jan-28-2022,Eastern Michigan,Mia Lucero,9.6750,,8.5000,
UW-Oshkosh,2022,4,no meet title,Jan-28-2022,Eastern Michigan,Alyssa Nore,,,,9.4500
UW-Oshkosh,2022,4,no meet title,Jan-28-2022,Eastern Michigan,Meaghan O'Connor,,9.6750,,
