team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UW-Stout,2016,1,no meet title,Jan-08-2016,UW-Stout,Callie Counts,9.3500,,9.6000,8.8250
UW-Stout,2016,1,no meet title,Jan-08-2016,UW-Stout,Cassie Evans,9.2500,,,8.0500
UW-Stout,2016,1,no meet title,Jan-08-2016,UW-Stout,Chelsea Gray,,,9.4250,8.2000
UW-Stout,2016,1,no meet title,Jan-08-2016,UW-Stout,Rachel Hasting,,8.0250,,
UW-Stout,2016,1,no meet title,Jan-08-2016,UW-Stout,Kelly Huseman,9.5750,9.0000,9.0000,
UW-Stout,2016,1,no meet title,Jan-08-2016,UW-Stout,Kenzie Hyde,9.4000,9.3750,9.5000,9.4000
UW-Stout,2016,1,no meet title,Jan-08-2016,UW-Stout,Kaylee Jondahl,9.6500,8.6250,8.6250,9.1250
UW-Stout,2016,1,no meet title,Jan-08-2016,UW-Stout,Sara Perez,,8.9750,,
UW-Stout,2016,1,no meet title,Jan-08-2016,UW-Stout,Randi Schorzman,9.5000,,9.4000,8.5500
UW-Stout,2016,1,no meet title,Jan-08-2016,UW-Stout,Stephanie Shields,,8.9250,,
UW-Stout,2016,2,no meet title,Jan-15-2016,Winona State,Callie Counts,9.3500,,9.6250,8.8000
UW-Stout,2016,2,no meet title,Jan-15-2016,Winona State,Cassie Evans,9.4000,7.9000,8.5000,8.2000
UW-Stout,2016,2,no meet title,Jan-15-2016,Winona State,Devan Green,,,,8.0000
UW-Stout,2016,2,no meet title,Jan-15-2016,Winona State,Kelly Huseman,9.5750,9.2750,8.9000,
UW-Stout,2016,2,no meet title,Jan-15-2016,Winona State,Kenzie Hyde,9.5750,9.0250,9.1500,9.2500
UW-Stout,2016,2,no meet title,Jan-15-2016,Winona State,Kaylee Jondahl,9.5750,9.0500,9.1500,9.4500
UW-Stout,2016,2,no meet title,Jan-15-2016,Winona State,Sara Perez,9.3500,9.3000,,
UW-Stout,2016,2,no meet title,Jan-15-2016,Winona State,Kate Voracek,,7.5750,8.4500,7.8000
UW-Stout,2016,3,no meet title,Jan-23-2016,UW-Whitewater,Callie Counts,9.2750,,8.8250,9.0500
UW-Stout,2016,3,no meet title,Jan-23-2016,UW-Whitewater,Cassie Evans,9.2500,8.7500,,9.2000
UW-Stout,2016,3,no meet title,Jan-23-2016,UW-Whitewater,Devan Green,,,,7.9000
UW-Stout,2016,3,no meet title,Jan-23-2016,UW-Whitewater,Kelly Huseman,9.5250,9.1750,8.1750,
UW-Stout,2016,3,no meet title,Jan-23-2016,UW-Whitewater,Kenzie Hyde,9.0250,9.4000,8.9000,9.2250
UW-Stout,2016,3,no meet title,Jan-23-2016,UW-Whitewater,Kaylee Jondahl,9.4000,8.9500,8.5750,
UW-Stout,2016,3,no meet title,Jan-23-2016,UW-Whitewater,Brittani Lehmen,,8.5750,9.1000,
UW-Stout,2016,3,no meet title,Jan-23-2016,UW-Whitewater,Sara Perez,,9.0500,,
UW-Stout,2016,3,no meet title,Jan-23-2016,UW-Whitewater,Randi Schorzman,9.4000,,9.2500,
UW-Stout,2016,3,no meet title,Jan-23-2016,UW-Whitewater,Kate Voracek,,,,8.8750
UW-Stout,2016,4,no meet title,Jan-29-2016,UW-Stout,Callie Counts,9.1500,,8.8250,9.0500
UW-Stout,2016,4,no meet title,Jan-29-2016,UW-Stout,Cassie Evans,9.2750,7.4000,,8.8750
UW-Stout,2016,4,no meet title,Jan-29-2016,UW-Stout,Devan Green,,8.4000,,
UW-Stout,2016,4,no meet title,Jan-29-2016,UW-Stout,Kelly Huseman,9.4500,9.2000,9.3750,
UW-Stout,2016,4,no meet title,Jan-29-2016,UW-Stout,Kenzie Hyde,9.3000,8.6500,9.2000,9.3500
UW-Stout,2016,4,no meet title,Jan-29-2016,UW-Stout,Kaylee Jondahl,,,8.6750,9.7000
UW-Stout,2016,4,no meet title,Jan-29-2016,UW-Stout,Brittani Lehmen,,9.2000,8.1500,8.5250
UW-Stout,2016,4,no meet title,Jan-29-2016,UW-Stout,Sara Perez,9.1000,,,
UW-Stout,2016,4,no meet title,Jan-29-2016,UW-Stout,Kate Voracek,,8.2250,7.9500,7.9250
UW-Stout,2016,5,no meet title,Feb-05-2016,Hamline,Callie Counts,9.5000,,8.7000,8.9500
UW-Stout,2016,5,no meet title,Feb-05-2016,Hamline,Cassie Evans,9.5750,8.3000,,8.9250
UW-Stout,2016,5,no meet title,Feb-05-2016,Hamline,Rachel Hasting,,8.4250,,
UW-Stout,2016,5,no meet title,Feb-05-2016,Hamline,Kelly Huseman,9.6000,9.2750,9.5500,
UW-Stout,2016,5,no meet title,Feb-05-2016,Hamline,Kenzie Hyde,9.5250,8.2500,9.1000,9.1500
UW-Stout,2016,5,no meet title,Feb-05-2016,Hamline,Kaylee Jondahl,9.8000,9.2750,8.9250,9.6250
UW-Stout,2016,5,no meet title,Feb-05-2016,Hamline,Sara Perez,,7.9000,,
UW-Stout,2016,5,no meet title,Feb-05-2016,Hamline,Randi Schorzman,8.5000,,9.3750,
UW-Stout,2016,5,no meet title,Feb-05-2016,Hamline,Kate Voracek,,,9.2500,8.6000
UW-Stout,2016,6,no meet title,Feb-12-2016,UW-Stout,Callie Counts,9.1500,,8.5000,8.5500
UW-Stout,2016,6,no meet title,Feb-12-2016,UW-Stout,Cassie Evans,9.2250,8.7000,,9.0500
UW-Stout,2016,6,no meet title,Feb-12-2016,UW-Stout,Gina Guarnieri,,,,8.5250
UW-Stout,2016,6,no meet title,Feb-12-2016,UW-Stout,Rachel Hasting,,8.8250,,
UW-Stout,2016,6,no meet title,Feb-12-2016,UW-Stout,Kelly Huseman,9.4750,9.1500,9.5250,
UW-Stout,2016,6,no meet title,Feb-12-2016,UW-Stout,Kaylee Jondahl,9.5250,9.2750,8.1750,9.6250
UW-Stout,2016,6,no meet title,Feb-12-2016,UW-Stout,Sara Perez,9.1250,9.0000,,
UW-Stout,2016,6,no meet title,Feb-12-2016,UW-Stout,Randi Schorzman,9.3250,,8.8750,8.4250
UW-Stout,2016,6,no meet title,Feb-12-2016,UW-Stout,Stephanie Shields,,8.9500,8.8500,
UW-Stout,2016,6,no meet title,Feb-12-2016,UW-Stout,Kate Voracek,,,8.5750,7.7500
UW-Stout,2016,7,no meet title,Feb-19-2016,UW-Oshkosh,Callie Counts,8.9250,,9.4750,8.9000
UW-Stout,2016,7,no meet title,Feb-19-2016,UW-Oshkosh,Cassie Evans,8.7500,8.7750,7.2250,8.6500
UW-Stout,2016,7,no meet title,Feb-19-2016,UW-Oshkosh,Gina Guarnieri,,,,8.6500
UW-Stout,2016,7,no meet title,Feb-19-2016,UW-Oshkosh,Rachel Hasting,,8.2750,,
UW-Stout,2016,7,no meet title,Feb-19-2016,UW-Oshkosh,Kelly Huseman,9.3250,9.2500,8.7000,
UW-Stout,2016,7,no meet title,Feb-19-2016,UW-Oshkosh,Kaylee Jondahl,9.3250,9.0750,8.4250,9.4750
UW-Stout,2016,7,no meet title,Feb-19-2016,UW-Oshkosh,Sara Perez,9.0250,9.3500,,
UW-Stout,2016,7,no meet title,Feb-19-2016,UW-Oshkosh,Randi Schorzman,,,9.6000,
UW-Stout,2016,7,no meet title,Feb-19-2016,UW-Oshkosh,Kate Voracek,,8.3500,8.2250,8.7500
UW-Stout,2016,8,no meet title,Feb-28-2016,Illinois State,Callie Counts,9.3750,,9.6250,9.0500
UW-Stout,2016,8,no meet title,Feb-28-2016,Illinois State,Cassie Evans,9.4750,8.7250,,9.1500
UW-Stout,2016,8,no meet title,Feb-28-2016,Illinois State,Chelsea Gray,,,8.8250,
UW-Stout,2016,8,no meet title,Feb-28-2016,Illinois State,Gina Guarnieri,,,,9.1250
UW-Stout,2016,8,no meet title,Feb-28-2016,Illinois State,Rachel Hasting,,8.7500,,
UW-Stout,2016,8,no meet title,Feb-28-2016,Illinois State,Kelly Huseman,9.6750,9.5000,8.9000,
UW-Stout,2016,8,no meet title,Feb-28-2016,Illinois State,Kaylee Jondahl,9.7250,9.4250,8.5750,9.7250
UW-Stout,2016,8,no meet title,Feb-28-2016,Illinois State,Sara Perez,9.5000,8.9000,,
UW-Stout,2016,8,no meet title,Feb-28-2016,Illinois State,Randi Schorzman,9.3750,,9.7250,
UW-Stout,2016,8,no meet title,Feb-28-2016,Illinois State,Kate Voracek,,8.4250,8.8750,8.5500
UW-Stout,2016,9,WIAC Conference/NCGA West Regional,Mar-04-2016,UW-La Crosse,Callie Counts,9.2750,,8.5500,9.2750
UW-Stout,2016,9,WIAC Conference/NCGA West Regional,Mar-04-2016,UW-La Crosse,Cassie Evans,9.2000,9.0000,,8.7000
UW-Stout,2016,9,WIAC Conference/NCGA West Regional,Mar-04-2016,UW-La Crosse,Chelsea Gray,,,9.2000,
UW-Stout,2016,9,WIAC Conference/NCGA West Regional,Mar-04-2016,UW-La Crosse,Gina Guarnieri,,,,8.8750
UW-Stout,2016,9,WIAC Conference/NCGA West Regional,Mar-04-2016,UW-La Crosse,Rachel Hasting,,8.9500,,
UW-Stout,2016,9,WIAC Conference/NCGA West Regional,Mar-04-2016,UW-La Crosse,Kelly Huseman,9.5500,9.5000,9.7000,
UW-Stout,2016,9,WIAC Conference/NCGA West Regional,Mar-04-2016,UW-La Crosse,Kaylee Jondahl,9.5750,9.3250,9.1000,9.7750
UW-Stout,2016,9,WIAC Conference/NCGA West Regional,Mar-04-2016,UW-La Crosse,Sara Perez,9.2750,9.3000,,
UW-Stout,2016,9,WIAC Conference/NCGA West Regional,Mar-04-2016,UW-La Crosse,Randi Schorzman,9.4000,,9.6500,9.2500
UW-Stout,2016,9,WIAC Conference/NCGA West Regional,Mar-04-2016,UW-La Crosse,Kasondra Tulloch,,8.0000,,
UW-Stout,2016,9,WIAC Conference/NCGA West Regional,Mar-04-2016,UW-La Crosse,Kate Voracek,,,9.1500,8.9500
UW-Stout,2016,10,NCGA Championships,Mar-18-2016,Brockport,Kaylee Jondahl,9.7000,9.2500,9.5250,9.9000
UW-Stout,2016,11,NCGA Championships IEF,Mar-19-2016,Brockport,Kelly Huseman,9.5000,,9.5250,
UW-Stout,2016,11,NCGA Championships IEF,Mar-19-2016,Brockport,Kaylee Jondahl,9.3250,,,9.7000
UW-Stout,2016,11,NCGA Championships IEF,Mar-19-2016,Brockport,Randi Schorzman,,,9.6500,
