team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UW-Whitewater,2022,1,no meet title,Jan-22-2022,UW-Whitewater,Estee Flom,,9.6250,,
UW-Whitewater,2022,1,no meet title,Jan-22-2022,UW-Whitewater,Lauren Goble,,,8.4750,
UW-Whitewater,2022,1,no meet title,Jan-22-2022,UW-Whitewater,Kelsey Kollhoff,9.4250,9.6250,9.0250,8.6750
UW-Whitewater,2022,1,no meet title,Jan-22-2022,UW-Whitewater,Rachel Lewellen,9.6500,,,
UW-Whitewater,2022,1,no meet title,Jan-22-2022,UW-Whitewater,Morgan McEntire,,,9.5750,
UW-Whitewater,2022,1,no meet title,Jan-22-2022,UW-Whitewater,Meg McGinley,9.5750,,9.5000,9.2500
UW-Whitewater,2022,1,no meet title,Jan-22-2022,UW-Whitewater,Faith Mylin,9.4250,9.3750,9.5750,9.7250
UW-Whitewater,2022,1,no meet title,Jan-22-2022,UW-Whitewater,Emily North,9.3750,9.0250,9.5500,8.7750
UW-Whitewater,2022,1,no meet title,Jan-22-2022,UW-Whitewater,Taiya Stelmachowski,,9.0750,,
UW-Whitewater,2022,1,no meet title,Jan-22-2022,UW-Whitewater,Richella Velarmino,,9.0250,,
UW-Whitewater,2022,1,no meet title,Jan-22-2022,UW-Whitewater,Kara Welsh,9.5750,,,9.5500
UW-Whitewater,2022,2,no meet title,Jan-28-2022,Hamline,Alayna Fern,7.9250,,,
UW-Whitewater,2022,2,no meet title,Jan-28-2022,Hamline,Estee Flom,,9.4000,,
UW-Whitewater,2022,2,no meet title,Jan-28-2022,Hamline,Lauren Goble,,,8.7750,
UW-Whitewater,2022,2,no meet title,Jan-28-2022,Hamline,Kelsey Kollhoff,,8.7750,8.9750,8.9750
UW-Whitewater,2022,2,no meet title,Jan-28-2022,Hamline,Rachel Lewellen,9.5500,,,
UW-Whitewater,2022,2,no meet title,Jan-28-2022,Hamline,Morgan McEntire,,,8.6500,
UW-Whitewater,2022,2,no meet title,Jan-28-2022,Hamline,Meg McGinley,9.2000,,8.6000,9.3000
UW-Whitewater,2022,2,no meet title,Jan-28-2022,Hamline,Faith Mylin,9.4250,9.1750,9.3000,9.6500
UW-Whitewater,2022,2,no meet title,Jan-28-2022,Hamline,Emily North,9.3250,8.2750,9.0750,9.4500
UW-Whitewater,2022,2,no meet title,Jan-28-2022,Hamline,Taiya Stelmachowski,,9.4000,,
UW-Whitewater,2022,2,no meet title,Jan-28-2022,Hamline,Richella Velarmino,,9.6500,,
UW-Whitewater,2022,2,no meet title,Jan-28-2022,Hamline,Kara Welsh,9.6250,,,9.3500
UW-Whitewater,2022,3,no meet title,Jan-30-2022,Winona State,Estee Flom,,9.6750,,
UW-Whitewater,2022,3,no meet title,Jan-30-2022,Winona State,Lauren Goble,,,9.5000,
UW-Whitewater,2022,3,no meet title,Jan-30-2022,Winona State,Kelsey Kollhoff,9.4250,9.7000,9.0250,9.7500
UW-Whitewater,2022,3,no meet title,Jan-30-2022,Winona State,Rachel Lewellen,9.7500,,,
UW-Whitewater,2022,3,no meet title,Jan-30-2022,Winona State,Morgan McEntire,,,7.5500,
UW-Whitewater,2022,3,no meet title,Jan-30-2022,Winona State,Meg McGinley,9.6250,,9.4000,8.9500
UW-Whitewater,2022,3,no meet title,Jan-30-2022,Winona State,Faith Mylin,9.5250,9.3750,9.3000,9.7250
UW-Whitewater,2022,3,no meet title,Jan-30-2022,Winona State,Emily North,9.5500,9.5750,9.6000,9.7000
UW-Whitewater,2022,3,no meet title,Jan-30-2022,Winona State,Taiya Stelmachowski,,8.6750,,
UW-Whitewater,2022,3,no meet title,Jan-30-2022,Winona State,Richella Velarmino,,8.9750,,
UW-Whitewater,2022,3,no meet title,Jan-30-2022,Winona State,Kara Welsh,9.7500,,,9.5750
UW-Whitewater,2022,4,no meet title,Feb-04-2022,Northern Illinois,Mia Falcone,,9.4500,,
UW-Whitewater,2022,4,no meet title,Feb-04-2022,Northern Illinois,Alayna Fern,9.1000,,,9.4250
UW-Whitewater,2022,4,no meet title,Feb-04-2022,Northern Illinois,Estee Flom,,9.7250,,
UW-Whitewater,2022,4,no meet title,Feb-04-2022,Northern Illinois,Lauren Goble,,,9.6500,
UW-Whitewater,2022,4,no meet title,Feb-04-2022,Northern Illinois,Kelsey Kollhoff,,9.7750,9.7250,9.6500
UW-Whitewater,2022,4,no meet title,Feb-04-2022,Northern Illinois,Rachel Lewellen,9.7000,,,
UW-Whitewater,2022,4,no meet title,Feb-04-2022,Northern Illinois,Meg McGinley,9.6000,,9.6250,9.5750
UW-Whitewater,2022,4,no meet title,Feb-04-2022,Northern Illinois,Faith Mylin,9.4750,,9.0750,9.7750
UW-Whitewater,2022,4,no meet title,Feb-04-2022,Northern Illinois,Emily North,9.5000,8.6500,9.4250,9.7500
UW-Whitewater,2022,4,no meet title,Feb-04-2022,Northern Illinois,Taiya Stelmachowski,,9.6500,,
UW-Whitewater,2022,4,no meet title,Feb-04-2022,Northern Illinois,Richella Velarmino,,9.8250,8.2500,
UW-Whitewater,2022,4,no meet title,Feb-04-2022,Northern Illinois,Kara Welsh,9.7000,,,9.6250
UW-Whitewater,2022,5,no meet title,Feb-11-2022,UW-Whitewater,Alayna Fern,9.4250,,,7.9250
UW-Whitewater,2022,5,no meet title,Feb-11-2022,UW-Whitewater,Estee Flom,,9.4500,,
UW-Whitewater,2022,5,no meet title,Feb-11-2022,UW-Whitewater,Lauren Goble,,,9.4750,
UW-Whitewater,2022,5,no meet title,Feb-11-2022,UW-Whitewater,Kelsey Kollhoff,,9.7750,9.6500,9.4000
UW-Whitewater,2022,5,no meet title,Feb-11-2022,UW-Whitewater,Rachel Lewellen,9.6250,,,
UW-Whitewater,2022,5,no meet title,Feb-11-2022,UW-Whitewater,Morgan McEntire,,,9.5750,
UW-Whitewater,2022,5,no meet title,Feb-11-2022,UW-Whitewater,Meg McGinley,9.3750,,9.2500,9.7750
UW-Whitewater,2022,5,no meet title,Feb-11-2022,UW-Whitewater,Faith Mylin,9.4250,9.1000,9.5500,9.7500
UW-Whitewater,2022,5,no meet title,Feb-11-2022,UW-Whitewater,Emily North,9.4500,9.4250,9.6500,9.8000
UW-Whitewater,2022,5,no meet title,Feb-11-2022,UW-Whitewater,Taiya Stelmachowski,,9.5500,,
UW-Whitewater,2022,5,no meet title,Feb-11-2022,UW-Whitewater,Richella Velarmino,,9.7000,,
UW-Whitewater,2022,5,no meet title,Feb-11-2022,UW-Whitewater,Kara Welsh,9.6750,,,9.5250
UW-Whitewater,2022,6,no meet title,Feb-18-2022,UW-Eau Claire,Estee Flom,,9.4500,,
UW-Whitewater,2022,6,no meet title,Feb-18-2022,UW-Eau Claire,Lauren Goble,,,9.6250,
UW-Whitewater,2022,6,no meet title,Feb-18-2022,UW-Eau Claire,Kelsey Kollhoff,9.4750,9.3000,9.6000,9.5250
UW-Whitewater,2022,6,no meet title,Feb-18-2022,UW-Eau Claire,Rachel Lewellen,9.5500,,,
UW-Whitewater,2022,6,no meet title,Feb-18-2022,UW-Eau Claire,Morgan McEntire,,,9.4500,
UW-Whitewater,2022,6,no meet title,Feb-18-2022,UW-Eau Claire,Meg McGinley,9.5000,,9.4500,8.8000
UW-Whitewater,2022,6,no meet title,Feb-18-2022,UW-Eau Claire,Faith Mylin,9.3250,9.1500,8.9750,9.6750
UW-Whitewater,2022,6,no meet title,Feb-18-2022,UW-Eau Claire,Emily North,9.2750,9.5000,9.7250,9.6000
