team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Ursinus College,2022,1,no meet title,Jan-22-2022,Ursinus College,Ashley Cromer,9.2000,,9.0250,
Ursinus College,2022,1,no meet title,Jan-22-2022,Ursinus College,Taylor Cusick,9.5750,,,9.5250
Ursinus College,2022,1,no meet title,Jan-22-2022,Ursinus College,Alyssa DeLorme,9.4250,9.3750,9.5250,9.5500
Ursinus College,2022,1,no meet title,Jan-22-2022,Ursinus College,Kaylin Knapsack,8.9000,,9.1250,9.8000
Ursinus College,2022,1,no meet title,Jan-22-2022,Ursinus College,Megan Matteucci,,8.9500,,8.8000
Ursinus College,2022,1,no meet title,Jan-22-2022,Ursinus College,Alex Panetta,8.5500,9.3250,,9.2000
Ursinus College,2022,1,no meet title,Jan-22-2022,Ursinus College,Kyleigh Pierce,,8.8000,,
Ursinus College,2022,1,no meet title,Jan-22-2022,Ursinus College,Gabrielle Pitt,,,9.0750,
Ursinus College,2022,1,no meet title,Jan-22-2022,Ursinus College,Adison Tanguay,,8.6250,,
Ursinus College,2022,1,no meet title,Jan-22-2022,Ursinus College,Lindsey Thornton,,,9.4000,9.5000
Ursinus College,2022,1,no meet title,Jan-22-2022,Ursinus College,Carly Troilo,9.3250,7.6500,,
Ursinus College,2022,1,no meet title,Jan-22-2022,Ursinus College,Madison Zimmerman,,,9.6250,
Ursinus College,2022,2,no meet title,Jan-29-2022,West Chester,Ashley Cromer,8.7500,,8.9500,9.2000
Ursinus College,2022,2,no meet title,Jan-29-2022,West Chester,Taylor Cusick,9.5500,,8.8500,9.4500
Ursinus College,2022,2,no meet title,Jan-29-2022,West Chester,Alyssa DeLorme,9.4000,8.9750,8.5250,9.3000
Ursinus College,2022,2,no meet title,Jan-29-2022,West Chester,Kaylin Knapsack,9.0500,,8.2000,9.6500
Ursinus College,2022,2,no meet title,Jan-29-2022,West Chester,Megan Matteucci,,9.1250,,
