team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Utah,2020,1,no meet title,Jan-03-2020,Utah,Alexia Burch,9.8250,,9.7500,9.7250
Utah,2020,1,no meet title,Jan-03-2020,Utah,Hunter Dula,,9.8750,,
Utah,2020,1,no meet title,Jan-03-2020,Utah,Cammy Hall,9.8250,,,
Utah,2020,1,no meet title,Jan-03-2020,Utah,Cristal Isa,,9.3750,9.9250,9.7250
Utah,2020,1,no meet title,Jan-03-2020,Utah,Emilie LeBlanc,,9.7750,9.7250,
Utah,2020,1,no meet title,Jan-03-2020,Utah,Maile O'Keefe,9.7750,9.6000,9.8000,
Utah,2020,1,no meet title,Jan-03-2020,Utah,Abby Paulson,,,9.9000,9.8250
Utah,2020,1,no meet title,Jan-03-2020,Utah,Adrienne Randall,,,9.7000,9.8500
Utah,2020,1,no meet title,Jan-03-2020,Utah,Missy Reinstadtler,9.7750,9.8250,,
Utah,2020,1,no meet title,Jan-03-2020,Utah,Sydney Soloski,9.8000,,,9.9000
Utah,2020,1,no meet title,Jan-03-2020,Utah,Kim Tessen,9.9000,9.9250,,9.9000
Utah,2020,2,Best of Utah,Jan-11-2020,,Alexia Burch,9.8000,,9.7500,
Utah,2020,2,Best of Utah,Jan-11-2020,,Hunter Dula,,9.8250,,
Utah,2020,2,Best of Utah,Jan-11-2020,,Cammy Hall,9.8750,,,
Utah,2020,2,Best of Utah,Jan-11-2020,,Cristal Isa,,9.8750,9.8750,9.8750
Utah,2020,2,Best of Utah,Jan-11-2020,,Emilie LeBlanc,,9.8000,9.8250,
Utah,2020,2,Best of Utah,Jan-11-2020,,Maile O'Keefe,9.7750,9.6500,9.8500,9.8500
Utah,2020,2,Best of Utah,Jan-11-2020,,Abby Paulson,,,9.9000,9.8000
Utah,2020,2,Best of Utah,Jan-11-2020,,Adrienne Randall,,,9.8250,9.8750
Utah,2020,2,Best of Utah,Jan-11-2020,,Missy Reinstadtler,9.8250,9.7750,,
Utah,2020,2,Best of Utah,Jan-11-2020,,Sydney Soloski,9.8250,,,9.8250
Utah,2020,2,Best of Utah,Jan-11-2020,,Kim Tessen,9.8500,9.9500,,9.9000
Utah,2020,3,no meet title,Jan-24-2020,Utah,Alexia Burch,9.9500,,9.8750,
Utah,2020,3,no meet title,Jan-24-2020,Utah,Hunter Dula,,9.9250,,
Utah,2020,3,no meet title,Jan-24-2020,Utah,Cammy Hall,9.7250,,,
Utah,2020,3,no meet title,Jan-24-2020,Utah,Cristal Isa,,9.9250,9.8750,9.9000
Utah,2020,3,no meet title,Jan-24-2020,Utah,Emilie LeBlanc,,9.8250,9.9000,
Utah,2020,3,no meet title,Jan-24-2020,Utah,Maile O'Keefe,9.8000,9.7750,9.7750,9.8750
Utah,2020,3,no meet title,Jan-24-2020,Utah,Abby Paulson,,,9.6250,9.9000
Utah,2020,3,no meet title,Jan-24-2020,Utah,Adrienne Randall,,,9.8750,9.8750
Utah,2020,3,no meet title,Jan-24-2020,Utah,Missy Reinstadtler,9.7000,9.4250,,
Utah,2020,3,no meet title,Jan-24-2020,Utah,Sydney Soloski,9.7500,,,9.7750
Utah,2020,3,no meet title,Jan-24-2020,Utah,Kim Tessen,9.9250,9.8250,,9.0500
Utah,2020,4,no meet title,Feb-01-2020,Arizona,Alexia Burch,9.7750,,9.8750,
