team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Washington,2020,1,no meet title,Jan-10-2020,Michigan,Brenna Brooks,,9.8000,9.6000,
Washington,2020,1,no meet title,Jan-10-2020,Michigan,Madison Copiak,9.8250,9.8750,9.4000,
Washington,2020,1,no meet title,Jan-10-2020,Michigan,Amara Cunningham,9.8250,,,9.8000
Washington,2020,1,no meet title,Jan-10-2020,Michigan,Kristyn Hoffa,9.7750,,,9.7000
Washington,2020,1,no meet title,Jan-10-2020,Michigan,Michaela  Nelson,,9.8000,,
Washington,2020,1,no meet title,Jan-10-2020,Michigan,Evanni Roberson,9.8750,9.8000,9.6500,9.8500
Washington,2020,1,no meet title,Jan-10-2020,Michigan,Meaghan Ruttan,,,9.7250,9.7750
Washington,2020,1,no meet title,Jan-10-2020,Michigan,Allie Smith,9.8000,,,
Washington,2020,1,no meet title,Jan-10-2020,Michigan,Geneva Thompson,,9.7500,,
Washington,2020,1,no meet title,Jan-10-2020,Michigan,Hannah Vandenkolk,,,9.8000,
Washington,2020,1,no meet title,Jan-10-2020,Michigan,Maya Washington,,9.7750,9.6000,9.7000
Washington,2020,2,no meet title,Jan-20-2020,Washington,Brenna Brooks,,9.8500,9.7750,9.7750
Washington,2020,2,no meet title,Jan-20-2020,Washington,Madison Copiak,9.7000,9.8500,9.7250,
Washington,2020,2,no meet title,Jan-20-2020,Washington,Amara Cunningham,9.8750,,,9.9250
Washington,2020,2,no meet title,Jan-20-2020,Washington,Kristyn Hoffa,9.7000,,,9.8750
Washington,2020,2,no meet title,Jan-20-2020,Washington,Michaela  Nelson,,9.7750,,
Washington,2020,2,no meet title,Jan-20-2020,Washington,Evanni Roberson,9.8000,9.8000,9.8500,9.9250
Washington,2020,2,no meet title,Jan-20-2020,Washington,Meaghan Ruttan,,,9.1000,9.7750
Washington,2020,2,no meet title,Jan-20-2020,Washington,Allie Smith,9.6750,,,
