team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
West Chester,2022,1,no meet title,Jan-09-2022,Yale,Annie Bailey,9.4750,,,
West Chester,2022,1,no meet title,Jan-09-2022,Yale,Hyla Betts,,9.5250,,
West Chester,2022,1,no meet title,Jan-09-2022,Yale,Caroline Cascadden,,,9.5500,9.4500
West Chester,2022,1,no meet title,Jan-09-2022,Yale,Jordan Coleman,,9.7750,,
West Chester,2022,1,no meet title,Jan-09-2022,Yale,Rose Fanara,,,9.6500,9.5000
West Chester,2022,1,no meet title,Jan-09-2022,Yale,Kiley Fred,9.7250,,9.0000,
West Chester,2022,1,no meet title,Jan-09-2022,Yale,Kiah Johnson,9.7500,,,9.5000
West Chester,2022,1,no meet title,Jan-09-2022,Yale,Samantha Kelly,,9.6500,,
West Chester,2022,1,no meet title,Jan-09-2022,Yale,McKenna Kissinger,9.6500,9.5000,,9.7500
West Chester,2022,1,no meet title,Jan-09-2022,Yale,Natalie Marshall,,,9.7000,
West Chester,2022,1,no meet title,Jan-09-2022,Yale,Lily McFarland,9.3500,,9.0000,9.7000
West Chester,2022,1,no meet title,Jan-09-2022,Yale,Jessica Meakim,9.7500,9.7250,9.6250,9.8000
West Chester,2022,1,no meet title,Jan-09-2022,Yale,Kristina Rodriguez,,9.5250,,
West Chester,2022,2,no meet title,Jan-14-2022,Towson,Annie Bailey,9.4500,,,
West Chester,2022,2,no meet title,Jan-14-2022,Towson,Hyla Betts,,9.5750,,
West Chester,2022,2,no meet title,Jan-14-2022,Towson,Caroline Cascadden,,,9.6000,9.6250
West Chester,2022,2,no meet title,Jan-14-2022,Towson,Jordan Coleman,,9.6500,,
West Chester,2022,2,no meet title,Jan-14-2022,Towson,Rose Fanara,,,9.6000,9.7500
West Chester,2022,2,no meet title,Jan-14-2022,Towson,Kiley Fred,9.6500,,,9.4500
West Chester,2022,2,no meet title,Jan-14-2022,Towson,Kiah Johnson,9.8000,,9.6250,
West Chester,2022,2,no meet title,Jan-14-2022,Towson,Samantha Kelly,,9.6500,,
West Chester,2022,2,no meet title,Jan-14-2022,Towson,McKenna Kissinger,9.6750,8.5000,,9.7000
West Chester,2022,2,no meet title,Jan-14-2022,Towson,Natalie Marshall,,,8.8250,
West Chester,2022,2,no meet title,Jan-14-2022,Towson,Lily McFarland,9.6000,,9.4750,9.6500
West Chester,2022,2,no meet title,Jan-14-2022,Towson,Jessica Meakim,9.6250,9.7000,9.3250,9.7500
West Chester,2022,2,no meet title,Jan-14-2022,Towson,Kristina Rodriguez,,9.5750,,
West Chester,2022,3,no meet title,Jan-23-2022,Cornell,Caitlyn Allen,,8.9500,,
West Chester,2022,3,no meet title,Jan-23-2022,Cornell,Annie Bailey,9.2000,,,
West Chester,2022,3,no meet title,Jan-23-2022,Cornell,Hyla Betts,,9.6500,,
West Chester,2022,3,no meet title,Jan-23-2022,Cornell,Caroline Cascadden,,,9.7000,9.8000
West Chester,2022,3,no meet title,Jan-23-2022,Cornell,Jordan Coleman,,9.2000,,
West Chester,2022,3,no meet title,Jan-23-2022,Cornell,Rose Fanara,,,9.3250,9.8500
West Chester,2022,3,no meet title,Jan-23-2022,Cornell,Kiley Fred,9.5500,,,9.7250
West Chester,2022,3,no meet title,Jan-23-2022,Cornell,Kiah Johnson,9.5500,,9.5000,
West Chester,2022,3,no meet title,Jan-23-2022,Cornell,Samantha Kelly,,9.4000,,
West Chester,2022,3,no meet title,Jan-23-2022,Cornell,McKenna Kissinger,9.5250,,,9.8500
West Chester,2022,3,no meet title,Jan-23-2022,Cornell,Natalie Marshall,,,9.7500,
West Chester,2022,3,no meet title,Jan-23-2022,Cornell,Lily McFarland,9.5750,,9.5500,9.7000
West Chester,2022,3,no meet title,Jan-23-2022,Cornell,Jessica Meakim,9.7250,9.6000,9.4250,9.8500
West Chester,2022,3,no meet title,Jan-23-2022,Cornell,Kristina Rodriguez,,9.7000,,
West Chester,2022,4,no meet title,Jan-29-2022,West Chester,Caitlyn Allen,9.6500,9.4500,,
West Chester,2022,4,no meet title,Jan-29-2022,West Chester,Hyla Betts,,9.7000,9.4750,
West Chester,2022,4,no meet title,Jan-29-2022,West Chester,Caroline Cascadden,,,9.2000,9.6250
West Chester,2022,4,no meet title,Jan-29-2022,West Chester,Jordan Coleman,,9.6500,,
West Chester,2022,4,no meet title,Jan-29-2022,West Chester,Rose Fanara,,,8.9750,9.6750
West Chester,2022,4,no meet title,Jan-29-2022,West Chester,Kiley Fred,9.6750,,,9.6000
