team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
West Virginia,2019,1,no meet title,Jan-04-2019,,Esperanza Abarca,,9.8000,,
West Virginia,2019,1,no meet title,Jan-04-2019,,Erica Fontaine,,,9.7750,9.7500
West Virginia,2019,1,no meet title,Jan-04-2019,,Carly Galpin,,,9.7500,
West Virginia,2019,1,no meet title,Jan-04-2019,,Rachel Hornung,9.7750,,9.8000,8.9000
West Virginia,2019,1,no meet title,Jan-04-2019,,Abby Kaufman,9.6000,9.3000,9.7500,9.7250
West Virginia,2019,1,no meet title,Jan-04-2019,,Kirah Koshinski,9.8000,9.0000,9.5250,9.9250
West Virginia,2019,1,no meet title,Jan-04-2019,,McKenna Linnen,,,9.7000,9.8000
West Virginia,2019,1,no meet title,Jan-04-2019,,Sydney Marler,,9.0000,,
West Virginia,2019,1,no meet title,Jan-04-2019,,Julia Merwin,9.7750,9.6750,,
West Virginia,2019,1,no meet title,Jan-04-2019,,Jaquie Tun,9.7500,9.7500,,9.8500
West Virginia,2019,1,no meet title,Jan-04-2019,,Michelle Waldron,9.7000,,,
West Virginia,2019,2,no meet title,Jan-12-2019,Pittsburgh,Esperanza Abarca,,9.8000,,
West Virginia,2019,2,no meet title,Jan-12-2019,Pittsburgh,Chloe Cluchey,,9.7000,,
West Virginia,2019,2,no meet title,Jan-12-2019,Pittsburgh,Erica Fontaine,,,9.6500,9.8250
West Virginia,2019,2,no meet title,Jan-12-2019,Pittsburgh,Carly Galpin,,,9.6000,
West Virginia,2019,2,no meet title,Jan-12-2019,Pittsburgh,Rachel Hornung,9.6750,9.6750,9.7000,9.5500
West Virginia,2019,2,no meet title,Jan-12-2019,Pittsburgh,Abby Kaufman,9.8000,9.7250,9.6000,9.8000
West Virginia,2019,2,no meet title,Jan-12-2019,Pittsburgh,Kirah Koshinski,9.9250,,9.6250,9.9000
West Virginia,2019,2,no meet title,Jan-12-2019,Pittsburgh,McKenna Linnen,,,9.6750,9.8500
West Virginia,2019,2,no meet title,Jan-12-2019,Pittsburgh,Sydney Marler,,9.7750,,
West Virginia,2019,2,no meet title,Jan-12-2019,Pittsburgh,Julia Merwin,9.8000,,,
West Virginia,2019,2,no meet title,Jan-12-2019,Pittsburgh,Jaquie Tun,9.9000,9.7750,,9.9000
West Virginia,2019,2,no meet title,Jan-12-2019,Pittsburgh,Michelle Waldron,9.7750,,,
West Virginia,2019,3,no meet title,Jan-19-2019,Air Force,Esperanza Abarca,,9.8000,,
West Virginia,2019,3,no meet title,Jan-19-2019,Air Force,Chloe Cluchey,,9.6250,,
West Virginia,2019,3,no meet title,Jan-19-2019,Air Force,Kassidy Cumber,,,,8.2500
West Virginia,2019,3,no meet title,Jan-19-2019,Air Force,Erica Fontaine,,,,9.7000
West Virginia,2019,3,no meet title,Jan-19-2019,Air Force,Carly Galpin,,,9.7000,
West Virginia,2019,3,no meet title,Jan-19-2019,Air Force,Rachel Hornung,9.7250,,9.8250,
West Virginia,2019,3,no meet title,Jan-19-2019,Air Force,Abby Kaufman,9.6750,9.6000,9.6500,9.7750
West Virginia,2019,3,no meet title,Jan-19-2019,Air Force,Kirah Koshinski,9.9500,,9.7500,9.8500
West Virginia,2019,3,no meet title,Jan-19-2019,Air Force,McKenna Linnen,,,9.6750,9.7000
West Virginia,2019,3,no meet title,Jan-19-2019,Air Force,Sydney Marler,,9.6750,9.6750,
West Virginia,2019,3,no meet title,Jan-19-2019,Air Force,Julia Merwin,9.7250,9.7250,,
West Virginia,2019,3,no meet title,Jan-19-2019,Air Force,Jaquie Tun,9.7750,9.6000,,9.8250
West Virginia,2019,3,no meet title,Jan-19-2019,Air Force,Michelle Waldron,9.4000,,,
West Virginia,2019,4,no meet title,Jan-27-2019,West Virginia,Esperanza Abarca,,9.8000,,
West Virginia,2019,4,no meet title,Jan-27-2019,West Virginia,Chloe Cluchey,,9.6500,,
West Virginia,2019,4,no meet title,Jan-27-2019,West Virginia,Kendra Combs,,9.6250,,
West Virginia,2019,4,no meet title,Jan-27-2019,West Virginia,Erica Fontaine,,,,9.7000
West Virginia,2019,4,no meet title,Jan-27-2019,West Virginia,Carly Galpin,,,9.8000,
West Virginia,2019,4,no meet title,Jan-27-2019,West Virginia,Rachel Hornung,9.7500,,9.6500,9.8250
West Virginia,2019,4,no meet title,Jan-27-2019,West Virginia,Abby Kaufman,9.7000,9.6500,9.6000,9.8250
