team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Western Michigan,2023,1,no meet title,Jan-08-2023,Western Michigan,Ronni Binstock,,,9.7250,9.6500
Western Michigan,2023,1,no meet title,Jan-08-2023,Western Michigan,Halle Faulkner,9.7250,8.9750,,
Western Michigan,2023,1,no meet title,Jan-08-2023,Western Michigan,Amanda Gruber,,,9.8250,
Western Michigan,2023,1,no meet title,Jan-08-2023,Western Michigan,Sarah Moravansky,9.6500,9.8500,9.6500,9.5250
Western Michigan,2023,1,no meet title,Jan-08-2023,Western Michigan,Payton Murphy,9.6000,,9.7750,9.8500
Western Michigan,2023,1,no meet title,Jan-08-2023,Western Michigan,Dani Petrousek,9.7250,9.8000,9.5750,9.8500
Western Michigan,2023,1,no meet title,Jan-08-2023,Western Michigan,Breckin Quoss,,9.8250,,
Western Michigan,2023,1,no meet title,Jan-08-2023,Western Michigan,DonnaKathryn Roy,,9.7000,,9.8750
Western Michigan,2023,1,no meet title,Jan-08-2023,Western Michigan,Abby Singh,9.4500,9.7000,,
Western Michigan,2023,1,no meet title,Jan-08-2023,Western Michigan,Gigi Singh,,,9.7250,
Western Michigan,2023,1,no meet title,Jan-08-2023,Western Michigan,Cassie St. Clair,9.8500,,,9.0250
Western Michigan,2023,2,no meet title,Jan-15-2023,Illinois State,Ronni Binstock,,,9.5000,
Western Michigan,2023,2,no meet title,Jan-15-2023,Illinois State,Halle Faulkner,9.8000,9.5750,,
Western Michigan,2023,2,no meet title,Jan-15-2023,Illinois State,Amanda Gruber,,,9.8500,9.8250
Western Michigan,2023,2,no meet title,Jan-15-2023,Illinois State,Sarah Moravansky,9.7000,9.7500,9.7250,9.6500
Western Michigan,2023,2,no meet title,Jan-15-2023,Illinois State,Payton Murphy,9.7250,9.5500,9.8000,9.8250
Western Michigan,2023,2,no meet title,Jan-15-2023,Illinois State,Dani Petrousek,9.6000,9.5500,9.3750,9.6250
Western Michigan,2023,2,no meet title,Jan-15-2023,Illinois State,DonnaKathryn Roy,,9.0250,,9.7750
Western Michigan,2023,2,no meet title,Jan-15-2023,Illinois State,Gigi Singh,,,9.0000,
Western Michigan,2023,2,no meet title,Jan-15-2023,Illinois State,Abby Singh,9.7750,9.6250,,
Western Michigan,2023,2,no meet title,Jan-15-2023,Illinois State,Cassie St. Clair,9.7000,,,9.7750
Western Michigan,2023,3,no meet title,Jan-20-2023,Bowling Green,Ronni Binstock,9.7500,,9.8250,9.7750
Western Michigan,2023,3,no meet title,Jan-20-2023,Bowling Green,Halle Faulkner,9.8250,9.7000,,
Western Michigan,2023,3,no meet title,Jan-20-2023,Bowling Green,Amanda Gruber,,,9.8250,9.8500
