team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
William & Mary,2020,1,no meet title,Jan-12-2020,North Carolina,Caroline Caponi,,,9.7000,8.7500
William & Mary,2020,1,no meet title,Jan-12-2020,North Carolina,Brianna Greenlow,9.6500,9.6000,9.7500,9.1750
William & Mary,2020,1,no meet title,Jan-12-2020,North Carolina,Erika Marr,9.7500,9.6750,8.5750,
William & Mary,2020,1,no meet title,Jan-12-2020,North Carolina,Evan Pakshong,,9.7750,9.2000,
William & Mary,2020,1,no meet title,Jan-12-2020,North Carolina,Elizabeth Snoddy,,,,9.7250
William & Mary,2020,1,no meet title,Jan-12-2020,North Carolina,Katie Waldman,9.8000,8.9000,9.8000,9.7250
William & Mary,2020,1,no meet title,Jan-12-2020,North Carolina,Taylor White,9.6000,9.7250,,8.9500
William & Mary,2020,1,no meet title,Jan-12-2020,North Carolina,Emma Wiley,9.5250,8.9000,9.6500,
William & Mary,2020,1,no meet title,Jan-12-2020,North Carolina,Lauren Winkler,9.4000,,,
William & Mary,2020,2,no meet title,Jan-17-2020,Towson,Caroline Caponi,,,9.6750,9.6750
William & Mary,2020,2,no meet title,Jan-17-2020,Towson,Mary Graceyn Gordon,9.6250,8.5750,9.2750,
William & Mary,2020,2,no meet title,Jan-17-2020,Towson,Brianna Greenlow,9.6500,9.5500,,9.6500
William & Mary,2020,2,no meet title,Jan-17-2020,Towson,Erika Marr,9.7000,9.6500,9.7000,
William & Mary,2020,2,no meet title,Jan-17-2020,Towson,Evan Pakshong,,9.5250,8.5500,
William & Mary,2020,2,no meet title,Jan-17-2020,Towson,Elizabeth Snoddy,,,,9.6000
William & Mary,2020,2,no meet title,Jan-17-2020,Towson,Katie Waldman,9.6750,9.6500,9.8250,9.6750
William & Mary,2020,2,no meet title,Jan-17-2020,Towson,Taylor White,9.3500,9.7000,,9.7000
William & Mary,2020,2,no meet title,Jan-17-2020,Towson,Emma Wiley,9.5250,,9.1250,
William & Mary,2020,3,no meet title,Jan-31-2020,George Washington,Caroline Caponi,,,9.6500,9.5500
William & Mary,2020,3,no meet title,Jan-31-2020,George Washington,Mary Graceyn Gordon,8.9500,9.6250,,9.6250
William & Mary,2020,3,no meet title,Jan-31-2020,George Washington,Brianna Greenlow,9.4750,9.6000,9.0000,9.5250
William & Mary,2020,3,no meet title,Jan-31-2020,George Washington,Erika Marr,9.7500,9.6250,9.1000,
William & Mary,2020,3,no meet title,Jan-31-2020,George Washington,Evan Pakshong,,9.1000,,
William & Mary,2020,3,no meet title,Jan-31-2020,George Washington,Elizabeth Snoddy,,,,9.7000
