team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Winona State,2020,1,no meet title,Jan-09-2020,Gustavus Adolphus,Maddie Bronson,,9.0500,7.7500,
Winona State,2020,1,no meet title,Jan-09-2020,Gustavus Adolphus,Hailey Bryant,9.1000,8.2000,,8.9250
Winona State,2020,1,no meet title,Jan-09-2020,Gustavus Adolphus,Allison Crescimanno,9.2000,,,
Winona State,2020,1,no meet title,Jan-09-2020,Gustavus Adolphus,Alana Currin,8.5000,,,9.0500
Winona State,2020,1,no meet title,Jan-09-2020,Gustavus Adolphus,Cora Geiger,,,9.0000,
Winona State,2020,1,no meet title,Jan-09-2020,Gustavus Adolphus,Sunny Hasebe,,,9.2250,
Winona State,2020,1,no meet title,Jan-09-2020,Gustavus Adolphus,Anna Hiller,,8.8000,,
Winona State,2020,1,no meet title,Jan-09-2020,Gustavus Adolphus,Kelly Johnston,,,9.6000,8.2250
Winona State,2020,1,no meet title,Jan-09-2020,Gustavus Adolphus,Jonica Jordan,8.9250,,,
Winona State,2020,1,no meet title,Jan-09-2020,Gustavus Adolphus,Elizabeth Maher,,,7.5000,
Winona State,2020,1,no meet title,Jan-09-2020,Gustavus Adolphus,Hannah Matuszak,,9.0250,,
Winona State,2020,1,no meet title,Jan-09-2020,Gustavus Adolphus,Hannah Norman,,7.4750,,
Winona State,2020,1,no meet title,Jan-09-2020,Gustavus Adolphus,Megan Tran,,,7.2500,9.0000
Winona State,2020,1,no meet title,Jan-09-2020,Gustavus Adolphus,Kennedy Utz,9.3000,,,9.1750
Winona State,2020,1,no meet title,Jan-09-2020,Gustavus Adolphus,Shelsea Zehr,9.1000,8.7500,,9.4750
Winona State,2020,2,no meet title,Jan-21-2020,UW-Eau Claire,Maddie Bronson,,8.4250,,
Winona State,2020,2,no meet title,Jan-21-2020,UW-Eau Claire,Hailey Bryant,9.2500,8.9750,,8.8500
Winona State,2020,2,no meet title,Jan-21-2020,UW-Eau Claire,Allison Crescimanno,9.2000,8.8500,,
Winona State,2020,2,no meet title,Jan-21-2020,UW-Eau Claire,Katie Curtis,8.8750,,7.7000,9.0750
Winona State,2020,2,no meet title,Jan-21-2020,UW-Eau Claire,Hailey Doherty,,,7.8500,
Winona State,2020,2,no meet title,Jan-21-2020,UW-Eau Claire,Cora Geiger,,,8.3500,
Winona State,2020,2,no meet title,Jan-21-2020,UW-Eau Claire,Sunny Hasebe,,,8.7000,
Winona State,2020,2,no meet title,Jan-21-2020,UW-Eau Claire,Anna Hiller,,9.1000,,
Winona State,2020,2,no meet title,Jan-21-2020,UW-Eau Claire,Gabrielle Johnson,,,8.2000,
Winona State,2020,2,no meet title,Jan-21-2020,UW-Eau Claire,Kelly Johnston,,,8.8250,9.1750
Winona State,2020,2,no meet title,Jan-21-2020,UW-Eau Claire,Hannah Matuszak,,8.3500,,
Winona State,2020,2,no meet title,Jan-21-2020,UW-Eau Claire,Kennedy Utz,9.2000,,,9.2750
Winona State,2020,2,no meet title,Jan-21-2020,UW-Eau Claire,Callie Van Dyck,8.6750,,,8.8000
Winona State,2020,2,no meet title,Jan-21-2020,UW-Eau Claire,Shelsea Zehr,9.1750,8.8000,,9.5000
Winona State,2020,3,no meet title,Jan-24-2020,Winona State,Maddie Bronson,,8.6000,,
Winona State,2020,3,no meet title,Jan-24-2020,Winona State,Hailey Bryant,9.3000,8.0500,,8.2500
Winona State,2020,3,no meet title,Jan-24-2020,Winona State,Alana Currin,8.6000,,,
Winona State,2020,3,no meet title,Jan-24-2020,Winona State,Katie Curtis,9.2250,,7.5500,9.1250
