team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Yale,2024,1,no meet title,Jan-14-2024,George Washington,Lily Aucoin,8.8500,9.6250,,
Yale,2024,1,no meet title,Jan-14-2024,George Washington,Megan Brueck,,,9.2250,9.7500
Yale,2024,1,no meet title,Jan-14-2024,George Washington,Chloe DeJoy,,9.6750,,9.7750
Yale,2024,1,no meet title,Jan-14-2024,George Washington,Lauren Holt,,9.4250,,
Yale,2024,1,no meet title,Jan-14-2024,George Washington,Emma Mangiacapre,9.2750,,9.8250,
Yale,2024,1,no meet title,Jan-14-2024,George Washington,Gigi Sabatini,9.6250,9.6250,9.8250,9.7500
Yale,2024,1,no meet title,Jan-14-2024,George Washington,Hana Strause,,,9.8000,9.7500
Yale,2024,1,no meet title,Jan-14-2024,George Washington,Ella Tashjian,9.5500,,9.7500,9.8250
Yale,2024,1,no meet title,Jan-14-2024,George Washington,Sherry Wang,9.4500,9.7250,,9.7750
Yale,2024,1,no meet title,Jan-14-2024,George Washington,Sarah Wilson,9.6000,9.8000,9.3000,
Yale,2024,2,no meet title,Jan-21-2024,LIU,Lily Aucoin,9.6250,9.0250,,
Yale,2024,2,no meet title,Jan-21-2024,LIU,Megan Brueck,,,9.2500,9.8000
Yale,2024,2,no meet title,Jan-21-2024,LIU,Chloe DeJoy,,9.7750,,9.8250
Yale,2024,2,no meet title,Jan-21-2024,LIU,Lauren Holt,,9.6500,,
Yale,2024,2,no meet title,Jan-21-2024,LIU,Emma Mangiacapre,,,9.5500,
Yale,2024,2,no meet title,Jan-21-2024,LIU,Gigi Sabatini,9.7750,8.8750,9.0000,9.8250
Yale,2024,2,no meet title,Jan-21-2024,LIU,Hana Strause,,,9.5500,9.7750
Yale,2024,2,no meet title,Jan-21-2024,LIU,Ella Tashjian,9.7250,,9.4000,9.9000
Yale,2024,2,no meet title,Jan-21-2024,LIU,Sherry Wang,9.7000,8.9750,,9.8750
Yale,2024,2,no meet title,Jan-21-2024,LIU,Sarah Wilson,9.7500,9.7000,9.6750,
Yale,2024,3,no meet title,Jan-28-2024,Yale,Lily Aucoin,9.7000,9.7500,,
Yale,2024,3,no meet title,Jan-28-2024,Yale,Megan Brueck,9.7250,,,9.0750
Yale,2024,3,no meet title,Jan-28-2024,Yale,Evangeline Chu,,,9.4500,
Yale,2024,3,no meet title,Jan-28-2024,Yale,Chloe DeJoy,,9.6000,,9.8250
Yale,2024,3,no meet title,Jan-28-2024,Yale,Lauren Holt,,9.6750,,
Yale,2024,3,no meet title,Jan-28-2024,Yale,Emma Mangiacapre,,,9.7500,
Yale,2024,3,no meet title,Jan-28-2024,Yale,Gigi Sabatini,9.8000,9.6750,9.6500,
Yale,2024,3,no meet title,Jan-28-2024,Yale,Hana Strause,,,9.0750,9.8250
Yale,2024,3,no meet title,Jan-28-2024,Yale,Ella Tashjian,9.7250,,9.6500,9.7250
Yale,2024,3,no meet title,Jan-28-2024,Yale,Sherry Wang,9.7750,9.8250,,9.8250
Yale,2024,3,no meet title,Jan-28-2024,Yale,Sarah Wilson,9.7250,9.3000,9.8750,9.8250
Yale,2024,4,no meet title,Feb-04-2024,Brown,Lily Aucoin,9.5750,9.7500,,
Yale,2024,4,no meet title,Feb-04-2024,Brown,Megan Brueck,9.6250,,,
Yale,2024,4,no meet title,Feb-04-2024,Brown,Evangeline Chu,,,9.2250,
Yale,2024,4,no meet title,Feb-04-2024,Brown,Chloe DeJoy,,9.6000,,9.6750
Yale,2024,4,no meet title,Feb-04-2024,Brown,Lauren Holt,,9.6750,,9.6250
Yale,2024,4,no meet title,Feb-04-2024,Brown,Emma Mangiacapre,,,9.6500,
Yale,2024,4,no meet title,Feb-04-2024,Brown,Gigi Sabatini,9.7250,9.5500,9.6000,9.7250
Yale,2024,4,no meet title,Feb-04-2024,Brown,Hana Strause,,,9.1250,9.7000
Yale,2024,4,no meet title,Feb-04-2024,Brown,Ella Tashjian,9.5500,,9.3500,9.8250
Yale,2024,4,no meet title,Feb-04-2024,Brown,Sherry Wang,9.5000,9.8250,,9.7500
Yale,2024,4,no meet title,Feb-04-2024,Brown,Sarah Wilson,9.5750,9.7750,9.7250,
Yale,2024,5,no meet title,Feb-11-2024,Yale,Lily Aucoin,9.5500,9.7750,,
Yale,2024,5,no meet title,Feb-11-2024,Yale,Megan Brueck,9.7000,,9.7750,9.8250
Yale,2024,5,no meet title,Feb-11-2024,Yale,Chloe DeJoy,,9.7250,,9.7500
Yale,2024,5,no meet title,Feb-11-2024,Yale,Meridith Donovan,,,9.7750,
Yale,2024,5,no meet title,Feb-11-2024,Yale,Lauren Holt,,9.7000,,
Yale,2024,5,no meet title,Feb-11-2024,Yale,Gigi Sabatini,9.6500,9.5750,9.8000,9.8000
Yale,2024,5,no meet title,Feb-11-2024,Yale,Hana Strause,,,9.5750,9.8250
Yale,2024,5,no meet title,Feb-11-2024,Yale,Ella Tashjian,9.7250,,9.7000,9.9000
Yale,2024,5,no meet title,Feb-11-2024,Yale,Sherry Wang,9.6500,9.7250,,9.8750
Yale,2024,5,no meet title,Feb-11-2024,Yale,Sarah Wilson,9.7250,9.8000,9.6750,
Yale,2024,6,All American Challenge,Feb-19-2024,,Lily Aucoin,9.4500,9.6250,,
Yale,2024,6,All American Challenge,Feb-19-2024,,Megan Brueck,9.1500,,9.0500,9.7750
Yale,2024,6,All American Challenge,Feb-19-2024,,Chloe DeJoy,,8.4000,,9.8250
Yale,2024,6,All American Challenge,Feb-19-2024,,Meridith Donovan,,,9.1000,
