team,year,meet,meet_id,atbyu,black,gymnast,vault,bars,beam,floor
Arizona,2017,1,2017_twu_us_at_az,0,0,Christina Berg,,9.575,,
Arizona,2017,1,2017_twu_us_at_az,0,0,Madison Cindric,9.725,8.225,9.75,9.8
Arizona,2017,1,2017_twu_us_at_az,0,0,Courtney Cowles,,,9.6,
Arizona,2017,1,2017_twu_us_at_az,0,0,Selynna Felix-Terrazas,9.75,9.825,,9.775
Arizona,2017,1,2017_twu_us_at_az,0,0,Haylie Hendrickson,,9.5,9.35,
Arizona,2017,1,2017_twu_us_at_az,0,0,Krysten Howard,,9.775,9.625,
Arizona,2017,1,2017_twu_us_at_az,0,0,Gabby Laub,9.725,9.75,,
Arizona,2017,1,2017_twu_us_at_az,0,0,Maddi Leydin,9.65,,,9.65
Arizona,2017,1,2017_twu_us_at_az,0,0,Lauryn Mattson,9.725,,,9.8
Arizona,2017,1,2017_twu_us_at_az,0,1,Kennady Schneider,,,9.675,9.8
Arizona,2017,1,2017_twu_us_at_az,0,0,Skyler Sheppard,,,8.95,8.925
Arizona,2017,1,2017_twu_us_at_az,0,0,Heather Swanson,9.85,,,
Arizona,2017,2,2017_maryland_quad,0,0,Madison Cindric,9.8,8.45,9.775,9.8
Arizona,2017,2,2017_maryland_quad,0,0,Courtney Cowles,,,9.725,
Arizona,2017,2,2017_maryland_quad,0,0,Selynna Felix-Terrazas,,,,
Arizona,2017,2,2017_maryland_quad,0,0,Haylie Hendrickson,,9.775,9.65,
Arizona,2017,2,2017_maryland_quad,0,0,Krysten Howard,,9.8,9.7,9.625
Arizona,2017,2,2017_maryland_quad,0,0,Gabby Laub,9.625,6.95,,
Arizona,2017,2,2017_maryland_quad,0,0,Jenny Leung,9.525,,,
Arizona,2017,2,2017_maryland_quad,0,0,Maddi Leydin,9.7,,,9.725
Arizona,2017,2,2017_maryland_quad,0,0,Lauryn Mattson,9.75,,,9.55
Arizona,2017,2,2017_maryland_quad,0,0,Victoria Ortiz,,9.8,,
Arizona,2017,2,2017_maryland_quad,0,1,Kennady Schneider,,,9.7,9.725
Arizona,2017,2,2017_maryland_quad,0,0,Skyler Sheppard,,,9.175,
Arizona,2017,2,2017_maryland_quad,0,0,Danielle Spencer-Bearham,,9.85,,
Arizona,2017,2,2017_maryland_quad,0,0,Heather Swanson,9.7,,,
Arizona,2017,3,2017_is_at_az,0,0,Christina Berg,,9.875,,
Arizona,2017,3,2017_is_at_az,0,0,Courtney Cowles,,,9.725,
Arizona,2017,3,2017_is_at_az,0,0,Haylie Hendrickson,,9.875,9.775,
Arizona,2017,3,2017_is_at_az,0,0,Krysten Howard,,9.8,9.825,9.875
Arizona,2017,3,2017_is_at_az,0,0,Gabby Laub,9.675,,,
Arizona,2017,3,2017_is_at_az,0,0,Jenny Leung,9.75,,,
Arizona,2017,3,2017_is_at_az,0,0,Maddi Leydin,9.65,,,9.775
Arizona,2017,3,2017_is_at_az,0,0,Lauryn Mattson,9.725,,,9.775
Arizona,2017,3,2017_is_at_az,0,0,Victoria Ortiz,,9.825,9.8,
Arizona,2017,3,2017_is_at_az,0,1,Kennady Schneider,,9.65,9.65,9.875
Arizona,2017,3,2017_is_at_az,0,0,Skyler Sheppard,,,9.85,9.775
Arizona,2017,3,2017_is_at_az,0,0,Danielle Spencer-Bearham,,9.85,,
Arizona,2017,3,2017_is_at_az,0,0,Heather Swanson,9.775,,,
Arizona,2017,4,2017_az_at_stanford,0,0,Christina Berg,,9.8,,
Arizona,2017,4,2017_az_at_stanford,0,0,Courtney Cowles,,,9.775,
Arizona,2017,4,2017_az_at_stanford,0,0,Haylie Hendrickson,,9.8,9.225,
Arizona,2017,4,2017_az_at_stanford,0,0,Krysten Howard,,9.825,9.725,9.85
Arizona,2017,4,2017_az_at_stanford,0,0,Gabby Laub,9.675,9.775,,9.175
Arizona,2017,4,2017_az_at_stanford,0,0,Jenny Leung,9.775,,,
Arizona,2017,4,2017_az_at_stanford,0,0,Lauryn Mattson,9.825,,,9.825
Arizona,2017,4,2017_az_at_stanford,0,0,Victoria Ortiz,,9.85,9.825,
Arizona,2017,4,2017_az_at_stanford,0,1,Kennady Schneider,,,9.3,9.875
Arizona,2017,4,2017_az_at_stanford,0,0,Skyler Sheppard,9.825,,9.925,9.875
Arizona,2017,4,2017_az_at_stanford,0,0,Danielle Spencer-Bearham,,9.775,,
Arizona,2017,4,2017_az_at_stanford,0,0,Heather Swanson,9.75,,,9.775
